Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,38.525049,[58  5] ; [ 6 17],[46.88372093 16.11627907] ; [17.11627907  5.88372093],1
s1,1,0.004879,7.923636,[ 2 62] ; [ 5 18],[ 5.14942529 58.85057471] ; [ 1.85057471 21.14942529],0
r3,1,0.005752,7.626285,[63  2] ; [19  5],[59.88764045  5.11235955] ; [22.11235955  1.88764045],0
s6,1,0.007826,7.072829,[49 13] ; [12 12],[43.97674419 18.02325581] ; [17.02325581  6.97674419],0
n6,1,0.011617,6.368362,[58  7] ; [16  8],[54.04494382 10.95505618] ; [19.95505618  4.04494382],0
a7,1,0.014929,5.924823,[43 22] ; [ 9 15],[37.97752809 27.02247191] ; [14.02247191  9.97752809],0
b1,1,0.025706,4.975717,[21 44] ; [14 10],[25.56179775 39.43820225] ; [ 9.43820225 14.56179775],0
p2,1,0.026339,4.933638,[54 10] ; [15  9],[50.18181818 13.81818182] ; [18.81818182  5.18181818],0
s8,1,0.038475,4.283904,[35 30] ; [ 7 17],[30.6741573 34.3258427] ; [11.3258427 12.6741573],0
p8,1,0.039774,4.227497,[30 35] ; [ 5 18],[25.85227273 39.14772727] ; [ 9.14772727 13.85227273],0
p11,1,0.053318,3.733928,[49 16] ; [13 11],[45.28089888 19.71910112] ; [16.71910112  7.28089888],0
v2,1,0.05733,3.612998,[29 32] ; [ 6 18],[25.11764706 35.88235294] ; [ 9.88235294 14.11764706],0
n5,1,0.060482,3.524115,[53 12] ; [15  9],[49.66292135 15.33707865] ; [18.33707865  5.66292135],0
r2,1,0.064375,3.420929,[61  3] ; [20  4],[58.90909091  5.09090909] ; [22.09090909  1.90909091],0
s5,1,0.068854,3.310134,[20 43] ; [ 3 21],[16.65517241 46.34482759] ; [ 6.34482759 17.65517241],0
s2,1,0.093385,2.81503,[45 20] ; [12 12],[41.62921348 23.37078652] ; [15.37078652  8.62921348],0
s7,1,0.143904,2.135709,[36 25] ; [ 9 13],[33.07228916 27.92771084] ; [11.92771084 10.07228916],0
r1,1,0.161901,1.956384,[40 23] ; [19  5],[42.72413793 20.27586207] ; [16.27586207  7.72413793],0
p6,1,0.183376,1.770053,[20 45] ; [ 4 20],[17.52808989 47.47191011] ; [ 6.47191011 17.52808989],0
n2,1,0.19043,1.714286,[15  1] ; [6 2],[14.  2.] ; [7. 1.],0
d5,1,0.265781,1.238394,[33 32] ; [ 9 15],[30.6741573 34.3258427] ; [11.3258427 12.6741573],0
