Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7.1e-05,15.779221,[42 12] ; [13 23],[33. 21.] ; [22. 14.],1
a7,1,0.001211,10.474138,[42 12] ; [16 20],[34.8 19.2] ; [23.2 12.8],0
r1,1,0.001398,10.208333,[43 11] ; [17 19],[36. 18.] ; [24. 12.],0
a3,1,0.002437,9.1875,[37 17] ; [13 23],[30. 24.] ; [20. 16.],0
p8,1,0.011318,6.414738,[41 12] ; [18 17],[35.53409091 17.46590909] ; [23.46590909 11.53409091],0
v3,1,0.016311,5.769077,[22 31] ; [ 6 29],[16.86363636 36.13636364] ; [11.13636364 23.86363636],0
a4,1,0.021954,5.249465,[19 34] ; [ 5 31],[14.29213483 38.70786517] ; [ 9.70786517 26.29213483],0
d3,1,0.025095,5.017318,[31 23] ; [12 24],[25.8 28.2] ; [17.2 18.8],0
b3,1,0.035732,4.409847,[15 19] ; [ 4 19],[11.33333333 22.66666667] ; [ 7.66666667 15.33333333],0
b2,1,0.035732,4.409847,[15 19] ; [ 4 19],[11.33333333 22.66666667] ; [ 7.66666667 15.33333333],0
p3,1,0.043348,4.08179,[37 17] ; [17 19],[32.4 21.6] ; [21.6 14.4],0
p12,1,0.076346,3.141026,[10 44] ; [ 2 34],[ 7.2 46.8] ; [ 4.8 31.2],0
r4,1,0.083265,3.0,[48  6] ; [27  9],[45.  9.] ; [30.  6.],0
d1,1,0.09624,2.766768,[ 7 47] ; [ 1 35],[ 4.8 49.2] ; [ 3.2 32.8],0
p11,1,0.109125,2.566845,[44 10] ; [24 12],[40.8 13.2] ; [27.2  8.8],0
s3,1,0.150559,2.066576,[36 18] ; [18 17],[32.76404494 21.23595506] ; [21.23595506 13.76404494],0
s7,1,0.156459,2.008121,[29 22] ; [14 20],[25.8 25.2] ; [17.2 16.8],0
n1,1,0.201352,1.63254,[5 4] ; [2 6],[3.70588235 5.29411765] ; [3.29411765 4.70588235],0
d2,1,0.254565,1.298077,[18 36] ; [ 8 28],[15.6 38.4] ; [10.4 25.6],0
p6,1,0.258922,1.27451,[26 28] ; [13 23],[23.4 30.6] ; [15.6 20.4],0
s5,1,0.27474,1.192924,[17 36] ; [ 7 26],[14.79069767 38.20930233] ; [ 9.20930233 23.79069767],0
v2,1,0.313313,1.016657,[25 27] ; [13 22],[22.71264368 29.28735632] ; [15.28735632 19.71264368],0
p5,1,0.320209,0.988094,[ 9 44] ; [ 9 26],[10.84090909 42.15909091] ; [ 7.15909091 27.84090909],0
p7,1,0.37457,0.788449,[42 12] ; [25 11],[40.2 13.8] ; [26.8  9.2],0
r2,1,0.415743,0.662317,[48  6] ; [29  6],[46.71910112  7.28089888] ; [30.28089888  4.71910112],0
s4,1,0.462656,0.539461,[ 9 45] ; [ 4 32],[ 7.8 46.2] ; [ 5.2 30.8],0
n2,1,0.485845,0.485714,[6 3] ; [4 4],[5.29411765 3.70588235] ; [4.70588235 3.29411765],0
s2,1,0.487412,0.482234,[29 24] ; [17 19],[27.39325843 25.60674157] ; [18.60674157 17.39325843],0
p10,1,0.488377,0.4801,[43 10] ; [27  9],[41.68539326 11.31460674] ; [28.31460674  7.68539326],0
d4,1,0.491012,0.474308,[28 26] ; [16 20],[26.4 27.6] ; [17.6 18.4],0
a1,1,0.531019,0.392442,[ 3 51] ; [ 1 35],[ 2.4 51.6] ; [ 1.6 34.4],0
n6,1,0.563703,0.333333,[44 10] ; [31  5],[45.  9.] ; [30.  6.],0
p2,1,0.563703,0.333333,[46  8] ; [29  7],[45.  9.] ; [30.  6.],0
v1,1,0.60522,0.267194,[27 27] ; [16 20],[25.8 28.2] ; [17.2 18.8],0
s1,1,0.6216,0.243625,[ 3 50] ; [ 3 33],[ 3.57303371 49.42696629] ; [ 2.42696629 33.57303371],0
u3,1,0.642767,0.215142,[9 8] ; [10 12],[8.28205128 8.71794872] ; [10.71794872 11.28205128],0
b1,1,0.665006,0.1875,[25 29] ; [15 21],[24. 30.] ; [16. 20.],0
s8,1,0.665006,0.1875,[23 31] ; [17 19],[24. 30.] ; [16. 20.],0
s6,1,0.693832,0.154969,[34 19] ; [21 14],[33.125 19.875] ; [21.875 13.125],0
v4,1,0.697879,0.150688,[48  6] ; [32  3],[48.53932584  5.46067416] ; [31.46067416  3.53932584],0
u2,1,0.700941,0.147495,[9 8] ; [13  9],[9.58974359 7.41025641] ; [12.41025641  9.58974359],0
b5,1,0.719148,0.12931,[34 20] ; [24 12],[34.8 19.2] ; [23.2 12.8],0
n5,1,0.775772,0.08113,[39 15] ; [25 11],[38.4 15.6] ; [25.6 10.4],0
n4,1,0.782356,0.076314,[36 18] ; [25 11],[36.6 17.4] ; [24.4 11.6],0
p9,1,0.821892,0.050676,[44 10] ; [30  6],[44.4  9.6] ; [29.6  6.4],0
p1,1,0.821892,0.050676,[10 44] ; [ 6 30],[ 9.6 44.4] ; [ 6.4 29.6],0
b4,1,0.860544,0.030864,[32 22] ; [22 14],[32.4 21.6] ; [21.6 14.4],0
a8,1,0.92015,0.010049,[ 6 42] ; [ 4 30],[ 5.85365854 42.14634146] ; [ 4.14634146 29.85365854],0
r3,1,1.0,0.0,[48  6] ; [32  4],[48.  6.] ; [32.  4.],0
