Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.019016,5.5,[3 2] ; [ 8 42],[1. 4.] ; [10. 40.],0
s7,1,0.020137,5.4,[4 1] ; [14 35],[1.66666667 3.33333333] ; [16.33333333 32.66666667],0
p9,1,0.027604,4.852625,[4 1] ; [15 34],[1.75925926 3.24074074] ; [17.24074074 31.75925926],0
p6,1,0.035957,4.399162,[3 2] ; [ 9 39],[1.13207547 3.86792453] ; [10.86792453 37.13207547],0
s2,1,0.043524,4.07493,[4 1] ; [17 33],[1.90909091 3.09090909] ; [19.09090909 30.90909091],0
s6,1,0.085507,2.956989,[4 1] ; [20 30],[2.18181818 2.81818182] ; [21.81818182 28.18181818],0
v2,1,0.101263,2.685536,[4 1] ; [20 28],[2.26415094 2.73584906] ; [21.73584906 26.26415094],0
u1,1,0.184625,1.76,[2 3] ; [ 8 42],[0.90909091 4.09090909] ; [ 9.09090909 40.90909091],0
n5,1,0.200954,1.635429,[4 1] ; [24 24],[2.64150943 2.35849057] ; [25.35849057 22.64150943],0
s3,1,0.200954,1.635429,[4 1] ; [24 24],[2.64150943 2.35849057] ; [25.35849057 22.64150943],0
a6,1,0.249187,1.327857,[2 3] ; [33 17],[3.18181818 1.81818182] ; [31.81818182 18.18181818],0
n6,1,0.267355,1.230266,[4 1] ; [26 22],[2.83018868 2.16981132] ; [27.16981132 20.83018868],0
p8,1,0.309375,1.033342,[3 2] ; [18 31],[1.94444444 3.05555556] ; [19.05555556 29.94444444],0
p4,1,0.357525,0.846568,[3 2] ; [19 30],[2.03703704 2.96296296] ; [19.96296296 29.03703704],0
a4,1,0.357525,0.846568,[3 2] ; [19 30],[2.03703704 2.96296296] ; [19.96296296 29.03703704],0
v1,1,0.357525,0.846568,[3 2] ; [19 30],[2.03703704 2.96296296] ; [19.96296296 29.03703704],0
u3,1,0.420246,0.649627,[1 1] ; [ 5 16],[0.52173913 1.47826087] ; [ 5.47826087 15.52173913],0
a5,1,0.473146,0.51462,[4 1] ; [32 18],[3.27272727 1.72727273] ; [32.72727273 17.27272727],0
n1,1,0.490279,0.475913,[2 1] ; [10 12],[1.44 1.56] ; [10.56 11.44],0
p1,1,0.494053,0.467687,[1 4] ; [ 5 45],[0.54545455 4.45454545] ; [ 5.45454545 44.54545455],0
p2,1,0.608815,0.261905,[2 3] ; [26 24],[2.54545455 2.45454545] ; [25.45454545 24.54545455],0
p7,1,0.63795,0.221433,[1 3] ; [18 31],[1.43396226 2.56603774] ; [17.56603774 31.43396226],0
n3,1,0.642271,0.215784,[2 1] ; [11 10],[1.625 1.375] ; [11.375  9.625],0
b4,1,0.669764,0.181878,[2 3] ; [25 25],[2.45454545 2.54545455] ; [24.54545455 25.45454545],0
u2,1,0.67415,0.176786,[1 1] ; [ 7 13],[0.72727273 1.27272727] ; [ 7.27272727 12.72727273],0
n2,1,0.737989,0.111902,[2 1] ; [13 10],[1.73076923 1.26923077] ; [13.26923077  9.73076923],0
a7,1,0.739912,0.110204,[3 2] ; [33 16],[3.33333333 1.66666667] ; [32.66666667 16.33333333],0
p3,1,0.739912,0.110204,[2 3] ; [16 33],[1.66666667 3.33333333] ; [16.33333333 32.66666667],0
d3,1,0.787919,0.072368,[3 2] ; [33 17],[3.27272727 1.72727273] ; [32.72727273 17.27272727],0
a2,1,0.840909,0.040293,[1 4] ; [12 38],[1.18181818 3.81818182] ; [11.81818182 38.18181818],0
v3,1,0.889198,0.01941,[1 3] ; [13 33],[1.12 2.88] ; [12.88 33.12],0
v4,1,0.900149,0.015743,[4 1] ; [38 11],[3.88888889 1.11111111] ; [38.11111111 10.88888889],0
b5,1,0.931112,0.007473,[3 2] ; [29 21],[2.90909091 2.09090909] ; [29.09090909 20.90909091],0
a3,1,0.940711,0.005532,[3 2] ; [29 18],[3.07692308 1.92307692] ; [28.92307692 18.07692308],0
b3,1,0.97598,0.000907,[2 3] ; [11 17],[1.96969697 3.03030303] ; [11.03030303 16.96969697],0
b2,1,0.97598,0.000907,[2 3] ; [11 17],[1.96969697 3.03030303] ; [11.03030303 16.96969697],0
