Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,32.301384,[144 121] ; [88 14],[167.52043597  97.47956403] ; [64.47956403 37.52043597],1
p12,1,1e-06,23.821854,[  3 262] ; [13 89],[ 11.55313351 253.44686649] ; [ 4.44686649 97.55313351],1
s2,1,1e-06,23.515194,[103 161] ; [68 33],[123.68219178 140.31780822] ; [47.31780822 53.68219178],1
s8,1,1.7e-05,18.499646,[ 83 184] ; [56 45],[100.85054348 166.14945652] ; [38.14945652 62.85054348],1
p5,1,5.5e-05,16.267678,[  5 260] ; [12 90],[ 12.27520436 252.72479564] ; [ 4.72479564 97.27520436],1
s7,1,6e-05,16.090685,[ 92 163] ; [60 41],[108.87640449 146.12359551] ; [43.12359551 57.87640449],1
s3,1,0.000145,14.433844,[128 135] ; [69 28],[143.91944444 119.08055556] ; [53.08055556 43.91944444],1
s4,1,0.000768,11.316747,[ 27 236] ; [24 76],[ 36.95041322 226.04958678] ; [14.04958678 85.95041322],1
n6,1,0.009689,6.69127,[201  64] ; [89 12],[209.9726776  55.0273224] ; [80.0273224 20.9726776],0
p7,1,0.018757,5.523993,[123 134] ; [60 37],[132.8559322 124.1440678] ; [50.1440678 46.8559322],0
b3,1,0.0226,5.198998,[ 40 106] ; [27 35],[47.02884615 98.97115385] ; [19.97115385 42.02884615],0
b2,1,0.0226,5.198998,[ 40 106] ; [27 35],[47.02884615 98.97115385] ; [19.97115385 42.02884615],0
p6,1,0.023732,5.114092,[ 54 210] ; [32 69],[ 62.20273973 201.79726027] ; [23.79726027 77.20273973],0
u2,1,0.025366,4.998757,[55 35] ; [ 9 16],[50.08695652 39.91304348] ; [13.91304348 11.08695652],0
d2,1,0.025499,4.989667,[109 157] ; [54 46],[118.46448087 147.53551913] ; [44.53551913 55.46448087],0
v1,1,0.03958,4.235791,[118 145] ; [58 44],[126.81643836 136.18356164] ; [49.18356164 52.81643836],0
p1,1,0.046668,3.957331,[ 10 256] ; [ 9 92],[ 13.77111717 252.22888283] ; [ 5.22888283 95.77111717],0
p10,1,0.057678,3.60293,[185  78] ; [81 20],[192.19230769  70.80769231] ; [73.80769231 27.19230769],0
a5,1,0.059465,3.552235,[180  87] ; [79 23],[187.40650407  79.59349593] ; [71.59349593 30.40650407],0
p4,1,0.063772,3.436476,[ 91 173] ; [45 55],[ 98.63736264 165.36263736] ; [37.36263736 62.63736264],0
b5,1,0.074239,3.186721,[171  96] ; [55 47],[163.52845528 103.47154472] ; [62.47154472 39.52845528],0
r2,1,0.090353,2.868065,[248  17] ; [98  2],[251.20547945  13.79452055] ; [94.79452055  5.20547945],0
r3,1,0.091539,2.847096,[249  17] ; [98  2],[252.19125683  13.80874317] ; [94.80874317  5.19125683],0
d5,1,0.094415,2.797438,[203  63] ; [86 16],[208.89673913  57.10326087] ; [80.10326087 21.89673913],0
p9,1,0.098943,2.7225,[194  70] ; [81 18],[200.  64.] ; [75. 24.],0
n3,1,0.13786,2.201681,[48 30] ; [23  7],[51.27777778 26.72222222] ; [19.72222222 10.27777778],0
a2,1,0.167508,1.905103,[ 53 214] ; [27 75],[ 57.88617886 209.11382114] ; [22.11382114 79.88617886],0
a4,1,0.171923,1.866096,[109 156] ; [50 52],[114.80926431 150.19073569] ; [44.19073569 57.80926431],0
p8,1,0.187455,1.737509,[ 93 169] ; [43 57],[ 98.43093923 163.56906077] ; [37.56906077 62.43093923],0
a3,1,0.189123,1.724435,[176  89] ; [75 27],[181.23978202  83.76021798] ; [69.76021798 32.23978202],0
a6,1,0.199609,1.645235,[183  83] ; [63 39],[177.81521739  88.18478261] ; [68.18478261 33.81521739],0
n5,1,0.205378,1.60371,[178  86] ; [75 26],[182.99178082  81.00821918] ; [70.00821918 30.99178082],0
n1,1,0.212114,1.55694,[27 53] ; [14 16],[29.81818182 50.18181818] ; [11.18181818 18.81818182],0
d4,1,0.294332,1.099698,[216  49] ; [87 14],[219.3852459  45.6147541] ; [83.6147541 17.3852459],0
d3,1,0.29847,1.081016,[192  74] ; [68 34],[187.93478261  78.06521739] ; [72.06521739 29.93478261],0
s1,1,0.339376,0.912787,[ 14 246] ; [ 3 97],[ 12.27777778 247.72222222] ; [ 4.72222222 95.27777778],0
b1,1,0.358832,0.841978,[ 86 181] ; [38 64],[ 89.72357724 177.27642276] ; [34.27642276 67.72357724],0
b4,1,0.365688,0.818265,[163 104] ; [57 45],[159.18699187 107.81300813] ; [60.81300813 41.18699187],0
v3,1,0.374998,0.787037,[ 83 171] ; [38 63],[ 86.57464789 167.42535211] ; [34.42535211 66.57464789],0
d1,1,0.375227,0.786281,[146 121] ; [61 41],[149.7804878 117.2195122] ; [57.2195122 44.7804878],0
u1,1,0.379663,0.771791,[ 35 232] ; [17 85],[ 37.62601626 229.37398374] ; [14.37398374 87.62601626],0
n4,1,0.38465,0.755787,[186  80] ; [76 26],[189.38043478  76.61956522] ; [72.61956522 29.38043478],0
r4,1,0.445264,0.582679,[242  25] ; [95  7],[243.84552846  23.15447154] ; [93.15447154  8.84552846],0
a1,1,0.511417,0.431167,[  7 260] ; [ 4 98],[  7.95934959 259.04065041] ; [ 3.04065041 98.95934959],0
v2,1,0.518569,0.416739,[131 120] ; [56 44],[133.72364672 117.27635328] ; [53.27635328 46.72364672],0
a8,1,0.524879,0.404297,[ 35 211] ; [15 73],[ 36.82634731 209.17365269] ; [13.17365269 74.82634731],0
v4,1,0.529643,0.395076,[247  18] ; [95  5],[248.30136986  16.69863014] ; [93.69863014  6.30136986],0
a7,1,0.607047,0.264497,[200  67] ; [73 28],[198.07336957  68.92663043] ; [74.92663043 26.07336957],0
p2,1,0.640755,0.217756,[206  61] ; [81 21],[207.66666667  59.33333333] ; [79.33333333 22.66666667],0
n2,1,0.661674,0.191497,[56 24] ; [23  8],[56.93693694 23.06306306] ; [22.06306306  8.93693694],0
u3,1,0.856976,0.032481,[51 38] ; [16 11],[51.40517241 37.59482759] ; [15.59482759 11.40517241],0
p11,1,0.960563,0.002445,[197  70] ; [75 27],[196.81300813  70.18699187] ; [75.18699187 26.81300813],0
