Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,112.445927,[257   4] ; [70 52],[222.8381201  38.1618799] ; [104.1618799  17.8381201],1
d3,1,0.0,104.01442,[225  37] ; [42 80],[182.171875  79.828125] ; [84.828125 37.171875],1
d2,1,0.0,102.113629,[197  65] ; [25 97],[151.46875 110.53125] ; [70.53125 51.46875],1
d5,1,0.0,97.68219,[256   5] ; [74 48],[224.88250653  36.11749347] ; [105.11749347  16.88250653],1
a5,1,0.0,33.416127,[230  32] ; [76 46],[208.78125  53.21875] ; [97.21875 24.78125],1
u1,1,0.0,27.738749,[ 81 181] ; [  8 114],[ 60.72395833 201.27604167] ; [28.27604167 93.72395833],1
a4,1,0.0,27.06971,[152 110] ; [36 86],[128.27083333 133.72916667] ; [59.72916667 62.27083333],1
a2,1,0.0,25.701617,[ 93 169] ; [ 13 109],[ 72.32291667 189.67708333] ; [33.67708333 88.32291667],1
a3,1,0.003315,8.625692,[218  43] ; [86 36],[207.16449086  53.83550914] ; [96.83550914 25.16449086],0
p4,1,0.003471,8.541645,[187  74] ; [69 53],[174.45430809  86.54569191] ; [81.54569191 40.45430809],0
a7,1,0.003964,8.300043,[196  66] ; [73 48],[184.0156658  77.9843342] ; [84.9843342 36.0156658],0
p3,1,0.008571,6.910101,[166  96] ; [60 62],[154.19791667 107.80208333] ; [71.80208333 50.19791667],0
n4,1,0.008947,6.833469,[223  38] ; [90 31],[213.85602094  47.14397906] ; [99.14397906 21.85602094],0
a6,1,0.046505,3.963207,[183  78] ; [73 49],[174.45430809  86.54569191] ; [81.54569191 40.45430809],0
p9,1,0.056054,3.650445,[239  20] ; [105  17],[233.84776903  25.15223097] ; [110.15223097  11.84776903],0
s5,1,0.070045,3.28196,[120 127] ; [45 72],[111.96428571 135.03571429] ; [53.03571429 63.96428571],0
p8,1,0.082429,3.016353,[156 101] ; [62 59],[148.21693122 108.78306878] ; [69.78306878 51.21693122],0
