Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.6e-05,17.069022,[52  8] ; [12 15],[44.13793103 15.86206897] ; [19.86206897  7.13793103],1
p10,1,0.000145,14.429867,[49 10] ; [11 15],[41.64705882 17.35294118] ; [18.35294118  7.64705882],1
p4,1,0.004135,8.223762,[38 21] ; [ 8 18],[31.92941176 27.07058824] ; [14.07058824 11.92941176],0
v1,1,0.008206,6.987987,[42 16] ; [11 15],[36.5952381 21.4047619] ; [16.4047619  9.5952381],0
p9,1,0.016016,5.801064,[51  9] ; [16 10],[46.74418605 13.25581395] ; [20.25581395  5.74418605],0
p3,1,0.045783,3.98957,[32 27] ; [ 8 18],[27.76470588 31.23529412] ; [12.23529412 13.76470588],0
p8,1,0.046047,3.979857,[30 28] ; [ 7 18],[25.85542169 32.14457831] ; [11.14457831 13.85542169],0
n6,1,0.050822,3.81413,[51  9] ; [18  9],[47.5862069 12.4137931] ; [21.4137931  5.5862069],0
s1,1,0.054304,3.703321,[ 1 58] ; [ 3 24],[ 2.74418605 56.25581395] ; [ 1.25581395 25.74418605],0
p11,1,0.059282,3.557347,[49 11] ; [17 10],[45.51724138 14.48275862] ; [20.48275862  6.51724138],0
p7,1,0.114016,2.497655,[39 20] ; [13 14],[35.6744186 23.3255814] ; [16.3255814 10.6744186],0
s6,1,0.120712,2.40806,[38 18] ; [13 13],[34.82926829 21.17073171] ; [16.17073171  9.82926829],0
p5,1,0.126439,2.335693,[ 9 51] ; [ 1 26],[ 6.89655172 53.10344828] ; [ 3.10344828 23.89655172],0
p6,1,0.143851,2.136275,[28 30] ; [ 7 16],[25.0617284 32.9382716] ; [ 9.9382716 13.0617284],0
v3,1,0.145394,2.119919,[31 29] ; [ 9 17],[27.90697674 32.09302326] ; [12.09302326 13.90697674],0
s8,1,0.158955,1.984138,[25 35] ; [ 7 20],[22.06896552 37.93103448] ; [ 9.93103448 17.06896552],0
d3,1,0.182146,1.780024,[38 22] ; [21  6],[40.68965517 19.31034483] ; [18.31034483  8.68965517],0
r4,1,0.183368,1.770116,[38 22] ; [13 14],[35.17241379 24.82758621] ; [15.82758621 11.17241379],0
s2,1,0.205987,1.599408,[31 29] ; [10 17],[28.27586207 31.72413793] ; [12.72413793 14.27586207],0
p2,1,0.265029,1.242296,[46 13] ; [18  9],[43.90697674 15.09302326] ; [20.09302326  6.90697674],0
n1,1,0.268994,1.221872,[ 6 11] ; [ 2 10],[ 4.68965517 12.31034483] ; [3.31034483 8.68965517],0
b2,1,0.273211,1.200555,[12 27] ; [7 8],[13.72222222 25.27777778] ; [5.27777778 9.72222222],0
b3,1,0.273211,1.200555,[12 27] ; [7 8],[13.72222222 25.27777778] ; [5.27777778 9.72222222],0
u1,1,0.298022,1.083025,[ 3 57] ; [ 3 24],[ 4.13793103 55.86206897] ; [ 1.86206897 25.13793103],0
d5,1,0.309898,1.031111,[48 12] ; [24  3],[49.65517241 10.34482759] ; [22.34482759  4.65517241],0
a8,1,0.320496,0.986922,[ 6 50] ; [ 1 24],[ 4.83950617 51.16049383] ; [ 2.16049383 22.83950617],0
a3,1,0.325513,0.966667,[38 22] ; [20  7],[40. 20.] ; [18.  9.],0
a6,1,0.327003,0.960728,[31 29] ; [17 10],[33.10344828 26.89655172] ; [14.89655172 12.10344828],0
s7,1,0.427766,0.628882,[25 29] ; [10 17],[23.33333333 30.66666667] ; [11.66666667 15.33333333],0
d4,1,0.455862,0.556036,[47 13] ; [23  4],[48.27586207 11.72413793] ; [21.72413793  5.27586207],0
b1,1,0.460777,0.544007,[26 34] ; [14 13],[27.5862069 32.4137931] ; [12.4137931 14.5862069],0
d2,1,0.476962,0.505802,[24 36] ; [13 14],[25.51724138 34.48275862] ; [11.48275862 15.51724138],0
a4,1,0.522911,0.408148,[22 38] ; [ 8 19],[20.68965517 39.31034483] ; [ 9.31034483 17.68965517],0
v4,1,0.551277,0.355035,[51  8] ; [22  5],[50.08139535  8.91860465] ; [22.91860465  4.08139535],0
p12,1,0.571577,0.320051,[ 4 55] ; [ 1 26],[ 3.43023256 55.56976744] ; [ 1.56976744 25.43023256],0
u3,1,0.589876,0.290538,[10 12] ; [4 3],[10.62068966 11.37931034] ; [3.37931034 3.62068966],0
s3,1,0.638649,0.220513,[31 29] ; [12 14],[30. 30.] ; [13. 13.],0
r3,1,0.698636,0.149895,[54  6] ; [25  2],[54.48275862  5.51724138] ; [24.51724138  2.48275862],0
a2,1,0.772936,0.083254,[ 8 52] ; [ 3 24],[ 7.5862069 52.4137931] ; [ 3.4137931 23.5862069],0
a7,1,0.793291,0.068664,[36 24] ; [17 10],[36.55172414 23.44827586] ; [16.44827586 10.55172414],0
n3,1,0.797923,0.065555,[15  4] ; [9 3],[14.70967742  4.29032258] ; [9.29032258 2.70967742],0
a5,1,0.808429,0.058784,[35 25] ; [15 12],[34.48275862 25.51724138] ; [15.51724138 11.48275862],0
u2,1,0.826824,0.047863,[10 11] ; [3 4],[ 9.75 11.25] ; [3.25 3.75],0
s4,1,0.832459,0.044753,[10 50] ; [ 5 22],[10.34482759 49.65517241] ; [ 4.65517241 22.34482759],0
a1,1,0.883217,0.021577,[ 5 55] ; [ 2 25],[ 4.82758621 55.17241379] ; [ 2.17241379 24.82758621],0
p1,1,0.899618,0.015912,[ 4 56] ; [ 2 25],[ 4.13793103 55.86206897] ; [ 1.86206897 25.13793103],0
s5,1,0.899883,0.015828,[15 39] ; [ 7 17],[15.23076923 38.76923077] ; [ 6.76923077 17.23076923],0
d1,1,0.92299,0.009345,[34 26] ; [15 12],[33.79310345 26.20689655] ; [15.20689655 11.79310345],0
n2,1,0.935004,0.00665,[14  5] ; [9 3],[14.09677419  4.90322581] ; [8.90322581 3.09677419],0
r2,1,0.943058,0.005102,[46 12] ; [20  5],[46.12048193 11.87951807] ; [19.87951807  5.12048193],0
b5,1,0.97356,0.001098,[38 22] ; [17 10],[37.93103448 22.06896552] ; [17.06896552  9.93103448],0
