Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000319,12.956799,[11 17] ; [93 32],[19.03267974  8.96732026] ; [84.96732026 40.03267974],1
r4,1,0.004503,8.068809,[11 17] ; [85 40],[17.56862745 10.43137255] ; [78.43137255 46.56862745],0
p9,1,0.012237,6.276139,[20  8] ; [111  13],[24.13157895  3.86842105] ; [106.86842105  17.13157895],0
b1,1,0.012546,6.232022,[16 12] ; [40 85],[10.24836601 17.75163399] ; [45.75163399 79.24836601],0
p3,1,0.017359,5.659686,[ 6 21] ; [59 66],[11.54605263 15.45394737] ; [53.45394737 71.54605263],0
n5,1,0.018304,5.566773,[15 13] ; [94 30],[20.07894737  7.92105263] ; [88.92105263 35.07894737],0
v3,1,0.020416,5.375973,[ 3 24] ; [41 81],[ 7.97315436 19.02684564] ; [36.02684564 85.97315436],0
p10,1,0.023336,5.143301,[18  9] ; [104  18],[22.10738255  4.89261745] ; [99.89261745 22.10738255],0
b4,1,0.048191,3.903297,[13 15] ; [83 42],[17.56862745 10.43137255] ; [78.43137255 46.56862745],0
n1,1,0.057341,3.612675,[6 3] ; [13 27],[3.48979592 5.51020408] ; [15.51020408 24.48979592],0
r3,1,0.116579,2.462691,[23  5] ; [114  10],[25.23684211  2.76315789] ; [111.76315789  12.23684211],0
u3,1,0.126609,2.333598,[7 4] ; [18 29],[4.74137931 6.25862069] ; [20.25862069 26.74137931],0
s4,1,0.150866,2.06347,[ 8 20] ; [ 21 104],[ 5.30718954 22.69281046] ; [ 23.69281046 101.30718954],0
b3,1,0.161792,1.957398,[ 4 17] ; [27 50],[ 6.64285714 14.35714286] ; [24.35714286 52.64285714],0
b2,1,0.161792,1.957398,[ 4 17] ; [27 50],[ 6.64285714 14.35714286] ; [24.35714286 52.64285714],0
r2,1,0.175176,1.838081,[18  8] ; [99 23],[20.55405405  5.44594595] ; [96.44594595 25.55405405],0
n2,1,0.2559,1.290806,[10  1] ; [30 10],[8.62745098 2.37254902] ; [31.37254902  8.62745098],0
d5,1,0.278365,1.175054,[18 10] ; [93 32],[20.31372549  7.68627451] ; [90.68627451 34.31372549],0
a2,1,0.297083,1.087241,[ 4 24] ; [ 10 115],[ 2.5620915 25.4379085] ; [ 11.4379085 113.5620915],0
v4,1,0.30478,1.053161,[22  5] ; [110  14],[23.60264901  3.39735099] ; [108.39735099  15.60264901],0
v1,1,0.349269,0.876113,[ 9 17] ; [54 67],[11.14285714 14.85714286] ; [51.85714286 69.14285714],0
a7,1,0.387108,0.748008,[15 13] ; [78 47],[17.01960784 10.98039216] ; [75.98039216 49.01960784],0
d3,1,0.40022,0.707665,[13 15] ; [69 56],[15.00653595 12.99346405] ; [66.99346405 58.00653595],0
u2,1,0.413972,0.667365,[7 4] ; [24 24],[5.77966102 5.22033898] ; [25.22033898 22.77966102],0
d2,1,0.415904,0.66186,[12 16] ; [43 81],[10.13157895 17.86842105] ; [44.86842105 79.13157895],0
a4,1,0.421394,0.646425,[ 7 21] ; [41 84],[ 8.78431373 19.21568627] ; [39.21568627 85.78431373],0
b5,1,0.440075,0.596086,[19  9] ; [75 50],[17.20261438 10.79738562] ; [76.79738562 48.20261438],0
p5,1,0.445249,0.582718,[ 2 26] ; [ 15 108],[ 3.15231788 24.84768212] ; [ 13.84768212 109.15231788],0
s5,1,0.449407,0.572146,[ 5 22] ; [30 88],[ 6.51724138 20.48275862] ; [28.48275862 89.51724138],0
s3,1,0.466723,0.529724,[15 13] ; [57 67],[13.26315789 14.73684211] ; [58.73684211 65.26315789],0
d4,1,0.479843,0.499221,[19  9] ; [93 32],[20.49673203  7.50326797] ; [91.50326797 33.49673203],0
a5,1,0.512775,0.4284,[14 14] ; [71 54],[15.55555556 12.44444444] ; [69.44444444 55.55555556],0
p8,1,0.522836,0.408296,[11 15] ; [61 63],[12.48 13.52] ; [59.52 64.48],0
s7,1,0.541526,0.372718,[10 18] ; [50 69],[11.42857143 16.57142857] ; [48.57142857 70.42857143],0
s6,1,0.543782,0.368576,[15 13] ; [73 49],[16.42666667 11.57333333] ; [71.57333333 50.42666667],0
p12,1,0.584698,0.298701,[ 1 26] ; [  8 116],[ 1.60927152 25.39072848] ; [  7.39072848 116.60927152],0
p1,1,0.592368,0.286661,[ 2 26] ; [ 13 111],[ 2.76315789 25.23684211] ; [ 12.23684211 111.76315789],0
n3,1,0.636838,0.222902,[9 2] ; [30 10],[8.41176471 2.58823529] ; [30.58823529  9.41176471],0
p7,1,0.6818,0.168107,[15 11] ; [65 57],[14.05405405 11.94594595] ; [65.94594595 56.05405405],0
s8,1,0.68383,0.165847,[11 17] ; [44 81],[10.06535948 17.93464052] ; [44.93464052 80.06535948],0
p4,1,0.716506,0.131865,[13 14] ; [65 60],[13.85526316 13.14473684] ; [64.14473684 60.85526316],0
p2,1,0.73851,0.111441,[20  6] ; [99 25],[20.62666667  5.37333333] ; [98.37333333 25.62666667],0
s2,1,0.755614,0.096874,[13 15] ; [54 71],[12.26143791 15.73856209] ; [54.73856209 70.26143791],0
u1,1,0.778537,0.079088,[ 1 27] ; [  6 119],[ 1.28104575 26.71895425] ; [  5.71895425 119.28104575],0
p6,1,0.827202,0.047651,[ 9 17] ; [45 77],[ 9.48648649 16.51351351] ; [44.51351351 77.48648649],0
a1,1,0.885695,0.020665,[ 2 26] ; [  8 117],[ 1.83006536 26.16993464] ; [  8.16993464 116.83006536],0
a3,1,0.930645,0.007575,[17 11] ; [77 48],[17.20261438 10.79738562] ; [76.79738562 48.20261438],0
a8,1,0.943029,0.005107,[ 3 25] ; [ 12 105],[ 2.89655172 25.10344828] ; [ 12.10344828 104.89655172],0
a6,1,0.96472,0.001956,[16 12] ; [72 53],[16.10457516 11.89542484] ; [71.89542484 53.10457516],0
d1,1,0.96472,0.001956,[12 16] ; [53 72],[11.89542484 16.10457516] ; [53.10457516 71.89542484],0
v2,1,0.98615,0.000301,[12 15] ; [54 67],[12.04054054 14.95945946] ; [53.95945946 67.04054054],0
