Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000274,13.242363,[14 78] ; [12 12],[20.62068966 71.37931034] ; [ 5.37931034 18.62068966],1
p2,1,0.005951,7.565217,[40 52] ; [18  6],[46. 46.] ; [12. 12.],0
p7,1,0.051253,3.8,[26 64] ; [12 12],[30. 60.] ; [ 8. 16.],0
p11,1,0.082021,3.024387,[43 49] ; [16  8],[46.79310345 45.20689655] ; [12.20689655 11.79310345],0
p1,1,0.139626,2.182076,[ 4 87] ; [ 3 21],[ 5.53913043 85.46086957] ; [ 1.46086957 22.53913043],0
b1,1,0.788017,0.0723,[45 47] ; [11 13],[44.4137931 47.5862069] ; [11.5862069 12.4137931],0
