Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.042935,4.097943,[ 9 43] ; [ 7 10],[12.05797101 39.94202899] ; [ 3.94202899 13.05797101],0
v3,1,0.050166,3.835897,[ 7 44] ; [ 6 11],[ 9.75 41.25] ; [ 3.25 13.75],0
s7,1,0.052844,3.748851,[ 9 41] ; [ 7 10],[11.94029851 38.05970149] ; [ 4.05970149 12.94029851],0
b4,1,0.066304,3.37223,[30 22] ; [14  3],[33.15942029 18.84057971] ; [10.84057971  6.15942029],0
a4,1,0.07663,3.134968,[ 4 48] ; [ 4 13],[ 6.02898551 45.97101449] ; [ 1.97101449 15.02898551],0
d4,1,0.078208,3.101754,[26 26] ; [12  4],[29.05882353 22.94117647] ; [8.94117647 7.05882353],0
a3,1,0.078731,3.090909,[15 36] ; [9 8],[18. 33.] ; [ 6. 11.],0
u2,1,0.087753,2.915114,[15 21] ; [6 2],[17.18181818 18.81818182] ; [3.81818182 4.18181818],0
n1,1,0.089245,2.887944,[ 8 15] ; [ 1 11],[ 5.91428571 17.08571429] ; [3.08571429 8.91428571],0
n3,1,0.121827,2.393672,[14  9] ; [4 8],[11.82857143 11.17142857] ; [6.17142857 5.82857143],0
s1,1,0.131341,2.276584,[ 3 49] ; [ 3 14],[ 4.52173913 47.47826087] ; [ 1.47826087 15.52173913],0
d5,1,0.141506,2.161504,[20 32] ; [10  7],[22.60869565 29.39130435] ; [7.39130435 9.60869565],0
p9,1,0.161429,1.960784,[28 23] ; [ 6 11],[25.5 25.5] ; [8.5 8.5],0
p11,1,0.233443,1.41976,[27 25] ; [ 6 11],[24.86956522 27.13043478] ; [8.13043478 8.86956522],0
s4,1,0.25075,1.319118,[13 39] ; [ 2 15],[11.30434783 40.69565217] ; [ 3.69565217 13.30434783],0
b5,1,0.291188,1.11412,[26 26] ; [11  6],[27.88405797 24.11594203] ; [9.11594203 7.88405797],0
v2,1,0.309865,1.03125,[15 35] ; [7 9],[16.66666667 33.33333333] ; [ 5.33333333 10.66666667],0
p3,1,0.31402,1.013692,[12 40] ; [ 2 15],[10.55072464 41.44927536] ; [ 3.44927536 13.55072464],0
s8,1,0.324912,0.969072,[ 7 45] ; [ 4 13],[ 8.28985507 43.71014493] ; [ 2.71014493 14.28985507],0
s3,1,0.336182,0.924938,[17 33] ; [8 9],[18.65671642 31.34328358] ; [ 6.34328358 10.65671642],0
v4,1,0.344232,0.894607,[32 18] ; [13  4],[33.58208955 16.41791045] ; [11.41791045  5.58208955],0
n4,1,0.364367,0.822784,[24 28] ; [10  7],[25.62318841 26.37681159] ; [8.37681159 8.62318841],0
p7,1,0.366608,0.815128,[22 28] ; [ 5 11],[20.45454545 29.54545455] ; [6.54545455 9.45454545],0
p8,1,0.369209,0.806324,[18 33] ; [ 4 13],[16.5 34.5] ; [ 5.5 11.5],0
p4,1,0.423432,0.640769,[15 37] ; [ 3 13],[13.76470588 38.23529412] ; [ 4.23529412 11.76470588],0
s2,1,0.508987,0.436148,[14 38] ; [ 6 11],[15.07246377 36.92753623] ; [ 4.92753623 12.07246377],0
b2,1,0.526452,0.401235,[10 20] ; [2 7],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
b3,1,0.526452,0.401235,[10 20] ; [2 7],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
b1,1,0.527227,0.399733,[26 26] ; [ 7 10],[24.86956522 27.13043478] ; [8.13043478 8.86956522],0
v1,1,0.538795,0.377778,[16 35] ; [ 4 13],[15. 36.] ; [ 5. 12.],0
p6,1,0.548817,0.35944,[ 9 41] ; [ 2 15],[ 8.20895522 41.79104478] ; [ 2.79104478 14.20895522],0
p2,1,0.557854,0.343434,[34 17] ; [10  7],[33. 18.] ; [11.  6.],0
n2,1,0.560891,0.338164,[13 10] ; [8 4],[13.8  9.2] ; [7.2 4.8],0
d3,1,0.569327,0.32381,[20 31] ; [8 9],[21. 30.] ; [ 7. 10.],0
p1,1,0.621527,0.243728,[ 4 47] ; [ 2 15],[ 4.5 46.5] ; [ 1.5 15.5],0
a6,1,0.625144,0.238704,[18 34] ; [ 7 10],[18.84057971 33.15942029] ; [ 6.15942029 10.84057971],0
a7,1,0.634041,0.22662,[23 29] ; [ 6 10],[22.17647059 29.82352941] ; [6.82352941 9.17647059],0
u3,1,0.666853,0.185305,[11 26] ; [3 5],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
n5,1,0.720223,0.128279,[28 24] ; [10  7],[28.63768116 23.36231884] ; [9.36231884 7.63768116],0
s6,1,0.72819,0.12078,[16 36] ; [ 6 11],[16.57971014 35.42028986] ; [ 5.42028986 11.57971014],0
p10,1,0.778341,0.079232,[24 25] ; [9 8],[24.5 24.5] ; [8.5 8.5],0
d2,1,0.873999,0.025148,[12 40] ; [ 4 12],[12.23529412 39.76470588] ; [ 3.76470588 12.23529412],0
s5,1,0.874167,0.02508,[ 8 42] ; [ 3 14],[ 8.20895522 41.79104478] ; [ 2.79104478 14.20895522],0
r3,1,0.918749,0.010406,[30 22] ; [9 7],[29.82352941 22.17647059] ; [9.17647059 6.82352941],0
n6,1,0.941845,0.005322,[27 25] ; [9 8],[27.13043478 24.86956522] ; [8.86956522 8.13043478],0
r2,1,0.986008,0.000308,[28 22] ; [9 7],[28.03030303 21.96969697] ; [8.96969697 7.03030303],0
