Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,8.6e-05,15.432076,[42 34] ; [124  31],[54.61471861 21.38528139] ; [111.38528139  43.61471861],1
p10,1,0.000143,14.458889,[37 40] ; [113  41],[50. 27.] ; [100.  54.],1
p2,1,0.000155,14.315934,[47 33] ; [125  28],[59.05579399 20.94420601] ; [112.94420601  40.05579399],1
s4,1,0.00302,8.795103,[26 55] ; [ 24 131],[17.16101695 63.83898305] ; [ 32.83898305 122.16101695],0
b1,1,0.006307,7.460337,[38 43] ; [ 45 110],[28.48728814 52.51271186] ; [ 54.51271186 100.48728814],0
n4,1,0.007102,7.24706,[22 59] ; [70 85],[31.57627119 49.42372881] ; [60.42372881 94.57627119],0
p7,1,0.013679,6.079048,[33 47] ; [88 63],[41.9047619 38.0952381] ; [79.0952381 71.9047619],0
n6,1,0.016848,5.712124,[42 38] ; [106  49],[50.38297872 29.61702128] ; [97.61702128 57.38297872],0
d2,1,0.019952,5.416072,[42 39] ; [56 99],[33.63559322 47.36440678] ; [64.36440678 90.63559322],0
r4,1,0.022301,5.222136,[66 15] ; [142  13],[71.38983051  9.61016949] ; [136.61016949  18.38983051],0
s1,1,0.035974,4.398346,[ 7 74] ; [  4 151],[ 3.77542373 77.22457627] ; [  7.22457627 147.77542373],0
p8,1,0.052585,3.75706,[25 54] ; [69 85],[31.87124464 47.12875536] ; [62.12875536 91.87124464],0
r3,1,0.072143,3.233582,[74  7] ; [150   5],[76.88135593  4.11864407] ; [147.11864407   7.88135593],0
b3,1,0.075072,3.168491,[ 6 27] ; [33 62],[10.0546875 22.9453125] ; [28.9453125 66.0546875],0
b2,1,0.075072,3.168491,[ 6 27] ; [33 62],[10.0546875 22.9453125] ; [28.9453125 66.0546875],0
a2,1,0.076579,3.136057,[17 64] ; [ 19 136],[12.3559322 68.6440678] ; [ 23.6440678 131.3559322],0
s2,1,0.102349,2.66855,[40 41] ; [59 95],[34.12340426 46.87659574] ; [64.87659574 89.12340426],0
v4,1,0.115226,2.481046,[73  8] ; [146   7],[75.80769231  5.19230769] ; [143.19230769   9.80769231],0
p5,1,0.134529,2.239453,[ 1 79] ; [  8 145],[ 3.09012876 76.90987124] ; [  5.90987124 147.09012876],0
s8,1,0.148981,2.082658,[20 60] ; [ 53 102],[24.85106383 55.14893617] ; [ 48.14893617 106.85106383],0
p12,1,0.193091,1.693875,[ 1 78] ; [  7 147],[ 2.71244635 76.28755365] ; [  5.28755365 148.71244635],0
r1,1,0.233526,1.419256,[58 23] ; [121  33],[61.69787234 19.30212766] ; [117.30212766  36.69787234],0
s6,1,0.254762,1.297001,[47 32] ; [79 74],[42.90517241 36.09482759] ; [83.09482759 69.90517241],0
d1,1,0.260364,1.266821,[47 34] ; [78 77],[42.90254237 38.09745763] ; [82.09745763 72.90254237],0
d5,1,0.268287,1.225485,[65 15] ; [116  39],[61.61702128 18.38297872] ; [119.38297872  35.61702128],0
s5,1,0.328382,0.955266,[24 50] ; [ 39 110],[20.9058296 53.0941704] ; [ 42.0941704 106.9058296],0
p4,1,0.338162,0.917388,[30 49] ; [69 86],[33.42307692 45.57692308] ; [65.57692308 89.42307692],0
p6,1,0.353102,0.862277,[18 61] ; [ 43 108],[20.95217391 58.04782609] ; [ 40.04782609 110.95217391],0
u1,1,0.363258,0.826599,[11 70] ; [ 15 140],[ 8.92372881 72.07627119] ; [ 17.07627119 137.92372881],0
a4,1,0.37223,0.796207,[33 48] ; [ 54 101],[29.86016949 51.13983051] ; [57.13983051 97.86016949],0
v1,1,0.388145,0.744745,[27 52] ; [60 90],[30.01310044 48.98689956] ; [56.98689956 93.01310044],0
a1,1,0.435653,0.607705,[ 2 79] ; [  7 148],[ 3.08898305 77.91101695] ; [  5.91101695 149.08898305],0
u3,1,0.498668,0.457771,[17 12] ; [37 19],[18.42352941 10.57647059] ; [35.57647059 20.42352941],0
p3,1,0.513034,0.427873,[29 51] ; [63 92],[31.31914894 48.68085106] ; [60.68085106 94.31914894],0
b5,1,0.529346,0.395646,[52 29] ; [93 62],[49.76694915 31.23305085] ; [95.23305085 59.76694915],0
v3,1,0.557596,0.343884,[23 50] ; [ 41 107],[21.14027149 51.85972851] ; [ 42.85972851 105.14027149],0
n2,1,0.589557,0.291036,[19 12] ; [25 12],[20.05882353 10.94117647] ; [23.94117647 13.05882353],0
n1,1,0.599088,0.276373,[ 8 23] ; [12 26],[ 8.98550725 22.01449275] ; [11.01449275 26.98550725],0
s3,1,0.608008,0.263086,[41 39] ; [73 80],[39.1416309 40.8583691] ; [74.8583691 78.1416309],0
a6,1,0.754003,0.098198,[49 32] ; [97 58],[50.11016949 30.88983051] ; [95.88983051 59.11016949],0
a3,1,0.836211,0.042742,[50 30] ; [99 56],[50.72340426 29.27659574] ; [98.27659574 56.72340426],0
v2,1,0.844019,0.038713,[39 37] ; [78 70],[39.69642857 36.30357143] ; [77.30357143 70.69642857],0
d3,1,0.8788,0.023254,[56 24] ; [107  48],[55.4893617 24.5106383] ; [107.5106383  47.4893617],0
a5,1,0.882919,0.021688,[52 29] ; [98 57],[51.48305085 29.51694915] ; [98.51694915 56.48305085],0
