Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,201.319021,[  9 131] ; [438 173],[83.32889481 56.67110519] ; [363.67110519 247.32889481],1
d4,1,0.0,111.803508,[72 67] ; [547  64],[114.72133333  24.27866667] ; [504.27866667 106.72133333],1
d3,1,0.0,53.577121,[60 79] ; [458 153],[96.00266667 42.99733333] ; [421.99733333 189.00266667],1
a4,1,0.0,48.343062,[ 26 112] ; [314 296],[62.72727273 75.27272727] ; [277.27272727 332.72727273],1
a5,1,0.0,46.734556,[70 69] ; [481 130],[102.11866667  36.88133333] ; [448.88133333 162.11866667],1
a3,1,0.0,45.833008,[66 72] ; [467 142],[98.46586345 39.53413655] ; [434.53413655 174.46586345],1
d2,1,0.0,43.904588,[ 34 106] ; [337 272],[69.34579439 70.65420561] ; [301.65420561 307.34579439],1
u1,1,0.0,26.714018,[  5 135] ; [138 473],[ 26.65778961 113.34221039] ; [116.34221039 494.65778961],1
a2,1,2e-06,22.991577,[ 12 128] ; [170 441],[ 33.92809587 106.07190413] ; [148.07190413 462.92809587],1
n4,1,0.000406,12.505662,[97 42] ; [506 104],[111.90520694  27.09479306] ; [491.09479306 118.90520694],1
p4,1,0.002295,9.297601,[67 69] ; [386 223],[82.69530201 53.30469799] ; [370.30469799 238.69530201],0
p3,1,0.002389,9.223403,[54 84] ; [326 284],[70.10695187 67.89304813] ; [309.89304813 300.10695187],0
p2,1,0.002455,9.17404,[104  34] ; [522  86],[115.80160858  22.19839142] ; [510.19839142  97.80160858],0
r1,1,0.003802,8.375923,[100  40] ; [500 108],[112.29946524  27.70053476] ; [487.70053476 120.29946524],0
s6,1,0.004933,7.903727,[80 56] ; [425 172],[93.69713506 42.30286494] ; [411.30286494 185.69713506],0
s8,1,0.006069,7.529828,[49 90] ; [292 315],[63.53753351 75.46246649] ; [277.46246649 329.53753351],0
v1,1,0.017728,5.622816,[62 74] ; [338 257],[74.41860465 61.58139535] ; [325.58139535 269.41860465],0
a7,1,0.023255,5.149332,[91 48] ; [457 153],[101.69826435  37.30173565] ; [446.30173565 163.69826435],0
s2,1,0.024683,5.046023,[58 78] ; [323 283],[69.8328841 66.1671159] ; [311.1671159 294.8328841],0
r4,1,0.025157,5.01302,[124  16] ; [574  37],[130.11984021   9.88015979] ; [567.88015979  43.11984021],0
p1,1,0.026113,4.948524,[ 18 120] ; [ 44 563],[ 11.48456376 126.51543624] ; [ 50.51543624 556.48456376],0
p10,1,0.029883,4.71602,[104  31] ; [511  92],[112.5  22.5] ; [502.5 100.5],0
r2,1,0.039182,4.252956,[129  11] ; [580  23],[133.5935397   6.4064603] ; [575.4064603  27.5935397],0
n5,1,0.041645,4.149558,[101  38] ; [490 119],[109.82486631  29.17513369] ; [481.17513369 127.82486631],0
s7,1,0.047028,3.944402,[57 76] ; [306 278],[67.33472803 65.66527197] ; [295.66527197 288.33472803],0
p9,1,0.052613,3.756177,[111  26] ; [525  76],[118.06504065  18.93495935] ; [517.93495935  83.06504065],0
s5,1,0.085167,2.963423,[38 95] ; [214 373],[46.55 86.45] ; [205.45 381.55],0
v2,1,0.105142,2.625765,[69 65] ; [349 241],[77.36464088 56.63535912] ; [340.63535912 249.36464088],0
v3,1,0.13065,2.284764,[49 89] ; [251 339],[56.86813187 81.13186813] ; [243.13186813 346.86813187],0
p7,1,0.171527,1.869547,[81 55] ; [392 204],[87.87978142 48.12021858] ; [385.12021858 210.87978142],0
a6,1,0.204009,1.613439,[87 52] ; [416 194],[93.34712951 45.65287049] ; [409.65287049 200.34712951],0
u3,1,0.262308,1.256536,[36 37] ; [82 61],[39.87962963 33.12037037] ; [78.12037037 64.87962963],0
s1,1,0.265576,1.239453,[  6 129] ; [ 16 589],[  4.01351351 130.98648649] ; [ 17.98648649 587.01351351],0
a1,1,0.291972,1.110508,[  4 136] ; [ 30 581],[  6.33821571 133.66178429] ; [ 27.66178429 583.33821571],0
s3,1,0.320968,0.984998,[71 65] ; [343 260],[76.1894452 59.8105548] ; [337.8105548 265.1894452],0
n3,1,0.335234,0.928571,[19  9] ; [98 30],[21.  7.] ; [96. 32.],0
p5,1,0.349122,0.876645,[ 20 117] ; [ 71 536],[ 16.75672043 120.24327957] ; [ 74.24327957 532.75672043],0
u4,1,0.357546,0.846493,[  2 138] ; [ 17 594],[  3.54194407 136.45805593] ; [ 15.45805593 595.54194407],0
p12,1,0.360083,0.837602,[ 14 122] ; [ 48 560],[ 11.33333333 124.66666667] ; [ 50.66666667 557.33333333],0
a8,1,0.377999,0.777201,[ 16 115] ; [ 84 467],[ 19.20821114 111.79178886] ; [ 80.79178886 470.20821114],0
u2,1,0.412098,0.672741,[34 38] ; [76 67],[36.8372093 35.1627907] ; [73.1627907 69.8372093],0
n1,1,0.439146,0.598512,[ 8 19] ; [48 80],[ 9.75483871 17.24516129] ; [46.24516129 81.75483871],0
b5,1,0.457233,0.552659,[80 60] ; [370 241],[83.88814913 56.11185087] ; [366.11185087 244.88814913],0
p6,1,0.467289,0.52838,[48 89] ; [231 371],[51.72259811 85.27740189] ; [227.27740189 374.72259811],0
b1,1,0.503745,0.447038,[53 87] ; [213 398],[49.58721704 90.41278296] ; [216.41278296 394.58721704],0
n2,1,0.573056,0.317595,[22  6] ; [94 34],[20.82051282  7.17948718] ; [95.17948718 32.82051282],0
s4,1,0.606739,0.264952,[ 25 113] ; [ 98 503],[ 22.96887686 115.03112314] ; [100.03112314 500.96887686],0
v4,1,0.771532,0.084316,[135   5] ; [584  25],[134.39252336   5.60747664] ; [584.60747664  24.39252336],0
p8,1,0.883909,0.02132,[72 65] ; [320 281],[72.7696477 64.2303523] ; [319.2303523 281.7696477],0
b2,1,0.905844,0.013991,[31 50] ; [145 227],[31.47019868 49.52980132] ; [144.52980132 227.47019868],0
b3,1,0.905844,0.013991,[31 50] ; [145 227],[31.47019868 49.52980132] ; [144.52980132 227.47019868],0
p11,1,0.93158,0.007371,[115  25] ; [500 111],[114.64713715  25.35286285] ; [500.35286285 110.64713715],0
b4,1,0.939773,0.005709,[82 58] ; [360 251],[82.39680426 57.60319574] ; [359.60319574 251.39680426],0
