Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.394337,[103  46] ; [ 7 24],[91.05555556 57.94444444] ; [18.94444444 12.05555556],1
p8,1,2e-06,23.083059,[84 63] ; [ 3 28],[71.84831461 75.15168539] ; [15.15168539 15.84831461],1
v4,1,1e-05,19.458243,[146   2] ; [25  6],[141.38547486   6.61452514] ; [29.61452514  1.38547486],1
p7,1,1.3e-05,18.963526,[106  39] ; [10 21],[95.56818182 49.43181818] ; [20.43181818 10.56818182],1
p3,1,0.005224,7.800161,[79 69] ; [ 8 23],[71.93296089 76.06703911] ; [15.06703911 15.93296089],0
b1,1,0.005741,7.629892,[56 93] ; [20 11],[62.91111111 86.08888889] ; [13.08888889 17.91111111],0
p11,1,0.009598,6.708022,[119  30] ; [18 13],[113.40555556  35.59444444] ; [23.59444444  7.40555556],0
p9,1,0.013008,6.168033,[130  18] ; [21  9],[125.5505618  22.4494382] ; [25.4494382  4.5505618],0
p12,1,0.020265,5.388922,[  7 142] ; [ 5 26],[  9.93333333 139.06666667] ; [ 2.06666667 28.93333333],0
a3,1,0.023815,5.108063,[112  37] ; [29  2],[116.71666667  32.28333333] ; [24.28333333  6.71666667],0
d2,1,0.030141,4.701232,[72 77] ; [21  9],[77.41340782 71.58659218] ; [15.58659218 14.41340782],0
s2,1,0.034279,4.480741,[106  43] ; [16 15],[100.98888889  48.01111111] ; [21.01111111  9.98888889],0
b4,1,0.036023,4.396029,[75 74] ; [22  9],[80.29444444 68.70555556] ; [16.70555556 14.29444444],0
v2,1,0.066267,3.373154,[59 88] ; [17 12],[63.47727273 83.52272727] ; [12.52272727 16.47727273],0
p6,1,0.095154,2.784953,[62 86] ; [ 8 23],[57.87709497 90.12290503] ; [12.12290503 18.87709497],0
v3,1,0.101626,2.679843,[ 40 106] ; [12 16],[ 43.63218391 102.36781609] ; [ 8.36781609 19.63218391],0
p5,1,0.107601,2.589107,[ 20 129] ; [ 1 30],[ 17.38333333 131.61666667] ; [ 3.61666667 27.38333333],0
a2,1,0.138434,2.19528,[ 34 115] ; [11 20],[ 37.25 111.75] ; [ 7.75 23.25],0
n5,1,0.144276,2.131749,[114  34] ; [20 11],[110.79329609  37.20670391] ; [23.20670391  7.79329609],0
a4,1,0.162077,1.954737,[66 83] ; [18 13],[69.53333333 79.46666667] ; [14.46666667 16.53333333],0
d1,1,0.170672,1.87703,[86 63] ; [22  9],[89.4 59.6] ; [18.6 12.4],0
n1,1,0.190239,1.715764,[17 24] ; [7 4],[18.92307692 22.07692308] ; [5.07692308 5.92307692],0
p10,1,0.19876,1.651463,[125  24] ; [23  8],[122.51111111  26.48888889] ; [25.48888889  5.51111111],0
u1,1,0.199256,1.647817,[ 28 121] ; [ 9 22],[ 30.62777778 118.37222222] ; [ 6.37222222 24.62777778],0
a8,1,0.212423,1.554835,[ 21 116] ; [ 2 28],[ 18.86826347 118.13173653] ; [ 4.13173653 25.86826347],0
s8,1,0.27086,1.212386,[85 64] ; [21 10],[87.74444444 61.25555556] ; [18.25555556 12.74444444],0
r4,1,0.27836,1.17508,[131  18] ; [25  6],[129.13333333  19.86666667] ; [26.86666667  4.13333333],0
n4,1,0.279467,1.169681,[123  26] ; [23  8],[120.85555556  28.14444444] ; [25.14444444  5.85555556],0
s3,1,0.315023,1.0095,[113  35] ; [21 10],[110.79329609  37.20670391] ; [23.20670391  7.79329609],0
a7,1,0.315167,1.008896,[105  44] ; [19 12],[102.64444444  46.35555556] ; [21.35555556  9.64444444],0
s1,1,0.362232,0.83014,[  8 141] ; [ 3 28],[  9.10555556 139.89444444] ; [ 1.89444444 29.10555556],0
r1,1,0.374363,0.789132,[121  28] ; [23  8],[119.2  29.8] ; [24.8  6.2],0
d4,1,0.476517,0.506825,[121  28] ; [26  4],[122.36312849  26.63687151] ; [24.63687151  5.36312849],0
n6,1,0.548406,0.36018,[130  18] ; [26  5],[128.98324022  19.01675978] ; [27.01675978  3.98324022],0
p1,1,0.553703,0.350725,[ 14 135] ; [ 4 27],[ 14.9 134.1] ; [ 3.1 27.9],0
a6,1,0.564728,0.331584,[91 58] ; [20 10],[92.39664804 56.60335196] ; [18.60335196 11.39664804],0
u3,1,0.607717,0.263514,[25 12] ; [1 1],[24.66666667 12.33333333] ; [1.33333333 0.66666667],0
d3,1,0.63602,0.223985,[101  48] ; [19 11],[99.88826816 49.11173184] ; [20.11173184  9.88826816],0
n2,1,0.659999,0.193524,[30 11] ; [8 4],[29.39622642 11.60377358] ; [8.60377358 3.39622642],0
d5,1,0.662179,0.190888,[119  30] ; [25  5],[119.86592179  29.13407821] ; [24.13407821  5.86592179],0
a1,1,0.683572,0.166133,[  7 142] ; [ 2 29],[  7.45 141.55] ; [ 1.55 29.45],0
u2,1,0.691862,0.157077,[23 13] ; [1 1],[22.73684211 13.26315789] ; [1.26315789 0.73684211],0
r2,1,0.696382,0.152263,[140   7] ; [29  2],[139.56741573   7.43258427] ; [29.43258427  1.56741573],0
a5,1,0.743394,0.107166,[110  39] ; [22  9],[109.26666667  39.73333333] ; [22.73333333  8.26666667],0
s6,1,0.786475,0.073382,[117  30] ; [24  7],[116.44382022  30.55617978] ; [24.55617978  6.44382022],0
b5,1,0.790687,0.070447,[76 73] ; [15 16],[75.32777778 73.67222222] ; [15.67222222 15.32777778],0
s4,1,0.819892,0.05184,[ 40 108] ; [ 9 22],[ 40.51396648 107.48603352] ; [ 8.48603352 22.51396648],0
s5,1,0.866099,0.028431,[60 84] ; [12 18],[59.5862069 84.4137931] ; [12.4137931 17.5862069],0
r3,1,0.93774,0.006101,[139   9] ; [29  2],[138.90502793   9.09497207] ; [29.09497207  1.90502793],0
n3,1,0.976511,0.000867,[30 11] ; [8 3],[29.96153846 11.03846154] ; [8.03846154 2.96153846],0
b2,1,0.980814,0.000578,[35 59] ; [ 9 15],[35.05084746 58.94915254] ; [ 8.94915254 15.05084746],0
b3,1,0.980814,0.000578,[35 59] ; [ 9 15],[35.05084746 58.94915254] ; [ 8.94915254 15.05084746],0
