Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001704,9.843762,[17 29] ; [15 90],[ 9.74834437 36.25165563] ; [22.25165563 82.74834437],0
v1,1,0.001707,9.840926,[24 20] ; [28 74],[15.67123288 28.32876712] ; [36.32876712 65.67123288],0
d1,1,0.003108,8.743233,[23 23] ; [27 79],[15.13157895 30.86842105] ; [34.86842105 71.13157895],0
d3,1,0.003367,8.596994,[31 15] ; [44 62],[22.69736842 23.30263158] ; [52.30263158 53.69736842],0
r3,1,0.005245,7.792912,[42  4] ; [74 31],[35.33774834 10.66225166] ; [80.66225166 24.33774834],0
n3,1,0.034143,4.487542,[13  2] ; [20 16],[9.70588235 5.29411765] ; [23.29411765 12.70588235],0
s6,1,0.041587,4.151932,[25 19] ; [41 65],[19.36 24.64] ; [46.64 59.36],0
d5,1,0.055535,3.665956,[34 12] ; [61 45],[28.75 17.25] ; [66.25 39.75],0
p11,1,0.078569,3.094266,[33 13] ; [60 46],[28.14473684 17.85526316] ; [64.85526316 41.14473684],0
a2,1,0.091588,2.846239,[ 7 39] ; [ 7 99],[ 4.23684211 41.76315789] ; [ 9.76315789 96.23684211],0
u3,1,0.09873,2.72594,[9 8] ; [16 36],[ 6.15942029 10.84057971] ; [18.84057971 33.15942029],0
n2,1,0.10381,2.646019,[13  2] ; [23 13],[10.58823529  4.41176471] ; [25.41176471 10.58823529],0
d4,1,0.109187,2.565948,[34 12] ; [64 42],[29.65789474 16.34210526] ; [68.34210526 37.65789474],0
a4,1,0.126459,2.335437,[17 29] ; [26 79],[13.09933775 32.90066225] ; [29.90066225 75.09933775],0
d2,1,0.128815,2.306732,[21 25] ; [34 70],[16.86666667 29.13333333] ; [38.13333333 65.86666667],0
n4,1,0.133126,2.255667,[32 14] ; [60 46],[27.84210526 18.15789474] ; [64.15789474 41.84210526],0
p4,1,0.137984,2.200301,[21 25] ; [35 71],[16.94736842 29.05263158] ; [39.05263158 66.94736842],0
p12,1,0.168774,1.893802,[ 2 44] ; [  1 104],[ 0.91390728 45.08609272] ; [  2.08609272 102.91390728],0
a3,1,0.186723,1.743286,[29 17] ; [54 51],[25.28476821 20.71523179] ; [57.71523179 47.28476821],0
s2,1,0.272707,1.203078,[19 27] ; [34 72],[16.03947368 29.96052632] ; [36.96052632 69.03947368],0
s8,1,0.317575,0.998909,[10 36] ; [16 90],[ 7.86842105 38.13157895] ; [18.13157895 87.86842105],0
n6,1,0.322197,0.980007,[36 10] ; [74 31],[33.50993377 12.49006623] ; [76.49006623 28.50993377],0
v4,1,0.349146,0.876558,[37  8] ; [79 26],[34.8 10.2] ; [81.2 23.8],0
p7,1,0.408406,0.683435,[21 25] ; [40 64],[18.70666667 27.29333333] ; [42.29333333 61.70666667],0
p8,1,0.465494,0.532653,[16 29] ; [31 74],[14.1 30.9] ; [32.9 72.1],0
b1,1,0.488171,0.480556,[21 25] ; [42 64],[19.06578947 26.93421053] ; [43.93421053 62.06578947],0
b5,1,0.501483,0.451797,[30 16] ; [63 43],[28.14473684 17.85526316] ; [64.85526316 41.14473684],0
r2,1,0.513304,0.427326,[30 13] ; [78 26],[31.59183673 11.40816327] ; [76.40816327 27.59183673],0
a6,1,0.592316,0.286743,[23 23] ; [58 48],[24.51315789 21.48684211] ; [56.48684211 49.51315789],0
s1,1,0.611472,0.258037,[ 1 45] ; [  4 102],[ 1.51315789 44.48684211] ; [  3.48684211 102.51315789],0
s4,1,0.632207,0.22908,[ 8 38] ; [22 84],[ 9.07894737 36.92105263] ; [20.92105263 85.07894737],0
r4,1,0.6455,0.211621,[24 22] ; [51 55],[22.69736842 23.30263158] ; [52.30263158 53.69736842],0
b4,1,0.649912,0.206011,[27 19] ; [58 48],[25.72368421 20.27631579] ; [59.27631579 46.72368421],0
p9,1,0.650741,0.204967,[31 14] ; [74 28],[32.14285714 12.85714286] ; [72.85714286 29.14285714],0
