Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000296,13.095238,[ 7 26] ; [9 2],[12. 21.] ; [4. 7.],1
p10,1,0.000388,12.589456,[ 7 25] ; [9 2],[11.90697674 20.09302326] ; [4.09302326 6.90697674],1
p7,1,0.000633,11.676392,[ 7 26] ; [8 2],[11.51162791 21.48837209] ; [3.48837209 6.51162791],1
p4,1,0.000769,11.314286,[ 6 27] ; [8 3],[10.5 22.5] ; [3.5 7.5],1
p6,1,0.007985,7.0368,[ 3 29] ; [5 6],[ 5.95348837 26.04651163] ; [2.04651163 8.95348837],0
s2,1,0.008973,6.828283,[ 5 28] ; [6 5],[ 8.25 24.75] ; [2.75 8.25],0
u2,1,0.028887,4.774306,[ 5 11] ; [5 1],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
u3,1,0.031633,4.618254,[ 3 13] ; [4 2],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
p9,1,0.040208,4.209084,[11 19] ; [8 3],[13.90243902 16.09756098] ; [5.09756098 5.90243902],0
n6,1,0.060605,3.520754,[12 21] ; [7 3],[14.58139535 18.41860465] ; [4.41860465 5.58139535],0
v1,1,0.061664,3.492063,[ 8 25] ; [6 5],[10.5 22.5] ; [3.5 7.5],0
b5,1,0.081723,3.030303,[14 19] ; [8 3],[16.5 16.5] ; [5.5 5.5],0
d3,1,0.11377,2.501053,[12 21] ; [7 4],[14.25 18.75] ; [4.75 6.25],0
r2,1,0.157787,1.995308,[18 13] ; [9 2],[19.92857143 11.07142857] ; [7.07142857 3.92857143],0
b1,1,0.161989,1.955556,[20 13] ; [4 7],[18. 15.] ; [6. 5.],0
v4,1,0.161989,1.955556,[16 17] ; [8 3],[18. 15.] ; [6. 5.],0
p2,1,0.161989,1.955556,[13 20] ; [7 4],[15. 18.] ; [5. 6.],0
n5,1,0.181746,1.783292,[25  8] ; [6 5],[23.25  9.75] ; [7.75 3.25],0
d2,1,0.190401,1.714514,[16 16] ; [3 8],[14.13953488 17.86046512] ; [4.86046512 6.13953488],0
a7,1,0.210829,1.565723,[11 22] ; [6 5],[12.75 20.25] ; [4.25 6.75],0
p3,1,0.212702,1.552941,[ 6 27] ; [4 7],[ 7.5 25.5] ; [2.5 8.5],0
a4,1,0.238187,1.39129,[12 20] ; [2 9],[10.41860465 21.58139535] ; [3.58139535 7.41860465],0
n3,1,0.254524,1.298302,[4 9] ; [3 2],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
b4,1,0.29627,1.090909,[15 18] ; [7 4],[16.5 16.5] ; [5.5 5.5],0
s6,1,0.314879,1.010101,[ 7 26] ; [4 7],[ 8.25 24.75] ; [2.75 8.25],0
n4,1,0.358565,0.842912,[23 10] ; [6 5],[21.75 11.25] ; [7.25 3.75],0
d4,1,0.383596,0.759144,[16 17] ; [7 4],[17.25 15.75] ; [5.75 5.25],0
v2,1,0.391786,0.733391,[ 5 27] ; [3 8],[ 5.95348837 26.04651163] ; [2.04651163 8.95348837],0
s5,1,0.391786,0.733391,[ 5 27] ; [3 8],[ 5.95348837 26.04651163] ; [2.04651163 8.95348837],0
b3,1,0.408961,0.681818,[12 10] ; [3 5],[11. 11.] ; [4. 4.],0
b2,1,0.408961,0.681818,[12 10] ; [3 5],[11. 11.] ; [4. 4.],0
s8,1,0.410648,0.676923,[ 3 30] ; [2 9],[ 3.75 29.25] ; [1.25 9.75],0
a1,1,0.475289,0.509653,[ 6 27] ; [ 1 10],[ 5.25 27.75] ; [1.75 9.25],0
d1,1,0.567109,0.327543,[ 9 24] ; [4 7],[ 9.75 23.25] ; [3.25 7.75],0
a6,1,0.601132,0.273292,[18 15] ; [5 6],[17.25 15.75] ; [5.75 5.25],0
p1,1,0.611974,0.25731,[ 4 29] ; [2 9],[ 4.5 28.5] ; [1.5 9.5],0
n1,1,0.647743,0.208757,[4 9] ; [1 4],[3.61111111 9.38888889] ; [1.38888889 3.61111111],0
s4,1,0.677856,0.172549,[ 7 26] ; [3 8],[ 7.5 25.5] ; [2.5 8.5],0
a3,1,0.727724,0.121212,[17 16] ; [5 6],[16.5 16.5] ; [5.5 5.5],0
a5,1,0.727724,0.121212,[16 17] ; [6 5],[16.5 16.5] ; [5.5 5.5],0
s3,1,0.753596,0.098534,[ 8 24] ; [3 7],[ 8.38095238 23.61904762] ; [2.61904762 7.38095238],0
s7,1,0.760013,0.093308,[ 7 24] ; [2 9],[ 6.64285714 24.35714286] ; [2.35714286 8.64285714],0
n2,1,0.95218,0.003596,[5 8] ; [2 3],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
v3,1,1.0,0.0,[ 6 27] ; [2 9],[ 6. 27.] ; [2. 9.],0
d5,1,1.0,0.0,[18 15] ; [6 5],[18. 15.] ; [6. 5.],0
