Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,23.039027,[21 12] ; [ 5 39],[11.14285714 21.85714286] ; [14.85714286 29.14285714],1
s7,1,0.0006,11.77653,[17 14] ; [ 7 35],[10.19178082 20.80821918] ; [13.80821918 28.19178082],1
s6,1,0.004075,8.25,[18 15] ; [10 34],[12. 21.] ; [16. 28.],0
s8,1,0.006481,7.411558,[10 23] ; [ 3 41],[ 5.57142857 27.42857143] ; [ 7.42857143 36.57142857],0
d4,1,0.016776,5.719707,[27  6] ; [24 19],[22.14473684 10.85526316] ; [28.85526316 14.14473684],0
s5,1,0.025904,4.962427,[10 21] ; [ 5 39],[ 6.2 24.8] ; [ 8.8 35.2],0
r3,1,0.026625,4.914962,[23 10] ; [19 24],[18.23684211 14.76315789] ; [23.76315789 19.23684211],0
s4,1,0.035059,4.442308,[ 9 24] ; [ 4 40],[ 5.57142857 27.42857143] ; [ 7.42857143 36.57142857],0
u2,1,0.111349,2.534965,[7 6] ; [ 4 12],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
d2,1,0.126978,2.329072,[20 13] ; [18 24],[16.72 16.28] ; [21.28 20.72],0
p4,1,0.13241,2.264015,[ 7 26] ; [16 27],[ 9.98684211 23.01315789] ; [13.01315789 29.98684211],0
d1,1,0.147451,2.098423,[19 14] ; [18 26],[15.85714286 17.14285714] ; [21.14285714 22.85714286],0
p2,1,0.150095,2.071284,[21 11] ; [20 21],[17.97260274 14.02739726] ; [23.02739726 17.97260274],0
n2,1,0.153887,2.033295,[12  5] ; [10 11],[9.84210526 7.15789474] ; [12.15789474  8.84210526],0
a6,1,0.165307,1.925,[21 12] ; [21 23],[18. 15.] ; [24. 20.],0
p1,1,0.188497,1.729329,[ 1 31] ; [ 5 39],[ 2.52631579 29.47368421] ; [ 3.47368421 40.52631579],0
r1,1,0.189927,1.718182,[12 21] ; [10 34],[ 9.42857143 23.57142857] ; [12.57142857 31.42857143],0
p10,1,0.210401,1.568666,[21 11] ; [22 21],[18.34666667 13.65333333] ; [24.65333333 18.34666667],0
p11,1,0.211222,1.563034,[19 14] ; [19 25],[16.28571429 16.71428571] ; [21.71428571 22.28571429],0
n5,1,0.241187,1.373642,[19 14] ; [31 13],[21.42857143 11.57142857] ; [28.57142857 15.42857143],0
p9,1,0.246579,1.34258,[22 11] ; [23 20],[19.53947368 13.46052632] ; [25.46052632 17.53947368],0
p6,1,0.257247,1.283512,[10 23] ; [ 8 34],[ 7.92 25.08] ; [10.08 31.92],0
v3,1,0.338533,0.915978,[ 7 25] ; [14 30],[ 8.84210526 23.15789474] ; [12.15789474 31.84210526],0
d5,1,0.350093,0.873121,[25  8] ; [29 15],[23.14285714  9.85714286] ; [30.85714286 13.14285714],0
u3,1,0.366799,0.81448,[4 9] ; [8 9],[5.2 7.8] ; [ 6.8 10.2],0
d3,1,0.374471,0.788776,[21 12] ; [23 20],[19.10526316 13.89473684] ; [24.89473684 18.10526316],0
a4,1,0.376815,0.781066,[14 19] ; [14 29],[12.15789474 20.84210526] ; [15.84210526 27.15789474],0
b3,1,0.386362,0.750361,[ 5 13] ; [ 9 13],[ 6.3 11.7] ; [ 7.7 14.3],0
b2,1,0.386362,0.750361,[ 5 13] ; [ 9 13],[ 6.3 11.7] ; [ 7.7 14.3],0
b1,1,0.392005,0.732714,[14 19] ; [23 21],[15.85714286 17.14285714] ; [21.14285714 22.85714286],0
u1,1,0.395293,0.722598,[ 2 31] ; [ 1 43],[ 1.28571429 31.71428571] ; [ 1.71428571 42.28571429],0
b4,1,0.423108,0.641667,[21 12] ; [24 20],[19.28571429 13.71428571] ; [25.71428571 18.28571429],0
a5,1,0.468282,0.526028,[16 17] ; [25 19],[17.57142857 15.42857143] ; [23.42857143 20.57142857],0
a1,1,0.538971,0.377451,[ 3 30] ; [ 6 38],[ 3.85714286 29.14285714] ; [ 5.14285714 38.85714286],0
p8,1,0.617661,0.249169,[ 8 24] ; [13 30],[ 8.96 23.04] ; [12.04 30.96],0
a7,1,0.621675,0.24352,[18 15] ; [21 22],[16.93421053 16.06578947] ; [22.06578947 20.93421053],0
b5,1,0.643736,0.213889,[17 16] ; [25 19],[18. 15.] ; [24. 20.],0
n3,1,0.6658,0.186555,[8 8] ; [ 9 12],[7.35135135 8.64864865] ; [ 9.64864865 11.35135135],0
n4,1,0.689995,0.159091,[18 15] ; [26 18],[18.85714286 14.14285714] ; [25.14285714 18.85714286],0
p3,1,0.693768,0.155037,[10 23] ; [11 31],[ 9.24 23.76] ; [11.76 30.24],0
v2,1,0.735877,0.113784,[12 19] ; [15 28],[11.31081081 19.68918919] ; [15.68918919 27.31081081],0
n6,1,0.754034,0.098172,[18 15] ; [25 18],[18.67105263 14.32894737] ; [24.32894737 18.67105263],0
a2,1,0.844825,0.038308,[ 4 29] ; [ 6 38],[ 4.28571429 28.71428571] ; [ 5.71428571 38.28571429],0
n1,1,0.846791,0.037332,[ 7 10] ; [ 8 13],[ 6.71052632 10.28947368] ; [ 8.28947368 12.71052632],0
p7,1,0.875626,0.024497,[11 19] ; [15 28],[10.68493151 19.31506849] ; [15.31506849 27.68493151],0
v4,1,0.892761,0.018174,[23  9] ; [31 13],[22.73684211  9.26315789] ; [31.26315789 12.73684211],0
s1,1,0.893793,0.017824,[ 2 31] ; [ 3 41],[ 2.14285714 30.85714286] ; [ 2.85714286 41.14285714],0
a3,1,0.919798,0.010138,[20 12] ; [27 17],[19.78947368 12.21052632] ; [27.21052632 16.78947368],0
v1,1,0.957448,0.002847,[11 20] ; [15 28],[10.89189189 20.10810811] ; [15.10810811 27.89189189],0
p5,1,0.991462,0.000115,[ 3 29] ; [ 4 39],[ 2.98666667 29.01333333] ; [ 4.01333333 38.98666667],0
