Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,84.048072,[131   1] ; [55 57],[100.62295082  31.37704918] ; [85.37704918 26.62295082],1
d2,1,0.0,80.153237,[97 35] ; [18 94],[62.21311475 69.78688525] ; [52.78688525 59.21311475],1
d3,1,0.0,62.747079,[119  13] ; [48 64],[90.3442623 41.6557377] ; [76.6557377 35.3442623],1
u1,1,0.0,27.291484,[36 96] ; [  3 109],[ 21.09836066 110.90163934] ; [17.90163934 94.09836066],1
a2,1,1e-06,24.646581,[40 92] ; [  6 106],[ 24.8852459 107.1147541] ; [21.1147541 90.8852459],1
a5,1,5e-06,20.818584,[113  19] ; [67 45],[97.37704918 34.62295082] ; [82.62295082 29.37704918],1
a3,1,2e-05,18.219957,[100  31] ; [56 56],[84.09876543 46.90123457] ; [71.90123457 40.09876543],1
a4,1,4.3e-05,16.744642,[72 59] ; [32 79],[56.29752066 74.70247934] ; [47.70247934 63.29752066],1
r2,1,0.014635,5.959897,[124   6] ; [96 15],[118.67219917  11.32780083] ; [101.32780083   9.67219917],0
n4,1,0.017125,5.683497,[110  22] ; [79 33],[102.24590164  29.75409836] ; [86.75409836 25.24590164],0
r1,1,0.025276,5.004858,[111  21] ; [81 31],[103.86885246  28.13114754] ; [88.13114754 23.86885246],0
a6,1,0.034321,4.478622,[98 34] ; [69 43],[90.3442623 41.6557377] ; [76.6557377 35.3442623],0
r4,1,0.05923,3.558828,[122  10] ; [95 17],[117.39344262  14.60655738] ; [99.60655738 12.39344262],0
a7,1,0.072197,3.23236,[102  30] ; [75 37],[95.75409836 36.24590164] ; [81.24590164 30.75409836],0
s1,1,0.09046,2.866165,[  2 130] ; [  6 105],[  4.34567901 127.65432099] ; [  3.65432099 107.34567901],0
r3,1,0.095733,2.775226,[127   5] ; [102  10],[123.8852459   8.1147541] ; [105.1147541   6.8852459],0
v1,1,0.115947,2.471231,[77 53] ; [54 56],[70.95833333 59.04166667] ; [60.04166667 49.95833333],0
v3,1,0.127519,2.322447,[53 74] ; [35 74],[47.3559322 79.6440678] ; [40.6440678 68.3559322],0
p9,1,0.150904,2.063091,[114  18] ; [89 23],[109.81967213  22.18032787] ; [93.18032787 18.81967213],0
p11,1,0.150904,2.063091,[114  18] ; [89 23],[109.81967213  22.18032787] ; [93.18032787 18.81967213],0
n1,1,0.157061,2.002302,[ 5 15] ; [13 16],[ 7.34693878 12.65306122] ; [10.65306122 18.34693878],0
s8,1,0.213271,1.549084,[41 90] ; [27 85],[36.65843621 94.34156379] ; [31.34156379 80.65843621],0
a8,1,0.214639,1.539856,[16 95] ; [ 9 92],[13.08962264 97.91037736] ; [11.91037736 89.08962264],0
p7,1,0.223086,1.484408,[100  31] ; [77 34],[95.81404959 35.18595041] ; [81.18595041 29.81404959],0
p8,1,0.227645,1.455513,[90 40] ; [68 42],[85.58333333 44.41666667] ; [72.41666667 37.58333333],0
v2,1,0.230608,1.437107,[78 50] ; [58 51],[73.45147679 54.54852321] ; [62.54852321 46.45147679],0
p10,1,0.239416,1.384027,[111  21] ; [86 24],[107.45454545  24.54545455] ; [89.54545455 20.45454545],0
s5,1,0.242198,1.367757,[32 98] ; [20 89],[ 28.28451883 101.71548117] ; [23.71548117 85.28451883],0
p12,1,0.244913,1.352091,[  5 127] ; [  8 104],[  7.03278689 124.96721311] ; [  5.96721311 106.03278689],0
b4,1,0.276235,1.185522,[81 51] ; [61 51],[76.81967213 55.18032787] ; [65.18032787 46.81967213],0
b3,1,0.297637,1.08475,[36 53] ; [22 46],[32.87898089 56.12101911] ; [25.12101911 42.87898089],0
b2,1,0.297637,1.08475,[36 53] ; [22 46],[32.87898089 56.12101911] ; [25.12101911 42.87898089],0
p2,1,0.305169,1.05147,[118  12] ; [97 15],[115.49586777  14.50413223] ; [99.50413223 12.49586777],0
b1,1,0.309158,1.034271,[47 85] ; [47 65],[50.85245902 81.14754098] ; [43.14754098 68.85245902],0
s3,1,0.337991,0.918037,[ 25 105] ; [27 84],[ 28.04979253 101.95020747] ; [23.95020747 87.04979253],0
n6,1,0.3736,0.791657,[112  19] ; [91 21],[109.43621399  21.56378601] ; [93.56378601 18.43621399],0
v4,1,0.390166,0.738424,[125   7] ; [103   9],[123.3442623   8.6557377] ; [104.6557377   7.3442623],0
n3,1,0.498679,0.457746,[12  7] ; [21  8],[13.0625  5.9375] ; [19.9375  9.0625],0
p6,1,0.533794,0.387164,[59 72] ; [46 66],[56.60493827 74.39506173] ; [48.39506173 63.60493827],0
p5,1,0.572815,0.317995,[ 18 114] ; [18 93],[ 19.55555556 112.44444444] ; [16.44444444 94.55555556],0
s7,1,0.579575,0.306923,[40 87] ; [36 67],[41.96521739 85.03478261] ; [34.03478261 68.96521739],0
s6,1,0.634587,0.225892,[69 61] ; [55 55],[67.16666667 62.83333333] ; [56.83333333 53.16666667],0
n5,1,0.649091,0.207048,[102  30] ; [83 28],[100.49382716  31.50617284] ; [84.50617284 26.49382716],0
u3,1,0.661417,0.191807,[19 13] ; [30 25],[18.02298851 13.97701149] ; [30.97701149 24.02298851],0
p3,1,0.68182,0.168085,[87 45] ; [71 41],[85.47540984 46.52459016] ; [72.52459016 39.47540984],0
u2,1,0.686524,0.162874,[18 13] ; [30 26],[17.10344828 13.89655172] ; [30.89655172 25.10344828],0
a1,1,0.813021,0.055947,[  4 128] ; [  4 108],[  4.32786885 127.67213115] ; [  3.67213115 108.32786885],0
s4,1,0.83645,0.042616,[ 14 116] ; [13 99],[ 14.50413223 115.49586777] ; [12.49586777 99.50413223],0
p1,1,0.839747,0.040892,[ 13 118] ; [ 12 100],[ 13.47736626 117.52263374] ; [ 11.52263374 100.47736626],0
b5,1,0.882024,0.022024,[73 59] ; [63 49],[73.57377049 58.42622951] ; [62.42622951 49.57377049],0
n2,1,0.939254,0.005808,[12  7] ; [18 11],[11.875  7.125] ; [18.125 10.875],0
