Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,43.226496,[69 35] ; [ 1 35],[52. 52.] ; [18. 18.],1
d5,1,0.0,32.699035,[87 17] ; [12 24],[73.54285714 30.45714286] ; [25.45714286 10.54285714],1
d3,1,1e-05,19.494817,[75 29] ; [11 25],[63.88571429 40.11428571] ; [22.11428571 13.88571429],1
d2,1,0.000132,14.609527,[61 42] ; [ 8 28],[51.1294964 51.8705036] ; [17.8705036 18.1294964],1
a4,1,0.003047,8.778993,[50 53] ; [ 7 28],[42.54347826 60.45652174] ; [14.45652174 20.54347826],0
a5,1,0.003091,8.753116,[67 37] ; [13 23],[59.42857143 44.57142857] ; [20.57142857 15.42857143],0
a7,1,0.003294,8.636872,[72 32] ; [15 21],[64.62857143 39.37142857] ; [22.37142857 13.62857143],0
s7,1,0.004097,8.240139,[44 55] ; [ 6 29],[36.94029851 62.05970149] ; [13.05970149 21.94029851],0
r2,1,0.007084,7.251423,[94  8] ; [27  9],[89.43478261 12.56521739] ; [31.56521739  4.43478261],0
a3,1,0.009319,6.760665,[67 36] ; [14 21],[60.45652174 42.54347826] ; [20.54347826 14.45652174],0
a2,1,0.01541,5.868974,[25 79] ; [ 2 34],[20.05714286 83.94285714] ; [ 6.94285714 29.05714286],0
s6,1,0.026536,4.920752,[60 42] ; [13 22],[54.35036496 47.64963504] ; [18.64963504 16.35036496],0
u3,1,0.027935,4.832105,[21 16] ; [ 6 16],[16.93220339 20.06779661] ; [10.06779661 11.93220339],0
r3,1,0.031695,4.614935,[95  9] ; [28  8],[91.37142857 12.62857143] ; [31.62857143  4.37142857],0
b3,1,0.067803,3.335429,[24 41] ; [ 4 20],[20.4494382 44.5505618] ; [ 7.5505618 16.4494382],0
b2,1,0.067803,3.335429,[24 41] ; [ 4 20],[20.4494382 44.5505618] ; [ 7.5505618 16.4494382],0
v2,1,0.068868,3.309791,[49 53] ; [11 25],[44.34782609 57.65217391] ; [15.65217391 20.34782609],0
p3,1,0.08591,2.94939,[30 74] ; [16 20],[34.17142857 69.82857143] ; [11.82857143 24.17142857],0
s2,1,0.102513,2.666011,[42 60] ; [ 9 26],[37.97080292 64.02919708] ; [13.02919708 21.97080292],0
p5,1,0.105539,2.619788,[  4 100] ; [ 4 32],[ 5.94285714 98.05714286] ; [ 2.05714286 33.94285714],0
n3,1,0.109493,2.561525,[22 16] ; [10  2],[24.32 13.68] ; [7.68 4.32],0
