Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.8e-05,17.529563,[91 10] ; [6 7],[85.93859649 15.06140351] ; [11.06140351  1.93859649],1
p3,1,0.000652,11.622075,[59 43] ; [ 1 12],[53.2173913 48.7826087] ; [6.7826087 6.2173913],1
p11,1,0.00131,10.32856,[90 12] ; [7 6],[86.03478261 15.96521739] ; [10.96521739  2.03478261],0
p2,1,0.008531,6.918492,[86 16] ; [7 6],[82.48695652 19.51304348] ; [10.51304348  2.48695652],0
v1,1,0.027569,4.854788,[55 44] ; [ 3 10],[51.26785714 47.73214286] ; [6.73214286 6.26785714],0
p7,1,0.047104,3.941667,[73 27] ; [6 7],[69.91150442 30.08849558] ; [9.08849558 3.91150442],0
b3,1,0.050953,3.809829,[36 38] ; [1 7],[33.3902439 40.6097561] ; [3.6097561 4.3902439],0
b2,1,0.050953,3.809829,[36 38] ; [1 7],[33.3902439 40.6097561] ; [3.6097561 4.3902439],0
b1,1,0.078783,3.089821,[37 65] ; [8 5],[39.91304348 62.08695652] ; [5.08695652 7.91304348],0
r1,1,0.088155,2.907737,[88 13] ; [9 4],[85.93859649 15.06140351] ; [11.06140351  1.93859649],0
p8,1,0.104147,2.64086,[62 38] ; [5 8],[59.2920354 40.7079646] ; [7.7079646 5.2920354],0
p4,1,0.107474,2.590983,[63 39] ; [5 8],[60.31304348 41.68695652] ; [7.68695652 5.31304348],0
s7,1,0.147701,2.09583,[59 40] ; [5 8],[56.57142857 42.42857143] ; [7.42857143 5.57142857],0
a4,1,0.165852,1.920042,[44 58] ; [ 3 10],[41.68695652 60.31304348] ; [5.31304348 7.68695652],0
n4,1,0.176621,1.825832,[86 16] ; [9 4],[84.26086957 17.73913043] ; [10.73913043  2.26086957],0
a5,1,0.208035,1.585046,[79 23] ; [8 5],[77.16521739 24.83478261] ; [9.83478261 3.16521739],0
v2,1,0.217827,1.518628,[56 43] ; [5 8],[53.91964286 45.08035714] ; [7.08035714 5.91964286],0
b4,1,0.231679,1.430524,[61 41] ; [10  3],[62.97391304 39.02608696] ; [8.02608696 4.97391304],0
s3,1,0.262437,1.255856,[31 70] ; [6 7],[32.78070175 68.21929825] ; [4.21929825 8.78070175],0
v3,1,0.268601,1.223878,[47 53] ; [4 9],[45.13274336 54.86725664] ; [5.86725664 7.13274336],0
d3,1,0.322225,0.979892,[69 33] ; [7 6],[67.40869565 34.59130435] ; [8.59130435 4.40869565],0
a8,1,0.336577,0.923425,[18 73] ; [ 1 11],[16.78640777 74.21359223] ; [2.21359223 9.78640777],0
a6,1,0.346744,0.885338,[65 37] ; [10  3],[66.52173913 35.47826087] ; [8.47826087 4.52173913],0
p6,1,0.438126,0.601185,[42 58] ; [4 9],[40.7079646 59.2920354] ; [5.2920354 7.7079646],0
a1,1,0.530093,0.394214,[ 4 98] ; [ 1 12],[ 4.43478261 97.56521739] ; [ 0.56521739 12.43478261],0
u1,1,0.565782,0.329791,[17 85] ; [ 3 10],[17.73913043 84.26086957] ; [ 2.26086957 10.73913043],0
b5,1,0.597146,0.279322,[55 47] ; [6 7],[54.10434783 47.89565217] ; [6.89565217 6.10434783],0
a2,1,0.658676,0.195136,[21 81] ; [ 2 11],[20.4 81.6] ; [ 2.6 10.4],0
r3,1,0.67005,0.181543,[97  5] ; [12  1],[96.67826087  5.32173913] ; [12.32173913  0.67826087],0
a3,1,0.684952,0.164605,[73 29] ; [10  3],[73.6173913 28.3826087] ; [9.3826087 3.6173913],0
n5,1,0.698457,0.150082,[75 26] ; [9 4],[74.42105263 26.57894737] ; [9.57894737 3.42105263],0
s6,1,0.731418,0.117814,[67 34] ; [8 5],[66.44736842 34.55263158] ; [8.55263158 4.44736842],0
a7,1,0.737835,0.112039,[74 28] ; [10  3],[74.50434783 27.49565217] ; [9.49565217 3.50434783],0
d1,1,0.748158,0.103086,[58 44] ; [8 5],[58.53913043 43.46086957] ; [7.46086957 5.53913043],0
d4,1,0.76838,0.086727,[82 20] ; [10  3],[81.6 20.4] ; [10.4  2.6],0
r2,1,0.791738,0.069724,[90 10] ; [12  1],[90.26548673  9.73451327] ; [11.73451327  1.26548673],0
d5,1,0.835266,0.043244,[81 21] ; [10  3],[80.71304348 21.28695652] ; [10.28695652  2.71304348],0
r4,1,0.891565,0.018584,[93  9] ; [12  1],[93.13043478  8.86956522] ; [11.86956522  1.13043478],0
n6,1,0.906683,0.013741,[85 17] ; [11  2],[85.14782609 16.85217391] ; [10.85217391  2.14782609],0
s5,1,0.909566,0.012902,[26 72] ; [3 9],[25.83636364 72.16363636] ; [3.16363636 8.83636364],0
v4,1,0.911837,0.012259,[95  7] ; [12  1],[94.90434783  7.09565217] ; [12.09565217  0.90434783],0
d2,1,0.950902,0.003791,[54 48] ; [7 6],[54.10434783 47.89565217] ; [6.89565217 6.10434783],0
