Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,31.170289,[18 11] ; [13 91],[ 6.7593985 22.2406015] ; [24.2406015 79.7593985],1
s8,1,0.002451,9.177133,[15 14] ; [24 81],[ 8.44029851 20.55970149] ; [30.55970149 74.44029851],0
s3,1,0.002989,8.814447,[17 12] ; [29 72],[10.26153846 18.73846154] ; [35.73846154 65.26153846],0
s2,1,0.003289,8.639975,[16 13] ; [27 76],[ 9.4469697 19.5530303] ; [33.5530303 69.4469697],0
r4,1,0.003573,8.488778,[26  3] ; [64 41],[19.47761194  9.52238806] ; [70.52238806 34.47761194],0
r3,1,0.012295,6.267879,[27  2] ; [74 31],[21.85820896  7.14179104] ; [79.14179104 25.85820896],0
p6,1,0.013141,6.150051,[ 6 23] ; [ 6 98],[ 2.61654135 26.38345865] ; [ 9.38345865 94.61654135],0
p11,1,0.021024,5.324795,[20  9] ; [47 58],[14.5 14.5] ; [52.5 52.5],0
p8,1,0.022113,5.236875,[ 7 22] ; [ 9 96],[ 3.46268657 25.53731343] ; [12.53731343 92.46268657],0
a5,1,0.023,5.168528,[24  5] ; [63 42],[18.82835821 10.17164179] ; [68.17164179 36.82835821],0
s6,1,0.023476,5.132934,[19 10] ; [43 60],[13.62121212 15.37878788] ; [48.37878788 54.62121212],0
s7,1,0.032924,4.549739,[13 13] ; [28 72],[ 8.46031746 17.53968254] ; [32.53968254 67.46031746],0
p10,1,0.037065,4.34741,[19 10] ; [44 57],[14.05384615 14.94615385] ; [48.94615385 52.05384615],0
v4,1,0.04373,4.066944,[26  3] ; [75 30],[21.85820896  7.14179104] ; [79.14179104 25.85820896],0
n4,1,0.044903,4.022285,[23  6] ; [62 43],[18.39552239 10.60447761] ; [66.60447761 38.39552239],0
n5,1,0.055135,3.677988,[22  7] ; [59 46],[17.52985075 11.47014925] ; [63.47014925 41.52985075],0
v1,1,0.057395,3.611111,[12 14] ; [28 76],[ 8. 18.] ; [32. 72.],0
n2,1,0.060477,3.524249,[9 1] ; [30 21],[6.39344262 3.60655738] ; [32.60655738 18.39344262],0
b4,1,0.114869,2.485923,[21  8] ; [59 46],[17.31343284 11.68656716] ; [62.68656716 42.31343284],0
n6,1,0.115614,2.475747,[23  6] ; [67 38],[19.47761194  9.52238806] ; [70.52238806 34.47761194],0
r1,1,0.116416,2.464886,[22  7] ; [63 42],[18.39552239 10.60447761] ; [66.60447761 38.39552239],0
a4,1,0.129193,2.302172,[17 12] ; [44 59],[13.40151515 15.59848485] ; [47.59848485 55.40151515],0
p9,1,0.141076,2.166187,[19 10] ; [49 49],[15.52755906 13.47244094] ; [52.47244094 45.52755906],0
s1,1,0.147333,2.099645,[ 4 25] ; [ 6 98],[ 2.18045113 26.81954887] ; [ 7.81954887 96.18045113],0
n3,1,0.148574,2.086826,[8 2] ; [26 21],[5.96491228 4.03508772] ; [28.03508772 18.96491228],0
u1,1,0.156544,2.007297,[ 7 22] ; [14 91],[ 4.54477612 24.45522388] ; [16.45522388 88.54477612],0
p1,1,0.176643,1.825644,[ 5 24] ; [ 9 96],[ 3.02985075 25.97014925] ; [10.97014925 94.02985075],0
d1,1,0.21831,1.515445,[17 12] ; [48 57],[14.06716418 14.93283582] ; [50.93283582 54.06716418],0
b3,1,0.238611,1.388784,[10  8] ; [26 39],[ 7.80722892 10.19277108] ; [28.19277108 36.80722892],0
b2,1,0.238611,1.388784,[10  8] ; [26 39],[ 7.80722892 10.19277108] ; [28.19277108 36.80722892],0
s5,1,0.250082,1.322847,[ 8 18] ; [20 79],[ 5.824 20.176] ; [22.176 76.824],0
u3,1,0.267257,1.230769,[6 3] ; [18 21],[4.5 4.5] ; [19.5 19.5],0
u2,1,0.267257,1.230769,[6 3] ; [18 21],[4.5 4.5] ; [19.5 19.5],0
d2,1,0.27251,1.204069,[17 11] ; [51 53],[14.42424242 13.57575758] ; [53.57575758 50.42424242],0
u4,1,0.30964,1.03221,[ 2 27] ; [  3 102],[ 1.08208955 27.91791045] ; [  3.91791045 101.08208955],0
v2,1,0.359191,0.840719,[13 16] ; [34 62],[10.904 18.096] ; [36.096 59.904],0
v3,1,0.393779,0.727242,[11 16] ; [31 66],[ 9.14516129 17.85483871] ; [32.85483871 64.14516129],0
d4,1,0.396645,0.718475,[23  6] ; [75 30],[21.20895522  7.79104478] ; [76.79104478 28.20895522],0
p5,1,0.430293,0.622032,[ 2 25] ; [  4 100],[ 1.23664122 25.76335878] ; [ 4.76335878 99.23664122],0
a8,1,0.570546,0.32177,[ 1 25] ; [ 7 95],[ 1.625 24.375] ; [ 6.375 95.625],0
a1,1,0.616027,0.251491,[ 4 25] ; [11 94],[ 3.24626866 25.75373134] ; [11.75373134 93.24626866],0
a3,1,0.62557,0.238116,[20  9] ; [66 37],[18.89393939 10.10606061] ; [67.10606061 35.89393939],0
b1,1,0.629338,0.23296,[15 14] ; [49 56],[13.85074627 15.14925373] ; [50.14925373 54.85074627],0
a6,1,0.633995,0.226682,[18 11] ; [60 45],[16.88059701 12.11940299] ; [61.11940299 43.88059701],0
a7,1,0.708002,0.140281,[16 13] ; [62 43],[16.88059701 12.11940299] ; [61.11940299 43.88059701],0
b5,1,0.736592,0.113144,[15 14] ; [58 47],[15.79850746 13.20149254] ; [57.20149254 47.79850746],0
d5,1,0.742787,0.107692,[20  9] ; [69 36],[19.26119403  9.73880597] ; [69.73880597 35.26119403],0
d3,1,0.745319,0.105506,[17 12] ; [58 47],[16.23134328 12.76865672] ; [58.76865672 46.23134328],0
s4,1,0.795206,0.067369,[ 6 22] ; [20 84],[ 5.51515152 22.48484848] ; [20.48484848 83.51515152],0
a2,1,0.884881,0.020963,[ 7 22] ; [24 81],[ 6.70895522 22.29104478] ; [24.29104478 80.70895522],0
n1,1,0.908022,0.013348,[5 5] ; [24 26],[4.83333333 5.16666667] ; [24.16666667 25.83333333],0
p12,1,0.974926,0.000988,[ 2 27] ; [ 7 97],[ 1.96240602 27.03759398] ; [ 7.03759398 96.96240602],0
