Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,143.703101,[ 24 145] ; [202  76],[85.44519016 83.55480984] ; [140.55480984 137.44519016],1
d4,1,0.0,118.360034,[102  67] ; [275   3],[142.53467562  26.46532438] ; [234.46532438  43.53467562],1
d3,1,0.0,106.103028,[72 97] ; [246  33],[119.95982143  49.04017857] ; [198.04017857  80.95982143],1
d5,1,0.0,97.398037,[104  65] ; [270   8],[141.40044743  27.59955257] ; [232.59955257  45.40044743],1
u1,1,0.0,39.071207,[  9 160] ; [ 84 196],[ 35.00445434 133.99554566] ; [ 57.99554566 222.00445434],1
a4,1,0.0,38.950193,[ 49 118] ; [167 112],[80.87892377 86.12107623] ; [135.12107623 143.87892377],1
a5,1,0.0,37.922252,[106  63] ; [245  35],[132.11358575  36.88641425] ; [218.88641425  61.11358575],1
a2,1,0.0,37.621029,[ 17 152] ; [102 178],[ 44.79064588 124.20935412] ; [ 74.20935412 205.79064588],1
a3,1,5e-06,20.820155,[106  62] ; [229  49],[126.18834081  41.81165919] ; [208.81165919  69.18834081],1
p4,1,9e-06,19.656975,[90 77] ; [206  71],[111.33333333  55.66666667] ; [184.66666667  92.33333333],1
a6,1,0.000286,13.15702,[98 71] ; [207  71],[115.31319911  53.68680089] ; [189.68680089  88.31319911],1
p8,1,0.001678,9.871707,[81 82] ; [178  96],[96.60640732 66.39359268] ; [162.39359268 111.60640732],0
p10,1,0.002915,8.859866,[130  34] ; [248  29],[140.57142857  23.42857143] ; [237.42857143  39.57142857],0
p9,1,0.004433,8.097148,[138  28] ; [253  22],[147.17913832  18.82086168] ; [243.82086168  31.17913832],0
s5,1,0.004647,8.012001,[ 51 110] ; [122 146],[64.92540793 96.07459207] ; [108.07459207 159.92540793],0
p6,1,0.004744,7.974709,[ 57 105] ; [134 139],[71.13103448 90.86896552] ; [119.86896552 153.13103448],0
