Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.9e-05,17.49847,[20  9] ; [11 40],[11.2375 17.7625] ; [19.7625 31.2375],1
p10,1,0.003281,8.644156,[18 10] ; [15 35],[11.84615385 16.15384615] ; [21.15384615 28.84615385],0
n3,1,0.008923,6.838075,[12  3] ; [ 8 14],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
s6,1,0.019305,5.473669,[17  9] ; [19 32],[12.15584416 13.84415584] ; [23.84415584 27.15584416],0
v2,1,0.019607,5.446552,[16 13] ; [14 35],[11.15384615 17.84615385] ; [18.84615385 30.15384615],0
d4,1,0.023986,5.09564,[24  5] ; [29 21],[19.4556962  9.5443038] ; [33.5443038 16.4556962],0
p9,1,0.024074,5.089286,[18 10] ; [18 30],[13.26315789 14.73684211] ; [22.73684211 25.26315789],0
s8,1,0.027443,4.8627,[12 16] ; [10 41],[ 7.79746835 20.20253165] ; [14.20253165 36.79746835],0
a4,1,0.034975,4.446394,[15 14] ; [14 36],[10.64556962 18.35443038] ; [18.35443038 31.64556962],0
r1,1,0.039565,4.23644,[20  9] ; [23 28],[15.5875 13.4125] ; [27.4125 23.5875],0
s7,1,0.047354,3.932783,[13 13] ; [12 33],[ 9.15492958 16.84507042] ; [15.84507042 29.15492958],0
p2,1,0.052485,3.760232,[19  9] ; [23 28],[14.88607595 13.11392405] ; [27.11392405 23.88607595],0
r3,1,0.06248,3.470303,[23  6] ; [30 21],[19.2125  9.7875] ; [33.7875 17.2125],0
r2,1,0.134361,2.241379,[25  4] ; [35 14],[22.30769231  6.69230769] ; [37.69230769 11.30769231],0
u3,1,0.149154,2.080883,[6 5] ; [ 7 17],[4.08571429 6.91428571] ; [ 8.91428571 15.08571429],0
n2,1,0.149517,2.077174,[11  4] ; [12 12],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
s3,1,0.159385,1.980049,[16 13] ; [19 30],[13.01282051 15.98717949] ; [21.98717949 27.01282051],0
p7,1,0.183395,1.769897,[15 13] ; [19 31],[12.20512821 15.79487179] ; [21.79487179 28.20512821],0
p5,1,0.235584,1.406827,[ 3 25] ; [ 2 49],[ 1.7721519 26.2278481] ; [ 3.2278481 47.7721519],0
b5,1,0.244883,1.352265,[17 12] ; [23 28],[14.5 14.5] ; [25.5 25.5],0
a2,1,0.253888,1.30178,[ 3 26] ; [ 2 49],[ 1.8125 27.1875] ; [ 3.1875 47.8125],0
n5,1,0.266212,1.236163,[20  8] ; [30 21],[17.72151899 10.27848101] ; [32.27848101 18.72151899],0
s5,1,0.279153,1.171211,[ 9 18] ; [11 39],[ 7.01298701 19.98701299] ; [12.98701299 37.01298701],0
v3,1,0.296482,1.089951,[11 17] ; [13 34],[ 8.96 19.04] ; [15.04 31.96],0
p1,1,0.299493,1.076452,[ 1 28] ; [ 5 46],[ 2.175 26.825] ; [ 3.825 47.175],0
d3,1,0.335752,0.926585,[14 15] ; [19 32],[11.9625 17.0375] ; [21.0375 29.9625],0
d5,1,0.353843,0.859626,[19 10] ; [28 23],[17.0375 11.9625] ; [29.9625 21.0375],0
a6,1,0.379304,0.772955,[ 8 21] ; [19 32],[ 9.7875 19.2125] ; [17.2125 33.7875],0
s4,1,0.39169,0.73369,[ 4 25] ; [11 40],[ 5.4375 23.5625] ; [ 9.5625 41.4375],0
a1,1,0.393786,0.727218,[ 4 25] ; [ 4 47],[ 2.9 26.1] ; [ 5.1 45.9],0
n6,1,0.399927,0.708547,[18  9] ; [29 22],[16.26923077 10.73076923] ; [30.73076923 20.26923077],0
a3,1,0.428861,0.625906,[18 11] ; [27 24],[16.3125 12.6875] ; [28.6875 22.3125],0
v4,1,0.47136,0.518787,[23  6] ; [36 14],[21.65822785  7.34177215] ; [37.34177215 12.65822785],0
a5,1,0.485351,0.486815,[16 13] ; [24 27],[14.5 14.5] ; [25.5 25.5],0
d1,1,0.506284,0.44174,[13 16] ; [19 32],[11.6 17.4] ; [20.4 30.6],0
d2,1,0.507224,0.439789,[15 14] ; [22 28],[13.58227848 15.41772152] ; [23.41772152 26.58227848],0
r4,1,0.533039,0.388595,[18 11] ; [28 23],[16.675 12.325] ; [29.325 21.675],0
n1,1,0.571257,0.320584,[7 8] ; [ 9 15],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
