Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.2e-05,16.030572,[16  9] ; [16 60],[ 7.92079208 17.07920792] ; [24.07920792 51.92079208],1
p6,1,0.000276,13.224096,[10 15] ; [ 7 71],[ 4.12621359 20.87378641] ; [12.87378641 65.12621359],1
p3,1,0.002035,9.51792,[13 12] ; [16 63],[ 6.97115385 18.02884615] ; [22.02884615 56.97115385],0
v2,1,0.002929,8.851047,[15  8] ; [23 52],[ 8.91836735 14.08163265] ; [29.08163265 45.91836735],0
p4,1,0.002955,8.834994,[12 13] ; [14 63],[ 6.37254902 18.62745098] ; [19.62745098 57.37254902],0
p5,1,0.035624,4.414993,[ 4 21] ; [ 3 75],[ 1.69902913 23.30097087] ; [ 5.30097087 72.69902913],0
s6,1,0.036735,4.362667,[16  8] ; [33 45],[11.52941176 12.47058824] ; [37.47058824 40.52941176],0
a6,1,0.038898,4.265316,[17  8] ; [35 44],[12.5 12.5] ; [39.5 39.5],0
p10,1,0.043584,4.072604,[17  8] ; [34 42],[12.62376238 12.37623762] ; [38.37623762 37.62376238],0
v3,1,0.087952,2.911468,[12 13] ; [22 53],[ 8.5 16.5] ; [25.5 49.5],0
d5,1,0.088138,2.908051,[ 6 19] ; [34 45],[ 9.61538462 15.38461538] ; [30.38461538 48.61538462],0
b3,1,0.097902,2.739392,[ 2 10] ; [20 27],[4.47457627 7.52542373] ; [17.52542373 29.47457627],0
b2,1,0.097902,2.739392,[ 2 10] ; [20 27],[4.47457627 7.52542373] ; [17.52542373 29.47457627],0
p9,1,0.133249,2.254235,[16  9] ; [35 40],[12.75 12.25] ; [38.25 36.75],0
a5,1,0.138658,2.19279,[15 10] ; [34 45],[11.77884615 13.22115385] ; [37.22115385 41.77884615],0
s1,1,0.14131,2.163636,[ 5 20] ; [ 7 70],[ 2.94117647 22.05882353] ; [ 9.05882353 67.94117647],0
a7,1,0.152792,2.04415,[15 10] ; [34 44],[11.89320388 13.10679612] ; [37.10679612 40.89320388],0
d4,1,0.165535,1.922922,[ 9 16] ; [41 38],[12.01923077 12.98076923] ; [37.98076923 41.01923077],0
d2,1,0.189489,1.721587,[ 3 22] ; [19 59],[ 5.33980583 19.66019417] ; [16.66019417 61.33980583],0
s2,1,0.216644,1.526467,[11 13] ; [25 53],[ 8.47058824 15.52941176] ; [27.52941176 50.47058824],0
r4,1,0.21867,1.513081,[20  5] ; [53 26],[17.54807692  7.45192308] ; [55.45192308 23.54807692],0
p12,1,0.227634,1.455585,[ 3 22] ; [ 4 75],[ 1.68269231 23.31730769] ; [ 5.31730769 73.68269231],0
b1,1,0.251229,1.316456,[10 15] ; [42 37],[12.5 12.5] ; [39.5 39.5],0
s7,1,0.262596,1.25502,[ 3 20] ; [18 57],[ 4.92857143 18.07142857] ; [16.07142857 58.92857143],0
