Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.002705,8.996634,[ 1 67] ; [10 52],[ 5.75384615 62.24615385] ; [ 5.24615385 56.75384615],0
n5,1,0.003046,8.779834,[37 31] ; [49 13],[44.98461538 23.01538462] ; [41.01538462 20.98461538],0
n3,1,0.010948,6.473776,[19  3] ; [6 7],[15.71428571  6.28571429] ; [9.28571429 3.71428571],0
s5,1,0.01139,6.4035,[27 35] ; [38 19],[33.86554622 28.13445378] ; [31.13445378 25.86554622],0
p10,1,0.027397,4.86559,[51 17] ; [54  6],[55.78125 12.21875] ; [49.21875 10.78125],0
p8,1,0.031239,4.6398,[28 39] ; [36 23],[34.03174603 32.96825397] ; [29.96825397 29.03174603],0
r4,1,0.032401,4.577179,[55 13] ; [58  4],[59.10769231  8.89230769] ; [53.89230769  8.10769231],0
p3,1,0.047932,3.912363,[31 37] ; [39 23],[36.61538462 31.38461538] ; [33.38461538 28.61538462],0
s2,1,0.047937,3.912189,[43 25] ; [49 13],[48.12307692 19.87692308] ; [43.87692308 18.12307692],0
p11,1,0.053411,3.731025,[42 26] ; [48 14],[47.07692308 20.92307692] ; [42.92307692 19.07692308],0
p9,1,0.074154,3.18859,[54 13] ; [55  5],[57.50393701  9.49606299] ; [51.49606299  8.50393701],0
u1,1,0.074296,3.185454,[10 58] ; [17 45],[14.12307692 53.87692308] ; [12.87692308 49.12307692],0
n4,1,0.075055,3.168852,[38 30] ; [44 18],[42.89230769 25.10769231] ; [39.10769231 22.89230769],0
s8,1,0.076223,3.143656,[30 38] ; [37 25],[35.04615385 32.95384615] ; [31.95384615 30.04615385],0
p7,1,0.08002,3.064501,[37 29] ; [42 17],[41.712 24.288] ; [37.288 21.712],0
p6,1,0.083571,2.994048,[27 41] ; [33 27],[31.875 36.125] ; [28.125 31.875],0
v2,1,0.089461,2.884047,[29 37] ; [36 25],[33.77952756 32.22047244] ; [31.22047244 29.77952756],0
u2,1,0.09223,2.83502,[13  7] ; [5 9],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
d5,1,0.105534,2.61986,[56 12] ; [57  5],[59.10769231  8.89230769] ; [53.89230769  8.10769231],0
r1,1,0.131454,2.275253,[47 21] ; [50 12],[50.73846154 17.26153846] ; [46.26153846 15.73846154],0
a5,1,0.131454,2.275253,[47 21] ; [50 12],[50.73846154 17.26153846] ; [46.26153846 15.73846154],0
p4,1,0.165067,1.927182,[38 30] ; [42 20],[41.84615385 26.15384615] ; [38.15384615 23.84615385],0
b3,1,0.165154,1.926388,[ 8 27] ; [13 21],[10.65217391 24.34782609] ; [10.34782609 23.65217391],0
b2,1,0.165154,1.926388,[ 8 27] ; [13 21],[10.65217391 24.34782609] ; [10.34782609 23.65217391],0
a8,1,0.192407,1.69909,[ 2 62] ; [ 5 53],[ 3.67213115 60.32786885] ; [ 3.32786885 54.67213115],0
a4,1,0.227755,1.454829,[29 39] ; [33 29],[32.43076923 35.56923077] ; [29.56923077 32.43076923],0
r3,1,0.244297,1.355627,[60  7] ; [58  3],[61.765625  5.234375] ; [56.234375  4.765625],0
v3,1,0.262053,1.257878,[18 49] ; [22 39],[20.9375 46.0625] ; [19.0625 41.9375],0
b4,1,0.330522,0.946853,[43 25] ; [34 28],[40.27692308 27.72307692] ; [36.72307692 25.27692308],0
a3,1,0.376052,0.78357,[48 20] ; [48 14],[50.21538462 17.78461538] ; [45.78461538 16.21538462],0
n6,1,0.391537,0.734165,[53 15] ; [52 10],[54.92307692 13.07692308] ; [50.07692308 11.92307692],0
s6,1,0.400383,0.707176,[55 13] ; [51  8],[56.75590551 11.24409449] ; [49.24409449  9.75590551],0
d1,1,0.412398,0.671877,[46 22] ; [46 16],[48.12307692 19.87692308] ; [43.87692308 18.12307692],0
p1,1,0.417334,0.657812,[ 4 64] ; [ 6 56],[ 5.23076923 62.76923077] ; [ 4.76923077 57.23076923],0
s7,1,0.452697,0.563889,[38 27] ; [39 21],[40.04 24.96] ; [36.96 23.04],0
d3,1,0.480138,0.49855,[58 10] ; [50 12],[56.49230769 11.50769231] ; [51.50769231 10.49230769],0
a2,1,0.481954,0.494438,[13 55] ; [15 47],[14.64615385 53.35384615] ; [13.35384615 48.64615385],0
s1,1,0.48325,0.491521,[ 4 64] ; [ 2 59],[ 3.1627907 64.8372093] ; [ 2.8372093 58.1627907],0
r2,1,0.522614,0.408732,[61  5] ; [59  3],[61.875  4.125] ; [58.125  3.875],0
p2,1,0.56306,0.334434,[52 16] ; [50 12],[53.35384615 14.64615385] ; [48.64615385 13.35384615],0
a1,1,0.574173,0.31575,[ 2 66] ; [ 3 59],[ 2.61538462 65.38461538] ; [ 2.38461538 59.61538462],0
p12,1,0.591214,0.288452,[ 3 65] ; [ 4 57],[ 3.68992248 64.31007752] ; [ 3.31007752 57.68992248],0
b1,1,0.667103,0.185009,[26 42] ; [26 36],[27.2 40.8] ; [24.8 37.2],0
n1,1,0.689095,0.160066,[ 7 15] ; [5 8],[ 7.54285714 14.45714286] ; [4.45714286 8.54285714],0
b5,1,0.760053,0.093276,[41 27] ; [39 23],[41.84615385 26.15384615] ; [38.15384615 23.84615385],0
n2,1,0.824899,0.048951,[16  6] ; [9 4],[15.71428571  6.28571429] ; [9.28571429 3.71428571],0
a7,1,0.878181,0.023493,[48 20] ; [43 19],[47.6 20.4] ; [43.4 18.6],0
d2,1,0.892234,0.018354,[37 31] ; [33 29],[36.61538462 31.38461538] ; [33.38461538 28.61538462],0
v4,1,0.907748,0.013428,[65  3] ; [59  3],[64.86153846  3.13846154] ; [59.13846154  2.86153846],0
u3,1,0.928308,0.008095,[14  6] ; [10  4],[14.11764706  5.88235294] ; [9.88235294 4.11764706],0
s3,1,0.947052,0.00441,[49 19] ; [45 17],[49.16923077 18.83076923] ; [44.83076923 17.16923077],0
a6,1,0.968743,0.001535,[43 25] ; [39 23],[42.89230769 25.10769231] ; [39.10769231 22.89230769],0
