Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.6e-05,16.594286,[19 16] ; [ 1 24],[11.66666667 23.33333333] ; [ 8.33333333 16.66666667],1
a5,1,5.7e-05,16.193878,[24 11] ; [ 4 21],[16.33333333 18.66666667] ; [11.66666667 13.33333333],1
a6,1,0.001119,10.619263,[26  9] ; [ 8 17],[19.83333333 15.16666667] ; [14.16666667 10.83333333],0
d4,1,0.007526,7.142857,[26  9] ; [10 15],[21. 14.] ; [15. 10.],0
u3,1,0.012502,6.238187,[9 3] ; [ 4 11],[5.77777778 6.22222222] ; [7.22222222 7.77777778],0
d2,1,0.025284,5.004329,[20 15] ; [ 7 18],[15.75 19.25] ; [11.25 13.75],0
a4,1,0.027468,4.861177,[15 20] ; [ 4 21],[11.08333333 23.91666667] ; [ 7.91666667 17.08333333],0
u2,1,0.031308,4.635989,[9 3] ; [ 5 10],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
d3,1,0.033033,4.544044,[19 15] ; [ 7 18],[14.98305085 19.01694915] ; [11.01694915 13.98305085],0
v2,1,0.046905,3.948802,[14 20] ; [ 4 20],[10.55172414 23.44827586] ; [ 7.44827586 16.55172414],0
a3,1,0.048398,3.896104,[23 12] ; [10 15],[19.25 15.75] ; [13.75 11.25],0
n5,1,0.05428,3.704082,[15 20] ; [17  8],[18.66666667 16.33333333] ; [13.33333333 11.66666667],0
b4,1,0.05428,3.704082,[20 15] ; [ 8 17],[16.33333333 18.66666667] ; [11.66666667 13.33333333],0
a7,1,0.066798,3.36,[21 14] ; [ 9 16],[17.5 17.5] ; [12.5 12.5],0
s5,1,0.104867,2.629919,[ 8 25] ; [ 2 23],[ 5.68965517 27.31034483] ; [ 4.31034483 20.68965517],0
a2,1,0.117948,2.444359,[ 6 29] ; [ 1 24],[ 4.08333333 30.91666667] ; [ 2.91666667 22.08333333],0
s8,1,0.124514,2.359598,[10 25] ; [ 3 22],[ 7.58333333 27.41666667] ; [ 5.41666667 19.58333333],0
r3,1,0.170019,1.882776,[23 12] ; [12 13],[20.41666667 14.58333333] ; [14.58333333 10.41666667],0
v4,1,0.173717,1.850571,[25 10] ; [13 11],[22.54237288 12.45762712] ; [15.45762712  8.54237288],0
s7,1,0.175154,1.838268,[12 21] ; [ 5 20],[ 9.67241379 23.32758621] ; [ 7.32758621 17.67241379],0
p6,1,0.184425,1.761603,[10 22] ; [ 4 21],[ 7.85964912 24.14035088] ; [ 6.14035088 18.85964912],0
b5,1,0.220671,1.5,[21 14] ; [11 14],[18.66666667 16.33333333] ; [13.33333333 11.66666667],0
r2,1,0.255045,1.295455,[24  9] ; [14 10],[22. 11.] ; [16.  8.],0
s2,1,0.280611,1.16413,[13 22] ; [ 6 19],[11.08333333 23.91666667] ; [ 7.91666667 17.08333333],0
p1,1,0.304371,1.054945,[ 6 29] ; [ 2 23],[ 4.66666667 30.33333333] ; [ 3.33333333 21.66666667],0
b1,1,0.319137,0.992481,[24 11] ; [14 11],[22.16666667 12.83333333] ; [15.83333333  9.16666667],0
r4,1,0.323678,0.974026,[11 24] ; [ 5 20],[ 9.33333333 25.66666667] ; [ 6.66666667 18.33333333],0
n3,1,0.340018,0.910364,[8 6] ; [9 3],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
p11,1,0.381673,0.765306,[18 17] ; [10 15],[16.33333333 18.66666667] ; [11.66666667 13.33333333],0
s1,1,0.382098,0.763943,[ 1 33] ; [ 2 23],[ 1.72881356 32.27118644] ; [ 1.27118644 23.72881356],0
p2,1,0.383941,0.758046,[16 17] ; [15 10],[17.63793103 15.36206897] ; [13.36206897 11.63793103],0
