Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.010162,6.606201,[17  5] ; [11 16],[12.57142857  9.42857143] ; [15.42857143 11.57142857],0
a6,1,0.018804,5.519682,[ 9 13] ; [20  7],[13.02040816  8.97959184] ; [15.97959184 11.02040816],0
n3,1,0.02474,5.042017,[11  1] ; [6 6],[8.5 3.5] ; [8.5 3.5],0
v3,1,0.029697,4.726758,[ 2 20] ; [ 9 16],[ 5.14893617 16.85106383] ; [ 5.85106383 19.14893617],0
n5,1,0.060365,3.527337,[10 11] ; [20  7],[13.125  7.875] ; [16.875 10.125],0
s2,1,0.073637,3.200039,[ 7 15] ; [ 3 24],[ 4.48979592 17.51020408] ; [ 5.51020408 21.48979592],0
a8,1,0.113141,2.509793,[ 1 21] ; [ 5 20],[ 2.80851064 19.19148936] ; [ 3.19148936 21.80851064],0
u3,1,0.115582,2.47619,[8 5] ; [4 9],[6. 7.] ; [6. 7.],0
a4,1,0.146169,2.111785,[ 4 18] ; [10 17],[ 6.28571429 15.71428571] ; [ 7.71428571 19.28571429],0
b3,1,0.16612,1.917614,[2 9] ; [7 9],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
b2,1,0.16612,1.917614,[2 9] ; [7 9],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
r2,1,0.177096,1.821824,[15  7] ; [22  4],[16.95833333  5.04166667] ; [20.04166667  5.95833333],0
n1,1,0.188274,1.731069,[3 8] ; [7 6],[4.58333333 6.41666667] ; [5.41666667 7.58333333],0
r1,1,0.201224,1.633471,[ 9 13] ; [16 11],[11.2244898 10.7755102] ; [13.7755102 13.2244898],0
s6,1,0.214905,1.538069,[ 6 16] ; [12 15],[ 8.08163265 13.91836735] ; [ 9.91836735 17.08163265],0
a2,1,0.237523,1.395233,[ 1 21] ; [ 4 23],[ 2.24489796 19.75510204] ; [ 2.75510204 24.24489796],0
p7,1,0.246566,1.342657,[13  9] ; [11 15],[11. 11.] ; [13. 13.],0
p4,1,0.253072,1.306265,[10 12] ; [ 8 19],[ 8.08163265 13.91836735] ; [ 9.91836735 17.08163265],0
s7,1,0.261327,1.261714,[ 3 18] ; [ 7 18],[ 4.56521739 16.43478261] ; [ 5.43478261 19.56521739],0
b4,1,0.278287,1.175436,[ 8 14] ; [14 13],[ 9.87755102 12.12244898] ; [12.12244898 14.87755102],0
a5,1,0.307675,1.040631,[ 9 13] ; [15 12],[10.7755102 11.2244898] ; [13.2244898 13.7755102],0
p10,1,0.318674,0.99438,[12 10] ; [10 15],[10.29787234 11.70212766] ; [11.70212766 13.29787234],0
r3,1,0.324558,0.970489,[16  6] ; [16 11],[14.36734694  7.63265306] ; [17.63265306  9.36734694],0
d3,1,0.324574,0.970426,[ 3 18] ; [ 7 20],[ 4.375 16.625] ; [ 5.625 21.375],0
a3,1,0.371341,0.799173,[ 9 13] ; [14 12],[10.54166667 11.45833333] ; [12.45833333 13.54166667],0
d2,1,0.413686,0.668182,[ 5 17] ; [ 9 18],[ 6.28571429 15.71428571] ; [ 7.71428571 19.28571429],0
p11,1,0.445209,0.582821,[13  9] ; [13 14],[11.67346939 10.32653061] ; [14.32653061 12.67346939],0
v4,1,0.478243,0.502867,[17  5] ; [17  8],[15.91489362  6.08510638] ; [18.08510638  6.91489362],0
a7,1,0.516889,0.420096,[11 11] ; [11 16],[ 9.87755102 12.12244898] ; [12.12244898 14.87755102],0
s4,1,0.543215,0.369613,[ 2 20] ; [ 4 23],[ 2.69387755 19.30612245] ; [ 3.30612245 23.69387755],0
n2,1,0.570632,0.321626,[7 5] ; [9 4],[7.68 4.32] ; [8.32 4.68],0
p1,1,0.645586,0.21151,[ 3 19] ; [ 5 22],[ 3.59183673 18.40816327] ; [ 4.40816327 22.59183673],0
v2,1,0.679126,0.171111,[ 7 13] ; [ 7 17],[ 6.36363636 13.63636364] ; [ 7.63636364 16.36363636],0
p3,1,0.682601,0.167213,[ 6 16] ; [ 6 21],[ 5.3877551 16.6122449] ; [ 6.6122449 20.3877551],0
u2,1,0.694887,0.153846,[7 6] ; [6 7],[6.5 6.5] ; [6.5 6.5],0
s8,1,0.716164,0.132198,[ 5 17] ; [ 5 22],[ 4.48979592 17.51020408] ; [ 5.51020408 21.48979592],0
d5,1,0.740157,0.109989,[10 12] ; [11 16],[ 9.42857143 12.57142857] ; [11.57142857 15.42857143],0
p8,1,0.760148,0.0932,[ 9 12] ; [10 16],[ 8.4893617 12.5106383] ; [10.5106383 15.4893617],0
p6,1,0.766308,0.088333,[ 5 17] ; [ 5 21],[ 4.58333333 17.41666667] ; [ 5.41666667 20.58333333],0
p2,1,0.803566,0.061869,[13  9] ; [15 12],[12.57142857  9.42857143] ; [15.42857143 11.57142857],0
p9,1,0.861467,0.030453,[12 10] ; [13 12],[11.70212766 10.29787234] ; [13.29787234 11.70212766],0
s3,1,0.868681,0.027335,[ 7 15] ; [ 8 19],[ 6.73469388 15.26530612] ; [ 8.26530612 18.73469388],0
r4,1,0.897374,0.016636,[11 11] ; [14 13],[11.2244898 10.7755102] ; [13.7755102 13.2244898],0
b5,1,0.897374,0.016636,[11 11] ; [14 13],[11.2244898 10.7755102] ; [13.7755102 13.2244898],0
v1,1,0.899583,0.015923,[ 8 14] ; [ 9 17],[ 7.79166667 14.20833333] ; [ 9.20833333 16.79166667],0
