Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.251863,[106  11] ; [16 22],[92.09032258 24.90967742] ; [29.90967742  8.09032258],1
r3,1,0.0,28.596428,[110   6] ; [23 15],[100.18181818  15.81818182] ; [32.81818182  5.18181818],1
a1,1,0.002456,9.173214,[  3 114] ; [ 6 32],[  6.79354839 110.20645161] ; [ 2.20645161 35.79354839],0
v4,1,0.005213,7.803866,[105  10] ; [28 10],[99.96732026 15.03267974] ; [33.03267974  4.96732026],0
d4,1,0.011114,6.446943,[93 22] ; [23 15],[87.18954248 27.81045752] ; [28.81045752  9.18954248],0
v2,1,0.013382,6.117909,[54 53] ; [10 27],[47.55555556 59.44444444] ; [16.44444444 20.55555556],0
a7,1,0.018067,5.589662,[83 34] ; [19 19],[76.99354839 40.00645161] ; [25.00645161 12.99354839],0
p1,1,0.021157,5.313838,[  7 109] ; [ 7 31],[ 10.54545455 105.45454545] ; [ 3.45454545 34.54545455],0
d3,1,0.024927,5.028934,[80 36] ; [18 19],[74.30065359 41.69934641] ; [23.69934641 13.30065359],0
a5,1,0.025719,4.974833,[79 38] ; [18 20],[73.21935484 43.78064516] ; [23.78064516 14.21935484],0
n1,1,0.034378,4.475781,[13 27] ; [8 4],[16.15384615 23.84615385] ; [4.84615385 7.15384615],0
s6,1,0.039478,4.240162,[62 54] ; [13 25],[56.49350649 59.50649351] ; [18.50649351 19.49350649],0
u2,1,0.044976,4.019538,[27  9] ; [8 9],[23.77358491 12.22641509] ; [11.22641509  5.77358491],0
d5,1,0.04502,4.017885,[92 24] ; [24 14],[87.37662338 28.62337662] ; [28.62337662  9.37662338],0
p8,1,0.048209,3.902697,[46 68] ; [ 8 28],[41.04 72.96] ; [12.96 23.04],0
p2,1,0.072827,3.218124,[83 33] ; [20 16],[78.60526316 37.39473684] ; [24.39473684 11.60526316],0
n5,1,0.100143,2.703264,[46 69] ; [21 17],[50.35947712 64.64052288] ; [16.64052288 21.35947712],0
s4,1,0.107753,2.586866,[ 15 102] ; [ 9 29],[18.11612903 98.88387097] ; [ 5.88387097 32.11612903],0
v1,1,0.121049,2.403691,[54 61] ; [12 25],[49.93421053 65.06578947] ; [16.06578947 20.93421053],0
a3,1,0.140487,2.172622,[80 37] ; [21 17],[76.23870968 40.76129032] ; [24.76129032 13.23870968],0
d2,1,0.160651,1.968088,[46 70] ; [20 18],[49.71428571 66.28571429] ; [16.28571429 21.71428571],0
b2,1,0.162431,1.951444,[18 47] ; [10 13],[20.68181818 44.31818182] ; [ 7.31818182 15.68181818],0
b3,1,0.162431,1.951444,[18 47] ; [10 13],[20.68181818 44.31818182] ; [ 7.31818182 15.68181818],0
v3,1,0.178003,1.814218,[33 73] ; [ 7 29],[29.85915493 76.14084507] ; [10.14084507 25.85915493],0
n2,1,0.190345,1.714945,[27 13] ; [12  2],[28.88888889 11.11111111] ; [10.11111111  3.88888889],0
d1,1,0.205689,1.60151,[60 57] ; [15 23],[56.61290323 60.38709677] ; [18.38709677 19.61290323],0
p11,1,0.210347,1.569038,[69 48] ; [18 20],[65.67096774 51.32903226] ; [21.32903226 16.67096774],0
s3,1,0.282425,1.155384,[63 52] ; [17 21],[60.13071895 54.86928105] ; [19.86928105 18.13071895],0
n4,1,0.285348,1.14144,[64 53] ; [17 21],[61.14193548 55.85806452] ; [19.85806452 18.14193548],0
b5,1,0.285895,1.138851,[73 44] ; [20 18],[70.2 46.8] ; [22.8 15.2],0
p7,1,0.286811,1.134532,[54 56] ; [14 22],[51.23287671 58.76712329] ; [16.76712329 19.23287671],0
n3,1,0.29326,1.104593,[24 14] ; [11  3],[25.57692308 12.42307692] ; [9.42307692 4.57692308],0
p6,1,0.314693,1.010877,[22 89] ; [10 26],[24.16326531 86.83673469] ; [ 7.83673469 28.16326531],0
b1,1,0.328941,0.953062,[54 63] ; [21 17],[56.61290323 60.38709677] ; [18.38709677 19.61290323],0
u1,1,0.350843,0.870404,[ 12 105] ; [ 2 36],[ 10.56774194 106.43225806] ; [ 3.43225806 34.56774194],0
p3,1,0.365338,0.819461,[44 72] ; [11 26],[41.69934641 74.30065359] ; [13.30065359 23.69934641],0
p5,1,0.401542,0.703704,[  5 109] ; [ 3 35],[  6. 108.] ; [ 2. 36.],0
s8,1,0.403174,0.698841,[36 81] ; [ 9 29],[33.96774194 83.03225806] ; [11.03225806 26.96774194],0
s1,1,0.417291,0.657931,[  7 107] ; [ 1 36],[  6.0397351 107.9602649] ; [ 1.9602649 35.0397351],0
p4,1,0.421048,0.647387,[49 66] ; [13 24],[46.90789474 68.09210526] ; [15.09210526 21.90789474],0
a2,1,0.425334,0.63553,[22 95] ; [ 5 33],[20.38064516 96.61935484] ; [ 6.61935484 31.38064516],0
b4,1,0.434694,0.610248,[70 47] ; [20 18],[67.93548387 49.06451613] ; [22.06451613 15.93548387],0
a6,1,0.443608,0.586933,[81 35] ; [24 14],[79.09090909 36.90909091] ; [25.90909091 12.09090909],0
a8,1,0.454737,0.558819,[10 97] ; [ 2 35],[ 8.91666667 98.08333333] ; [ 3.08333333 33.91666667],0
u3,1,0.577962,0.309541,[26 10] ; [11  6],[25.13207547 10.86792453] ; [11.86792453  5.13207547],0
s5,1,0.579722,0.306685,[23 87] ; [ 6 30],[21.84931507 88.15068493] ; [ 7.15068493 28.84931507],0
s2,1,0.620621,0.244996,[48 68] ; [14 24],[46.7012987 69.2987013] ; [15.2987013 22.7012987],0
a4,1,0.638011,0.221353,[45 72] ; [13 25],[43.78064516 73.21935484] ; [14.21935484 23.78064516],0
p10,1,0.642173,0.215911,[66 47] ; [20 17],[64.78666667 48.21333333] ; [21.21333333 15.78666667],0
p9,1,0.740751,0.109468,[74 39] ; [26 12],[74.83443709 38.16556291] ; [25.16556291 12.83443709],0
s7,1,0.898152,0.016383,[35 72] ; [12 26],[34.68275862 72.31724138] ; [12.31724138 25.68275862],0
