Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.004833,7.940748,[19 16] ; [88 24],[25.47619048  9.52380952] ; [81.52380952 30.47619048],0
r1,1,0.004889,7.920096,[22 13] ; [95 17],[27.85714286  7.14285714] ; [89.14285714 22.85714286],0
n4,1,0.0083,6.967603,[22 13] ; [93 18],[27.56849315  7.43150685] ; [87.43150685 23.56849315],0
s2,1,0.012922,6.179711,[30  5] ; [71 41],[24.04761905 10.95238095] ; [76.95238095 35.04761905],0
n5,1,0.023165,5.156113,[19 16] ; [82 28],[24.37931034 10.62068966] ; [76.62068966 33.37931034],0
d4,1,0.023783,5.11039,[24 11] ; [95 16],[28.52739726  6.47260274] ; [90.47260274 20.52739726],0
s5,1,0.028247,4.812957,[18 15] ; [36 72],[12.63829787 20.36170213] ; [41.36170213 66.63829787],0
a2,1,0.030196,4.698108,[ 3 32] ; [29 83],[ 7.61904762 27.38095238] ; [24.38095238 87.61904762],0
b4,1,0.04969,3.851894,[14 21] ; [66 46],[19.04761905 15.95238095] ; [60.95238095 51.04761905],0
n6,1,0.055588,3.664347,[24 11] ; [91 18],[27.95138889  7.04861111] ; [87.04861111 21.95138889],0
d1,1,0.061768,3.489266,[14 21] ; [65 47],[18.80952381 16.19047619] ; [60.19047619 51.80952381],0
v3,1,0.112439,2.519596,[11 24] ; [50 57],[15.03521127 19.96478873] ; [45.96478873 61.03521127],0
a8,1,0.132425,2.263839,[ 3 28] ; [22 79],[ 5.87121212 25.12878788] ; [19.12878788 81.87121212],0
n1,1,0.137997,2.200153,[3 8] ; [18 16],[5.13333333 5.86666667] ; [15.86666667 18.13333333],0
v2,1,0.138009,2.20002,[16 17] ; [68 40],[19.65957447 13.34042553] ; [64.34042553 43.65957447],0
b2,1,0.158484,1.988636,[ 6 14] ; [38 42],[ 8.8 11.2] ; [35.2 44.8],0
b3,1,0.158484,1.988636,[ 6 14] ; [38 42],[ 8.8 11.2] ; [35.2 44.8],0
s3,1,0.161514,1.959998,[29  6] ; [78 32],[25.82758621  9.17241379] ; [81.17241379 28.82758621],0
d2,1,0.199493,1.646086,[13 22] ; [55 56],[16.30136986 18.69863014] ; [51.69863014 59.30136986],0
a6,1,0.233877,1.417128,[19 16] ; [72 38],[21.96551724 13.03448276] ; [69.03448276 40.96551724],0
a4,1,0.240421,1.378125,[12 23] ; [51 61],[15. 20.] ; [48. 64.],0
v1,1,0.24359,1.359698,[15 20] ; [58 49],[17.99295775 17.00704225] ; [55.00704225 51.99295775],0
