Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,3.1e-05,17.377963,[ 7 30] ; [59 41],[17.82481752 19.17518248] ; [48.17518248 51.82481752],1
d1,1,4.6e-05,16.607564,[10 27] ; [66 34],[20.52554745 16.47445255] ; [55.47445255 44.52554745],1
d2,1,0.000326,12.914676,[10 27] ; [61 38],[19.31617647 17.68382353] ; [51.68382353 47.31617647],1
v2,1,0.001987,9.561735,[11 25] ; [60 39],[18.93333333 17.06666667] ; [52.06666667 46.93333333],0
u1,1,0.002338,9.263539,[ 1 36] ; [26 74],[ 7.2919708 29.7080292] ; [19.7080292 80.2919708],0
a3,1,0.002773,8.951154,[21 15] ; [83 17],[27.52941176  8.47058824] ; [76.47058824 23.52941176],0
a6,1,0.003116,8.738351,[16 21] ; [70 29],[23.39705882 13.60294118] ; [62.60294118 36.39705882],0
r1,1,0.009461,6.733593,[24 13] ; [85 15],[29.4379562  7.5620438] ; [79.5620438 20.4379562],0
d3,1,0.015045,5.911174,[21 16] ; [77 22],[26.66176471 10.33823529] ; [71.33823529 27.66176471],0
b4,1,0.044891,4.022722,[27 10] ; [54 46],[21.87591241 15.12408759] ; [59.12408759 40.87591241],0
p9,1,0.056564,3.63536,[24 11] ; [82 16],[27.89473684  7.10526316] ; [78.10526316 19.89473684],0
n4,1,0.072864,3.217287,[26 11] ; [84 16],[29.7080292  7.2919708] ; [80.2919708 19.7080292],0
p10,1,0.078766,3.090187,[24 12] ; [81 19],[27.79411765  8.20588235] ; [77.20588235 22.79411765],0
b5,1,0.099942,2.706469,[16 21] ; [59 41],[20.25547445 16.74452555] ; [54.74452555 45.25547445],0
n5,1,0.123993,2.366145,[23 14] ; [74 24],[26.58518519 10.41481481] ; [70.41481481 27.58518519],0
b1,1,0.13031,2.288812,[11 26] ; [44 56],[14.8540146 22.1459854] ; [40.1459854 59.8540146],0
r2,1,0.139662,2.181684,[33  4] ; [94  4],[34.80740741  2.19259259] ; [92.19259259  5.80740741],0
a8,1,0.151313,2.05896,[ 3 32] ; [17 72],[ 5.64516129 29.35483871] ; [14.35483871 74.64516129],0
n3,1,0.185099,1.756198,[6 6] ; [16  6],[7.76470588 4.23529412] ; [14.23529412  7.76470588],0
s4,1,0.209432,1.575351,[12 25] ; [22 78],[ 9.18248175 27.81751825] ; [24.81751825 75.18248175],0
d5,1,0.256256,1.288873,[27 10] ; [81 18],[29.38235294  7.61764706] ; [78.61764706 20.38235294],0
d4,1,0.274095,1.196138,[28  9] ; [83 16],[30.19852941  6.80147059] ; [80.80147059 18.19852941],0
n6,1,0.285949,1.138595,[28  9] ; [82 16],[30.14814815  6.85185185] ; [79.85185185 18.14814815],0
s5,1,0.342069,0.90266,[16 21] ; [33 63],[13.63157895 23.36842105] ; [35.36842105 60.63157895],0
a7,1,0.384331,0.756802,[25 12] ; [75 25],[27.00729927  9.99270073] ; [72.99270073 27.00729927],0
u3,1,0.392147,0.732274,[9 7] ; [12  5],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
p12,1,0.430287,0.622049,[ 1 36] ; [ 6 93],[ 1.90441176 35.09558824] ; [ 5.09558824 93.90441176],0
a1,1,0.436443,0.605616,[ 1 36] ; [ 6 94],[ 1.89051095 35.10948905] ; [ 5.10948905 94.89051095],0
u2,1,0.476033,0.507937,[8 8] ; [10  6],[9. 7.] ; [9. 7.],0
r4,1,0.477974,0.503482,[30  7] ; [86 14],[31.32846715  5.67153285] ; [84.67153285 15.32846715],0
p2,1,0.477974,0.503482,[30  7] ; [86 14],[31.32846715  5.67153285] ; [84.67153285 15.32846715],0
p11,1,0.494765,0.466146,[26 11] ; [76 24],[27.54744526  9.45255474] ; [74.45255474 25.54744526],0
s6,1,0.513649,0.426627,[24 12] ; [71 27],[25.52238806 10.47761194] ; [69.47761194 28.52238806],0
b3,1,0.516979,0.419917,[ 9 13] ; [23 46],[ 7.73626374 14.26373626] ; [24.26373626 44.73626374],0
b2,1,0.516979,0.419917,[ 9 13] ; [23 46],[ 7.73626374 14.26373626] ; [24.26373626 44.73626374],0
n1,1,0.537371,0.380435,[6 6] ; [ 9 14],[5.14285714 6.85714286] ; [ 9.85714286 13.14285714],0
n2,1,0.593231,0.285326,[9 3] ; [19  4],[9.6 2.4] ; [18.4  4.6],0
s3,1,0.604486,0.268283,[22 15] ; [63 35],[23.2962963 13.7037037] ; [61.7037037 36.2962963],0
v4,1,0.6297,0.232467,[33  4] ; [90  8],[33.71111111  3.28888889] ; [89.28888889  8.71111111],0
p8,1,0.68747,0.161838,[18 17] ; [47 52],[16.97761194 18.02238806] ; [48.02238806 50.97761194],0
s2,1,0.731711,0.117546,[21 16] ; [60 40],[21.87591241 15.12408759] ; [59.12408759 40.87591241],0
s1,1,0.792978,0.068878,[ 2 33] ; [ 7 93],[ 2.33333333 32.66666667] ; [ 6.66666667 93.33333333],0
p7,1,0.795668,0.067059,[23 12] ; [62 36],[22.36842105 12.63157895] ; [62.63157895 35.36842105],0
p3,1,0.820359,0.051567,[19 18] ; [53 46],[19.58823529 17.41176471] ; [52.41176471 46.58823529],0
p6,1,0.834244,0.043791,[14 21] ; [38 62],[13.48148148 21.51851852] ; [38.51851852 61.48148148],0
p1,1,0.869766,0.026882,[ 3 34] ; [ 9 91],[ 3.24087591 33.75912409] ; [ 8.75912409 91.24087591],0
p5,1,0.889362,0.019352,[ 4 33] ; [10 90],[ 3.7810219 33.2189781] ; [10.2189781 89.7810219],0
v3,1,0.909573,0.0129,[13 23] ; [34 63],[12.72180451 23.27819549] ; [34.27819549 62.72180451],0
r3,1,0.912483,0.012079,[34  2] ; [93  6],[33.86666667  2.13333333] ; [93.13333333  5.86666667],0
p4,1,0.92823,0.008113,[23 14] ; [63 37],[23.22627737 13.77372263] ; [62.77372263 37.22627737],0
v1,1,0.962675,0.00219,[16 20] ; [44 54],[16.11940299 19.88059701] ; [43.88059701 54.11940299],0
