Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.6e-05,18.578395,[ 3 11] ; [49 12],[9.70666667 4.29333333] ; [42.29333333 18.70666667],1
v4,1,0.004246,8.175431,[6 8] ; [49 12],[10.26666667  3.73333333] ; [44.73333333 16.26666667],0
r3,1,0.006757,7.336523,[7 7] ; [51 10],[10.82666667  3.17333333] ; [47.17333333 13.82666667],0
r1,1,0.007776,7.084309,[ 4 10] ; [41 20],[8.4 5.6] ; [36.6 24.4],0
b1,1,0.039469,4.240549,[10  4] ; [25 36],[6.53333333 7.46666667] ; [28.46666667 32.53333333],0
v3,1,0.068693,3.313984,[ 1 13] ; [18 40],[ 3.69444444 10.30555556] ; [15.30555556 42.69444444],0
p11,1,0.069754,3.288794,[5 9] ; [38 23],[8.02666667 5.97333333] ; [34.97333333 26.02666667],0
a1,1,0.098333,2.732378,[ 2 12] ; [ 2 59],[ 0.74666667 13.25333333] ; [ 3.25333333 57.74666667],0
p9,1,0.139335,2.185288,[4 9] ; [31 27],[6.4084507 6.5915493] ; [28.5915493 29.4084507],0
s7,1,0.145272,2.121212,[ 1 13] ; [14 42],[ 3. 11.] ; [12. 44.],0
a8,1,0.178988,1.806007,[ 2 11] ; [ 3 57],[ 0.89041096 12.10958904] ; [ 4.10958904 55.89041096],0
p1,1,0.205071,1.605888,[ 2 12] ; [ 3 58],[ 0.93333333 13.06666667] ; [ 4.06666667 56.93333333],0
a6,1,0.207858,1.586285,[ 3 11] ; [24 37],[5.04 8.96] ; [21.96 39.04],0
d3,1,0.237058,1.398004,[ 4 10] ; [28 33],[5.97333333 8.02666667] ; [26.02666667 34.97333333],0
d1,1,0.245407,1.349265,[ 2 12] ; [18 43],[ 3.73333333 10.26666667] ; [16.26666667 44.73333333],0
a7,1,0.258403,1.277292,[5 9] ; [32 29],[6.90666667 7.09333333] ; [30.09333333 30.90666667],0
p5,1,0.261591,1.260316,[ 1 13] ; [ 1 58],[ 0.38356164 13.61643836] ; [ 1.61643836 57.38356164],0
u2,1,0.272114,1.206059,[4 6] ; [22 15],[5.53191489 4.46808511] ; [20.46808511 16.53191489],0
p6,1,0.292997,1.105799,[ 1 12] ; [12 48],[ 2.31506849 10.68493151] ; [10.68493151 49.31506849],0
