Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,60.59694,[ 29 136] ; [73 43],[ 59.89323843 105.10676157] ; [42.10676157 73.89323843],1
p7,1,0.0,43.714041,[ 53 111] ; [84 32],[80.24285714 83.75714286] ; [56.75714286 59.24285714],1
p8,1,0.0,43.212731,[ 42 123] ; [74 40],[68.60215054 96.39784946] ; [47.39784946 66.60215054],1
p6,1,0.0,34.806977,[ 16 145] ; [46 69],[ 36.16666667 124.83333333] ; [25.83333333 89.16666667],1
p2,1,0.0,32.097421,[95 71] ; [102  13],[116.3772242  49.6227758] ; [80.6227758 34.3772242],1
p11,1,3e-06,21.71922,[97 69] ; [98 18],[114.78723404  51.21276596] ; [80.21276596 35.78723404],1
p10,1,4e-06,21.492571,[84 80] ; [91 25],[102.5  61.5] ; [72.5 43.5],1
p9,1,0.000171,14.125123,[94 66] ; [93 23],[108.4057971  51.5942029] ; [78.5942029 37.4057971],1
v1,1,0.0002,13.832326,[ 49 114] ; [60 55],[63.91007194 99.08992806] ; [45.08992806 69.91007194],1
v4,1,0.000567,11.880754,[129  34] ; [109   7],[139.04659498  23.95340502] ; [98.95340502 17.04659498],1
s7,1,0.001062,10.716915,[ 17 137] ; [29 80],[ 26.93536122 127.06463878] ; [19.06463878 89.93536122],0
n6,1,0.001109,10.636288,[107  58] ; [95 20],[119.03571429  45.96428571] ; [82.96428571 32.03571429],0
r4,1,0.002959,8.832716,[111  55] ; [96 20],[121.85106383  44.14893617] ; [85.14893617 30.85106383],0
p5,1,0.004311,8.14802,[  4 162] ; [ 12 103],[  9.4519573 156.5480427] ; [  6.5480427 108.4519573],0
s8,1,0.005279,7.781402,[ 15 151] ; [24 92],[ 22.95744681 143.04255319] ; [16.04255319 99.95744681],0
v2,1,0.007872,7.062401,[63 95] ; [63 49],[73.73333333 84.26666667] ; [52.26666667 59.73333333],0
n5,1,0.011331,6.41268,[93 71] ; [83 33],[103.08571429  60.91428571] ; [72.91428571 43.08571429],0
v3,1,0.013695,6.077009,[ 38 121] ; [43 71],[ 47.17582418 111.82417582] ; [33.82417582 80.17582418],0
r1,1,0.014111,6.024254,[100  64] ; [87 29],[109.52857143  54.47142857] ; [77.47142857 38.52857143],0
r3,1,0.015058,5.90972,[130  33] ; [105  11],[137.29390681  25.70609319] ; [97.70609319 18.29390681],0
a5,1,0.018539,5.544449,[96 70] ; [83 33],[105.36879433  60.63120567] ; [73.63120567 42.36879433],0
d5,1,0.043367,4.081031,[112  54] ; [91 25],[119.4964539  46.5035461] ; [83.5035461 32.4964539],0
n4,1,0.071558,3.246908,[104  61] ; [85 31],[110.97864769  54.02135231] ; [78.02135231 37.97864769],0
n3,1,0.091694,2.84438,[34 23] ; [19  5],[37.2962963 19.7037037] ; [15.7037037  8.2962963],0
u1,1,0.109295,2.564388,[ 12 154] ; [ 15 101],[ 15.89361702 150.10638298] ; [ 11.10638298 104.89361702],0
a1,1,0.114538,2.490468,[  9 157] ; [  2 114],[  6.4751773 159.5248227] ; [  4.5248227 111.4751773],0
a7,1,0.140182,2.175955,[102  62] ; [82 34],[107.77142857  56.22857143] ; [76.22857143 39.77142857],0
r2,1,0.14172,2.159185,[135  27] ; [103  12],[139.19133574  22.80866426] ; [98.80866426 16.19133574],0
d3,1,0.162831,1.947738,[93 72] ; [75 41],[98.64768683 66.35231317] ; [69.35231317 46.64768683],0
a4,1,0.173224,1.854818,[ 62 103] ; [53 63],[67.52669039 97.47330961] ; [47.47330961 68.52669039],0
s1,1,0.228654,1.449214,[  4 159] ; [  6 110],[  5.84229391 157.15770609] ; [  4.15770609 111.84229391],0
s5,1,0.245524,1.348597,[ 14 147] ; [ 15 100],[ 16.91666667 144.08333333] ; [ 12.08333333 102.91666667],0
d1,1,0.260681,1.265136,[76 90] ; [61 55],[80.64539007 85.35460993] ; [56.35460993 59.64539007],0
a2,1,0.294534,1.098781,[ 25 141] ; [23 93],[ 28.25531915 137.74468085] ; [19.74468085 96.25531915],0
n2,1,0.307768,1.040231,[35 26] ; [16  7],[37.03571429 23.96428571] ; [13.96428571  9.03571429],0
u3,1,0.342469,0.901168,[23 38] ; [18 20],[25.26262626 35.73737374] ; [15.73737374 22.26262626],0
p1,1,0.343178,0.898524,[ 13 152] ; [ 13 103],[ 15.26690391 149.73309609] ; [ 10.73309609 105.26690391],0
b4,1,0.382944,0.76123,[96 70] ; [61 55],[92.41843972 73.58156028] ; [64.58156028 51.41843972],0
p12,1,0.394965,0.723603,[  2 162] ; [  3 113],[  2.92857143 161.07142857] ; [  2.07142857 113.92857143],0
