Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.790214,[56  9] ; [1 6],[51.45833333 13.54166667] ; [5.54166667 1.45833333],1
v4,1,4.5e-05,16.635165,[61  4] ; [3 4],[57.77777778  7.22222222] ; [6.22222222 0.77777778],1
r2,1,0.000131,14.62432,[62  3] ; [3 3],[59.50704225  5.49295775] ; [5.49295775 0.50704225],1
s6,1,0.002492,9.146374,[57  8] ; [3 4],[54.16666667 10.83333333] ; [5.83333333 1.16666667],0
d4,1,0.002769,8.953793,[56  8] ; [3 4],[53.18309859 10.81690141] ; [5.81690141 1.18309859],0
d5,1,0.003162,8.7117,[51 13] ; [2 5],[47.77464789 16.22535211] ; [5.22535211 1.77464789],0
r1,1,0.027908,4.833736,[52 13] ; [3 4],[49.65277778 15.34722222] ; [5.34722222 1.65277778],0
v2,1,0.046366,3.968254,[34 29] ; [1 6],[31.5 31.5] ; [3.5 3.5],0
s4,1,0.055819,3.657441,[15 49] ; [4 3],[17.12676056 46.87323944] ; [1.87323944 5.12676056],0
s1,1,0.076452,3.138751,[ 5 60] ; [2 5],[ 6.31944444 58.68055556] ; [0.68055556 6.31944444],0
a7,1,0.076962,3.127908,[41 24] ; [2 5],[38.81944444 26.18055556] ; [4.18055556 2.81944444],0
p9,1,0.13503,2.2337,[27 35] ; [1 6],[25.15942029 36.84057971] ; [2.84057971 4.15942029],0
d1,1,0.176961,1.822965,[36 29] ; [2 5],[34.30555556 30.69444444] ; [3.69444444 3.30555556],0
b5,1,0.181799,1.782857,[39 26] ; [6 1],[40.625 24.375] ; [4.375 2.625],0
a3,1,0.181799,1.782857,[39 26] ; [6 1],[40.625 24.375] ; [4.375 2.625],0
p11,1,0.264221,1.246505,[33 32] ; [2 5],[31.59722222 33.40277778] ; [3.40277778 3.59722222],0
n4,1,0.28089,1.162777,[42 22] ; [6 1],[43.26760563 20.73239437] ; [4.73239437 2.26760563],0
s5,1,0.329534,0.950728,[23 40] ; [1 5],[21.91304348 41.08695652] ; [2.08695652 3.91304348],0
s8,1,0.334697,0.930639,[31 34] ; [2 5],[29.79166667 35.20833333] ; [3.20833333 3.79166667],0
b4,1,0.338307,0.916838,[40 25] ; [3 4],[38.81944444 26.18055556] ; [4.18055556 2.81944444],0
n2,1,0.349445,0.87547,[14  5] ; [2 2],[13.2173913  5.7826087] ; [2.7826087 1.2173913],0
n6,1,0.389745,0.739739,[45 19] ; [6 1],[45.97183099 18.02816901] ; [5.02816901 1.97183099],0
p3,1,0.476713,0.506374,[28 37] ; [4 3],[28.88888889 36.11111111] ; [3.11111111 3.88888889],0
n3,1,0.524052,0.405911,[11  8] ; [3 1],[11.56521739  7.43478261] ; [2.43478261 1.56521739],0
p1,1,0.558819,0.341753,[ 5 59] ; [1 6],[ 5.4084507 58.5915493] ; [0.5915493 6.4084507],0
d3,1,0.587233,0.294686,[39 25] ; [5 2],[39.66197183 24.33802817] ; [4.33802817 2.66197183],0
p8,1,0.587233,0.294686,[25 39] ; [2 5],[24.33802817 39.66197183] ; [2.66197183 4.33802817],0
v3,1,0.593769,0.284497,[20 41] ; [3 4],[20.63235294 40.36764706] ; [2.36764706 4.63235294],0
u1,1,0.595019,0.282575,[15 50] ; [1 6],[14.44444444 50.55555556] ; [1.55555556 5.44444444],0
d2,1,0.60564,0.266573,[34 30] ; [3 4],[33.35211268 30.64788732] ; [3.64788732 3.35211268],0
n1,1,0.624073,0.240184,[ 7 12] ; [2 2],[ 7.43478261 11.56521739] ; [1.56521739 2.43478261],0
p2,1,0.634216,0.226387,[43 22] ; [4 3],[42.43055556 22.56944444] ; [4.56944444 2.43055556],0
b1,1,0.634553,0.225937,[34 31] ; [3 4],[33.40277778 31.59722222] ; [3.59722222 3.40277778],0
a2,1,0.653473,0.20155,[14 51] ; [1 6],[13.54166667 51.45833333] ; [1.45833333 5.54166667],0
p7,1,0.749834,0.10167,[31 32] ; [3 4],[30.6 32.4] ; [3.4 3.6],0
a5,1,0.778492,0.079121,[43 22] ; [5 2],[43.33333333 21.66666667] ; [4.66666667 2.33333333],0
n5,1,0.781627,0.07684,[40 24] ; [4 3],[39.66197183 24.33802817] ; [4.33802817 2.66197183],0
p4,1,0.807638,0.059279,[34 31] ; [4 3],[34.30555556 30.69444444] ; [3.69444444 3.30555556],0
s7,1,0.818091,0.052901,[39 24] ; [4 2],[39.26086957 23.73913043] ; [3.73913043 2.26086957],0
b2,1,0.825709,0.048491,[14 26] ; [2 3],[14.22222222 25.77777778] ; [1.77777778 3.22222222],0
b3,1,0.825709,0.048491,[14 26] ; [2 3],[14.22222222 25.77777778] ; [1.77777778 3.22222222],0
v1,1,0.839639,0.040948,[30 34] ; [3 4],[29.74647887 34.25352113] ; [3.25352113 3.74647887],0
a6,1,0.839639,0.040948,[34 30] ; [4 3],[34.25352113 29.74647887] ; [3.74647887 3.25352113],0
p6,1,0.840354,0.040578,[21 44] ; [2 5],[20.76388889 44.23611111] ; [2.23611111 4.76388889],0
s3,1,0.845785,0.03783,[53 11] ; [6 1],[53.18309859 10.81690141] ; [5.81690141 1.18309859],0
a4,1,0.929122,0.007912,[29 36] ; [3 4],[28.88888889 36.11111111] ; [3.11111111 3.88888889],0
