Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n2,1,0.001439,10.154943,[ 5 10] ; [12  1],[9.10714286 5.89285714] ; [7.89285714 5.10714286],0
p10,1,0.0016,9.959328,[ 6 20] ; [19 10],[11.81818182 14.18181818] ; [13.18181818 15.81818182],0
s6,1,0.002346,9.256937,[ 4 23] ; [16 14],[ 9.47368421 17.52631579] ; [10.52631579 19.47368421],0
r3,1,0.00335,8.606215,[10 17] ; [22  7],[15.42857143 11.57142857] ; [16.57142857 12.42857143],0
p2,1,0.005772,7.620247,[11 16] ; [23  7],[16.10526316 10.89473684] ; [17.89473684 12.10526316],0
n3,1,0.006244,7.478632,[ 5 10] ; [11  2],[8.57142857 6.42857143] ; [7.42857143 5.57142857],0
v2,1,0.006361,7.445016,[ 4 22] ; [15 15],[ 8.82142857 17.17857143] ; [10.17857143 19.82142857],0
p9,1,0.006712,7.34842,[ 8 17] ; [20  9],[12.96296296 12.03703704] ; [15.03703704 13.96296296],0
p8,1,0.008622,6.899487,[ 3 23] ; [13 17],[ 7.42857143 18.57142857] ; [ 8.57142857 21.42857143],0
s8,1,0.016518,5.746914,[ 2 25] ; [10 20],[ 5.68421053 21.31578947] ; [ 6.31578947 23.68421053],0
a5,1,0.023688,5.117365,[ 9 18] ; [19 11],[13.26315789 13.73684211] ; [14.73684211 15.26315789],0
n6,1,0.036759,4.361538,[11 15] ; [21  9],[14.85714286 11.14285714] ; [17.14285714 12.85714286],0
p6,1,0.042867,4.100621,[ 1 24] ; [ 7 23],[ 3.63636364 21.36363636] ; [ 4.36363636 25.63636364],0
n5,1,0.051152,3.80329,[13 14] ; [22  8],[16.57894737 10.42105263] ; [18.42105263 11.57894737],0
d2,1,0.06139,3.499418,[ 4 23] ; [11 19],[ 7.10526316 19.89473684] ; [ 7.89473684 22.10526316],0
p7,1,0.062299,3.475108,[ 7 20] ; [15 15],[10.42105263 16.57894737] ; [11.57894737 18.42105263],0
p4,1,0.070325,3.275421,[ 8 19] ; [16 14],[11.36842105 15.63157895] ; [12.63157895 17.36842105],0
v1,1,0.091374,2.85,[ 6 21] ; [13 17],[ 9. 18.] ; [10. 20.],0
v3,1,0.099676,2.710725,[ 2 25] ; [ 7 23],[ 4.26315789 22.73684211] ; [ 4.73684211 25.26315789],0
s5,1,0.111318,2.535403,[ 1 26] ; [ 5 25],[ 2.84210526 24.15789474] ; [ 3.15789474 26.84210526],0
s1,1,0.126017,2.340897,[ 4 23] ; [ 1 29],[ 2.36842105 24.63157895] ; [ 2.63157895 27.36842105],0
a1,1,0.126017,2.340897,[ 4 23] ; [ 1 29],[ 2.36842105 24.63157895] ; [ 2.63157895 27.36842105],0
s4,1,0.137305,2.207905,[ 3 24] ; [ 8 22],[ 5.21052632 21.78947368] ; [ 5.78947368 24.21052632],0
n1,1,0.139445,2.184076,[ 3 12] ; [6 7],[ 4.82142857 10.17857143] ; [4.17857143 8.82142857],0
b3,1,0.169849,1.884276,[ 7 11] ; [ 4 17],[ 5.07692308 12.92307692] ; [ 5.92307692 15.07692308],0
b2,1,0.169849,1.884276,[ 7 11] ; [ 4 17],[ 5.07692308 12.92307692] ; [ 5.92307692 15.07692308],0
s2,1,0.177663,1.817068,[ 5 22] ; [10 19],[ 7.23214286 19.76785714] ; [ 7.76785714 21.23214286],0
b1,1,0.187084,1.740433,[19  8] ; [16 14],[16.57894737 10.42105263] ; [18.42105263 11.57894737],0
u2,1,0.197631,1.659799,[ 5 10] ; [8 6],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
b5,1,0.22979,1.442159,[16 11] ; [13 17],[13.73684211 13.26315789] ; [15.26315789 14.73684211],0
p3,1,0.234634,1.41255,[ 5 21] ; [10 20],[ 6.96428571 19.03571429] ; [ 8.03571429 21.96428571],0
n4,1,0.248664,1.330792,[13 14] ; [19 11],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
d1,1,0.314659,1.011019,[ 5 22] ; [ 9 21],[ 6.63157895 20.36842105] ; [ 7.36842105 22.63157895],0
a6,1,0.324732,0.969792,[10 17] ; [15 15],[11.84210526 15.15789474] ; [13.15789474 16.84210526],0
s3,1,0.352461,0.864577,[ 6 20] ; [10 19],[ 7.56363636 18.43636364] ; [ 8.43636364 20.56363636],0
p12,1,0.352799,0.863365,[ 1 26] ; [ 3 27],[ 1.89473684 25.10526316] ; [ 2.10526316 27.89473684],0
d5,1,0.356727,0.849384,[12 15] ; [17 13],[13.73684211 13.26315789] ; [15.26315789 14.73684211],0
s7,1,0.359358,0.840136,[ 5 19] ; [ 9 19],[ 6.46153846 17.53846154] ; [ 7.53846154 20.46153846],0
d3,1,0.462196,0.540572,[10 17] ; [14 16],[11.36842105 15.63157895] ; [12.63157895 17.36842105],0
a7,1,0.483433,0.491108,[11 16] ; [15 15],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
a8,1,0.545913,0.36469,[ 3 22] ; [ 2 26],[ 2.35849057 22.64150943] ; [ 2.64150943 25.35849057],0
u3,1,0.589876,0.290538,[ 3 12] ; [ 4 10],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
a3,1,0.592034,0.287179,[12 14] ; [16 14],[13. 13.] ; [15. 15.],0
b4,1,0.652577,0.202667,[16 11] ; [16 14],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
v4,1,0.674898,0.175926,[12 15] ; [15 15],[12.78947368 14.21052632] ; [14.21052632 15.78947368],0
p1,1,0.729731,0.119359,[ 2 25] ; [ 3 27],[ 2.36842105 24.63157895] ; [ 2.63157895 27.36842105],0
a2,1,0.729731,0.119359,[ 2 25] ; [ 3 27],[ 2.36842105 24.63157895] ; [ 2.63157895 27.36842105],0
a4,1,0.73251,0.116819,[ 7 20] ; [ 9 21],[ 7.57894737 19.42105263] ; [ 8.42105263 21.57894737],0
d4,1,0.769866,0.085586,[17 10] ; [20 10],[17.52631579  9.47368421] ; [19.47368421 10.52631579],0
r1,1,0.803691,0.061789,[ 8 19] ; [ 8 22],[ 7.57894737 19.42105263] ; [ 8.42105263 21.57894737],0
