Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3.2e-05,17.29886,[ 9 32] ; [22  9],[17.65277778 23.34722222] ; [13.34722222 17.65277778],1
s2,1,0.000336,12.855829,[ 9 33] ; [20 12],[16.45945946 25.54054054] ; [12.54054054 19.45945946],1
s5,1,0.002365,9.242396,[ 3 39] ; [11 20],[ 8.05479452 33.94520548] ; [ 5.94520548 25.05479452],0
s8,1,0.004853,7.933384,[ 7 35] ; [15 17],[12.48648649 29.51351351] ; [ 9.51351351 22.48648649],0
p2,1,0.005148,7.826636,[25 16] ; [28  3],[30.18055556 10.81944444] ; [22.81944444  8.18055556],0
a6,1,0.005844,7.59765,[14 28] ; [21 11],[19.86486486 22.13513514] ; [15.13513514 16.86486486],0
d5,1,0.009962,6.641732,[22 20] ; [26  6],[27.24324324 14.75675676] ; [20.75675676 11.24324324],0
n4,1,0.010148,6.608795,[19 23] ; [24  8],[24.40540541 17.59459459] ; [18.59459459 13.40540541],0
p7,1,0.015725,5.833333,[15 25] ; [20 10],[20. 20.] ; [15. 15.],0
r3,1,0.017238,5.672014,[22 19] ; [25  6],[26.76388889 14.23611111] ; [20.23611111 10.76388889],0
v2,1,0.019006,5.500952,[11 31] ; [16 14],[15.75 26.25] ; [11.25 18.75],0
s7,1,0.02532,5.001854,[13 28] ; [18 13],[17.65277778 23.34722222] ; [13.34722222 17.65277778],0
d3,1,0.034299,4.479714,[18 23] ; [22 10],[22.46575342 18.53424658] ; [17.53424658 14.46575342],0
b5,1,0.060493,3.52381,[17 25] ; [20 12],[21. 21.] ; [16. 16.],0
a5,1,0.122644,2.383227,[20 22] ; [21 11],[23.27027027 18.72972973] ; [17.72972973 14.27027027],0
p11,1,0.13529,2.230732,[26 16] ; [25  7],[28.94594595 13.05405405] ; [22.05405405  9.94594595],0
p9,1,0.15028,2.069407,[32  9] ; [29  3],[34.26027397  6.73972603] ; [26.73972603  5.26027397],0
p1,1,0.170443,1.879041,[ 5 37] ; [ 1 31],[ 3.40540541 38.59459459] ; [ 2.59459459 29.40540541],0
b2,1,0.195431,1.67619,[ 9 13] ; [ 5 17],[ 7. 15.] ; [ 7. 15.],0
b3,1,0.195431,1.67619,[ 9 13] ; [ 5 17],[ 7. 15.] ; [ 7. 15.],0
a8,1,0.205695,1.601471,[ 1 39] ; [ 3 29],[ 2.22222222 37.77777778] ; [ 1.77777778 30.22222222],0
b1,1,0.228054,1.45296,[23 19] ; [13 19],[20.43243243 21.56756757] ; [15.56756757 16.43243243],0
v3,1,0.235538,1.407103,[ 7 35] ; [ 9 23],[ 9.08108108 32.91891892] ; [ 6.91891892 25.08108108],0
u2,1,0.246671,1.342059,[8 9] ; [7 3],[9.44444444 7.55555556] ; [5.55555556 4.44444444],0
r1,1,0.277442,1.179577,[12 30] ; [13 19],[14.18918919 27.81081081] ; [10.81081081 21.18918919],0
n5,1,0.36773,0.811322,[27 15] ; [23  8],[28.76712329 13.23287671] ; [21.23287671  9.76712329],0
s4,1,0.377014,0.780414,[ 7 35] ; [ 8 24],[ 8.51351351 33.48648649] ; [ 6.48648649 25.51351351],0
p6,1,0.387653,0.746292,[ 8 33] ; [ 9 23],[ 9.54794521 31.45205479] ; [ 7.45205479 24.54794521],0
n3,1,0.408942,0.681875,[11  7] ; [6 7],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
d4,1,0.437159,0.60373,[28 14] ; [24  8],[29.51351351 12.48648649] ; [22.48648649  9.51351351],0
