Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.0008,11.24125,[ 3 21] ; [7 3],[ 7.05882353 16.94117647] ; [2.94117647 7.05882353],1
p7,1,0.00103,10.773725,[16 29] ; [12  2],[21.3559322 23.6440678] ; [6.6440678 7.3559322],0
v2,1,0.031215,4.641098,[ 9 35] ; [7 7],[12.13793103 31.86206897] ; [ 3.86206897 10.13793103],0
p10,1,0.03558,4.417111,[14 29] ; [9 5],[17.35087719 25.64912281] ; [5.64912281 8.35087719],0
p2,1,0.058896,3.568197,[23 23] ; [11  3],[26.06666667 19.93333333] ; [7.93333333 6.06666667],0
b1,1,0.058896,3.568197,[23 23] ; [11  3],[26.06666667 19.93333333] ; [7.93333333 6.06666667],0
r3,1,0.075881,3.150989,[27 18] ; [12  2],[29.74576271 15.25423729] ; [9.25423729 4.74576271],0
p3,1,0.078024,3.10559,[ 9 37] ; [6 8],[11.5 34.5] ; [ 3.5 10.5],0
s5,1,0.078062,3.10479,[ 5 41] ; [4 9],[ 7.01694915 38.98305085] ; [ 1.98305085 11.01694915],0
b5,1,0.091047,2.855761,[21 25] ; [10  4],[23.76666667 22.23333333] ; [7.23333333 6.76666667],0
p8,1,0.129338,2.300434,[10 35] ; [6 8],[12.20338983 32.79661017] ; [ 3.79661017 10.20338983],0
n2,1,0.150224,2.069972,[14  8] ; [1 3],[12.69230769  9.30769231] ; [2.30769231 1.69230769],0
d3,1,0.153019,2.041894,[13 33] ; [6 6],[15.06896552 30.93103448] ; [3.93103448 8.06896552],0
n6,1,0.159984,1.974375,[26 19] ; [11  3],[28.22033898 16.77966102] ; [8.77966102 5.22033898],0
a3,1,0.160253,1.971841,[22 22] ; [ 4 10],[19.72413793 24.27586207] ; [6.27586207 7.72413793],0
s7,1,0.184658,1.759731,[13 31] ; [6 6],[14.92857143 29.07142857] ; [4.07142857 7.92857143],0
n5,1,0.21046,1.56826,[30 15] ; [11  2],[31.81034483 13.18965517] ; [9.18965517 3.81034483],0
v4,1,0.216195,1.529448,[31 14] ; [12  2],[32.79661017 12.20338983] ; [10.20338983  3.79661017],0
a6,1,0.22211,1.490683,[21 25] ; [9 5],[23. 23.] ; [7. 7.],0
r2,1,0.262797,1.253965,[36  9] ; [13  1],[37.37288136  7.62711864] ; [11.62711864  2.37288136],0
a5,1,0.280546,1.164441,[24 22] ; [5 9],[22.23333333 23.76666667] ; [6.76666667 7.23333333],0
r4,1,0.318818,0.993789,[26 20] ; [10  4],[27.6 18.4] ; [8.4 5.6],0
a2,1,0.357408,0.846979,[ 3 43] ; [ 2 12],[ 3.83333333 42.16666667] ; [ 1.16666667 12.83333333],0
d1,1,0.364466,0.822446,[ 1 45] ; [ 1 13],[ 1.53333333 44.46666667] ; [ 0.46666667 13.53333333],0
a8,1,0.397513,0.715838,[ 5 36] ; [ 3 11],[ 5.96363636 35.03636364] ; [ 2.03636364 11.96363636],0
p1,1,0.436453,0.60559,[ 7 39] ; [ 1 13],[ 6.13333333 39.86666667] ; [ 1.86666667 12.13333333],0
n3,1,0.458902,0.548571,[11  9] ; [3 1],[11.66666667  8.33333333] ; [2.33333333 1.66666667],0
s2,1,0.481471,0.495529,[15 31] ; [6 8],[16.1 29.9] ; [4.9 9.1],0
u3,1,0.499802,0.455357,[ 9 15] ; [5 5],[ 9.88235294 14.11764706] ; [4.11764706 5.88235294],0
n1,1,0.547435,0.361932,[ 9 13] ; [1 3],[ 8.46153846 13.53846154] ; [1.53846154 2.46153846],0
s6,1,0.586583,0.295712,[17 28] ; [6 7],[17.84482759 27.15517241] ; [5.15517241 7.84482759],0
p9,1,0.589251,0.291516,[21 22] ; [8 6],[21.87719298 21.12280702] ; [7.12280702 6.87719298],0
a4,1,0.63162,0.22987,[ 9 36] ; [ 2 12],[ 8.38983051 36.61016949] ; [ 2.61016949 11.38983051],0
s4,1,0.654868,0.199818,[ 9 37] ; [ 2 12],[ 8.43333333 37.56666667] ; [ 2.56666667 11.43333333],0
p4,1,0.667574,0.184453,[20 26] ; [7 7],[20.7 25.3] ; [6.3 7.7],0
p5,1,0.688144,0.161102,[ 2 43] ; [ 1 13],[ 2.28813559 42.71186441] ; [ 0.71186441 13.28813559],0
b4,1,0.690922,0.158089,[17 29] ; [6 8],[17.63333333 28.36666667] ; [5.36666667 8.63333333],0
a7,1,0.70121,0.147216,[25 20] ; [8 5],[25.60344828 19.39655172] ; [7.39655172 5.60344828],0
r1,1,0.750343,0.101243,[21 23] ; [6 8],[20.48275862 23.51724138] ; [6.51724138 7.48275862],0
s3,1,0.80269,0.062434,[21 24] ; [6 8],[20.59322034 24.40677966] ; [6.40677966 7.59322034],0
d5,1,0.853825,0.033944,[19 27] ; [5 8],[18.71186441 27.28813559] ; [5.28813559 7.71186441],0
s8,1,0.853964,0.033879,[12 34] ; [ 4 10],[12.26666667 33.73333333] ; [ 3.73333333 10.26666667],0
v3,1,0.924557,0.008967,[12 32] ; [ 4 10],[12.13793103 31.86206897] ; [ 3.86206897 10.13793103],0
v1,1,0.932696,0.007132,[17 29] ; [5 9],[16.86666667 29.13333333] ; [5.13333333 8.86666667],0
n4,1,0.964879,0.001939,[28 16] ; [9 5],[28.06896552 15.93103448] ; [8.93103448 5.06896552],0
d2,1,0.980297,0.00061,[10 36] ; [ 3 11],[ 9.96666667 36.03333333] ; [ 3.03333333 10.96666667],0
