Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,73.886375,[133   1] ; [43 39],[109.18518519  24.81481481] ; [66.81481481 15.18518519],1
d5,1,0.0,65.447534,[132   2] ; [45 37],[109.80555556  24.19444444] ; [67.19444444 14.80555556],1
d2,1,0.0,63.078347,[102  32] ; [17 65],[73.82407407 60.17592593] ; [45.17592593 36.82407407],1
d3,1,0.0,56.179723,[114  20] ; [29 53],[88.71296296 45.28703704] ; [54.28703704 27.71296296],1
a5,1,5e-06,20.871166,[113  21] ; [46 36],[98.63888889 35.36111111] ; [60.36111111 21.63888889],1
u1,1,1.1e-05,19.343462,[37 97] ; [ 3 79],[ 24.81481481 109.18518519] ; [15.18518519 66.81481481],1
a4,1,3.3e-05,17.247008,[73 61] ; [21 61],[58.31481481 75.68518519] ; [35.68518519 46.31481481],1
a2,1,4.5e-05,16.653423,[44 90] ; [ 7 75],[ 31.63888889 102.36111111] ; [19.36111111 62.63888889],1
n4,1,0.000202,13.808034,[120  14] ; [57 25],[109.80555556  24.19444444] ; [67.19444444 14.80555556],1
a7,1,0.001079,10.687187,[103  31] ; [45 36],[92.24186047 41.75813953] ; [55.75813953 25.24186047],0
r1,1,0.008473,6.930594,[118  16] ; [60 21],[110.93953488  23.06046512] ; [67.06046512 13.93953488],0
v4,1,0.030742,4.667286,[131   3] ; [74  7],[127.76744186   6.23255814] ; [77.23255814  3.76744186],0
r4,1,0.033017,4.544885,[126   8] ; [70 12],[121.59259259  12.40740741] ; [74.40740741  7.59259259],0
r2,1,0.036279,4.383924,[127   5] ; [72  9],[123.32394366   8.67605634] ; [75.67605634  5.32394366],0
v3,1,0.047287,3.935139,[62 63] ; [28 51],[55.14705882 69.85294118] ; [34.85294118 44.14705882],0
p12,1,0.052835,3.749116,[ 15 118] ; [ 3 78],[ 11.18691589 121.81308411] ; [ 6.81308411 74.18691589],0
a3,1,0.066256,3.37342,[105  29] ; [55 27],[99.25925926 34.74074074] ; [60.74074074 21.25925926],0
r3,1,0.069898,3.285418,[131   3] ; [76  6],[128.41666667   5.58333333] ; [78.58333333  3.41666667],0
n3,1,0.082313,3.018637,[14 12] ; [15  4],[16.75555556  9.24444444] ; [12.24444444  6.75555556],0
u4,1,0.089956,2.875168,[  8 126] ; [ 1 81],[  5.58333333 128.41666667] ; [ 3.41666667 78.58333333],0
a1,1,0.089956,2.875168,[  8 126] ; [ 1 81],[  5.58333333 128.41666667] ; [ 3.41666667 78.58333333],0
n2,1,0.109608,2.559868,[15 11] ; [16  4],[17.52173913  8.47826087] ; [13.47826087  6.52173913],0
a6,1,0.144782,2.126385,[90 44] ; [47 35],[84.99074074 49.00925926] ; [52.00925926 29.99074074],0
s2,1,0.150237,2.069848,[87 46] ; [45 36],[82.03738318 50.96261682] ; [49.96261682 31.03738318],0
u2,1,0.151638,2.055693,[22  7] ; [15 11],[19.50909091  9.49090909] ; [17.49090909  8.50909091],0
p8,1,0.19642,1.668795,[75 56] ; [39 42],[70.44339623 60.55660377] ; [43.55660377 37.44339623],0
p4,1,0.223269,1.483233,[91 43] ; [49 33],[86.85185185 47.14814815] ; [53.14814815 28.85185185],0
v2,1,0.238499,1.389447,[78 51] ; [39 36],[73.98529412 55.01470588] ; [43.01470588 31.98529412],0
n1,1,0.256641,1.286786,[ 8 18] ; [ 9 10],[ 9.82222222 16.17777778] ; [ 7.17777778 11.82222222],0
p6,1,0.27344,1.199407,[56 77] ; [28 53],[52.20560748 80.79439252] ; [31.79439252 49.20560748],0
p3,1,0.285015,1.143022,[77 57] ; [41 41],[73.2037037 60.7962963] ; [44.7962963 37.2037037],0
b4,1,0.360071,0.837646,[82 52] ; [45 37],[78.78703704 55.21296296] ; [48.21296296 33.78703704],0
b5,1,0.370911,0.800609,[85 49] ; [47 35],[81.88888889 52.11111111] ; [50.11111111 31.88888889],0
p9,1,0.391854,0.733181,[117  14] ; [70 12],[115.00938967  15.99061033] ; [71.99061033 10.00938967],0
p1,1,0.405368,0.692345,[  9 125] ; [ 8 73],[ 10.59534884 123.40465116] ; [ 6.40465116 74.59534884],0
p11,1,0.420461,0.649025,[115  19] ; [67 15],[112.90740741  21.09259259] ; [69.09259259 12.90740741],0
u3,1,0.449237,0.572577,[21  8] ; [17 10],[19.67857143  9.32142857] ; [18.32142857  8.67857143],0
p10,1,0.507187,0.439867,[109  22] ; [71 11],[110.70422535  20.29577465] ; [69.29577465 12.70422535],0
p5,1,0.511228,0.431552,[ 11 120] ; [ 9 72],[ 12.35849057 118.64150943] ; [ 7.64150943 73.35849057],0
s3,1,0.516877,0.42012,[92 40] ; [53 28],[89.85915493 42.14084507] ; [55.14084507 25.85915493],0
s7,1,0.526198,0.401729,[88 39] ; [58 21],[90.00970874 36.99029126] ; [55.99029126 23.00970874],0
n5,1,0.568113,0.32585,[105  28] ; [62 20],[103.30697674  29.69302326] ; [63.69302326 18.30697674],0
n6,1,0.622385,0.24253,[116  18] ; [69 13],[114.76851852  19.23148148] ; [70.23148148 11.76851852],0
p7,1,0.723251,0.125399,[83 47] ; [53 27],[84.19047619 45.80952381] ; [51.80952381 28.19047619],0
v1,1,0.730693,0.118476,[66 61] ; [43 36],[67.19902913 59.80097087] ; [41.80097087 37.19902913],0
a8,1,0.840741,0.040379,[ 20 100] ; [12 65],[ 19.49238579 100.50761421] ; [12.50761421 64.49238579],0
s6,1,0.874024,0.025138,[105  29] ; [65 17],[105.46296296  28.53703704] ; [64.53703704 17.46296296],0
b3,1,0.913351,0.01184,[38 60] ; [23 35],[38.32051282 59.67948718] ; [22.67948718 35.32051282],0
b2,1,0.913351,0.01184,[38 60] ; [23 35],[38.32051282 59.67948718] ; [22.67948718 35.32051282],0
s4,1,0.915593,0.011233,[ 17 117] ; [10 72],[ 16.75 117.25] ; [10.25 71.75],0
p2,1,0.943456,0.005031,[112  22] ; [68 13],[112.18604651  21.81395349] ; [67.81395349 13.18604651],0
s1,1,0.969725,0.00144,[  5 128] ; [ 3 79],[  4.94883721 128.05116279] ; [ 3.05116279 78.94883721],0
b1,1,0.974507,0.001021,[52 82] ; [32 50],[52.11111111 81.88888889] ; [31.88888889 50.11111111],0
