Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-05,18.14882,[11  1] ; [ 8 28],[4.75 7.25] ; [14.25 21.75],1
v2,1,0.002303,9.291055,[10  2] ; [11 23],[5.47826087 6.52173913] ; [15.52173913 18.47826087],0
d5,1,0.004294,8.155203,[11  1] ; [16 20],[6.75 5.25] ; [20.25 15.75],0
p5,1,0.008477,6.929846,[5 7] ; [ 3 32],[2.04255319 9.95744681] ; [ 5.95744681 29.04255319],0
d2,1,0.008958,6.83112,[8 4] ; [ 9 27],[4.25 7.75] ; [12.75 23.25],0
v1,1,0.019427,5.462626,[7 5] ; [ 8 28],[3.75 8.25] ; [11.25 24.75],0
v3,1,0.020921,5.333333,[6 6] ; [ 6 30],[3. 9.] ; [ 9. 27.],0
p4,1,0.0455,4.0,[9 3] ; [15 21],[6. 6.] ; [18. 18.],0
a4,1,0.066744,3.361345,[6 6] ; [ 8 28],[3.5 8.5] ; [10.5 25.5],0
p11,1,0.066744,3.361345,[11  1] ; [23 13],[8.5 3.5] ; [25.5 10.5],0
a3,1,0.079349,3.078195,[9 3] ; [16 19],[6.38297872 5.61702128] ; [18.61702128 16.38297872],0
s2,1,0.083369,2.997974,[5 6] ; [ 7 29],[2.80851064 8.19148936] ; [ 9.19148936 26.80851064],0
a2,1,0.085192,2.962963,[ 2 10] ; [ 1 35],[ 0.75 11.25] ; [ 2.25 33.75],0
p2,1,0.085192,2.962963,[10  2] ; [20 16],[7.5 4.5] ; [22.5 13.5],0
a6,1,0.094429,2.797203,[8 4] ; [14 22],[5.5 6.5] ; [16.5 19.5],0
s4,1,0.165165,1.92629,[ 1 11] ; [10 26],[2.75 9.25] ; [ 8.25 27.75],0
p9,1,0.176565,1.826299,[9 1] ; [24 11],[7.33333333 2.66666667] ; [25.66666667  9.33333333],0
p10,1,0.185079,1.756364,[9 2] ; [21 14],[7.17391304 3.82608696] ; [22.82608696 12.17391304],0
p12,1,0.2278,1.454545,[ 2 10] ; [ 2 34],[ 1. 11.] ; [ 3. 33.],0
s6,1,0.239639,1.382716,[7 5] ; [14 22],[5.25 6.75] ; [15.75 20.25],0
p7,1,0.242936,1.363478,[4 8] ; [19 17],[5.75 6.25] ; [17.25 18.75],0
n4,1,0.271315,1.210084,[10  2] ; [24 12],[8.5 3.5] ; [25.5 10.5],0
n3,1,0.313267,1.016852,[1 3] ; [8 7],[1.89473684 2.10526316] ; [7.10526316 7.89473684],0
b1,1,0.315624,1.006993,[5 7] ; [21 15],[6.5 5.5] ; [19.5 16.5],0
s5,1,0.371093,0.8,[3 9] ; [ 5 31],[ 2. 10.] ; [ 6. 30.],0
p1,1,0.413133,0.669767,[ 2 10] ; [ 3 33],[ 1.25 10.75] ; [ 3.75 32.25],0
a8,1,0.445392,0.582353,[1 9] ; [ 7 27],[1.81818182 8.18181818] ; [ 6.18181818 27.81818182],0
p3,1,0.4795,0.5,[5 7] ; [11 25],[4. 8.] ; [12. 24.],0
r4,1,0.573729,0.316484,[4 8] ; [ 9 27],[3.25 8.75] ; [ 9.75 26.25],0
a7,1,0.614295,0.253968,[6 6] ; [15 21],[5.25 6.75] ; [15.75 20.25],0
b4,1,0.616769,0.250435,[7 5] ; [18 18],[6.25 5.75] ; [18.75 17.25],0
a5,1,0.616769,0.250435,[7 5] ; [18 18],[6.25 5.75] ; [18.75 17.25],0
s7,1,0.668952,0.182831,[2 7] ; [10 24],[2.51162791 6.48837209] ; [ 9.48837209 24.51162791],0
b2,1,0.71271,0.135585,[3 5] ; [ 7 16],[2.58064516 5.41935484] ; [ 7.41935484 15.58064516],0
b3,1,0.71271,0.135585,[3 5] ; [ 7 16],[2.58064516 5.41935484] ; [ 7.41935484 15.58064516],0
n2,1,0.718904,0.129545,[2 2] ; [9 6],[2.31578947 1.68421053] ; [8.68421053 6.31578947],0
u1,1,0.730647,0.118519,[ 1 11] ; [ 2 34],[ 0.75 11.25] ; [ 2.25 33.75],0
u3,1,0.759209,0.093954,[1 2] ; [ 5 15],[0.7826087 2.2173913] ; [ 5.2173913 14.7826087],0
p8,1,0.780866,0.07739,[5 7] ; [13 22],[4.59574468 7.40425532] ; [13.40425532 21.59574468],0
s3,1,0.834944,0.043416,[3 8] ; [11 25],[3.27659574 7.72340426] ; [10.72340426 25.27659574],0
v4,1,0.866596,0.028219,[7 5] ; [20 16],[6.75 5.25] ; [20.25 15.75],0
b5,1,0.867518,0.027826,[6 6] ; [19 17],[6.25 5.75] ; [18.75 17.25],0
p6,1,0.879744,0.02289,[3 9] ; [ 8 27],[2.80851064 9.19148936] ; [ 8.19148936 26.80851064],0
r3,1,0.95209,0.00361,[8 4] ; [23 12],[7.91489362 4.08510638] ; [23.08510638 11.91489362],0
s8,1,1.0,0.0,[3 9] ; [ 9 27],[3. 9.] ; [ 9. 27.],0
r1,1,1.0,0.0,[4 8] ; [12 24],[4. 8.] ; [12. 24.],0
