Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.114386,[ 7 25] ; [78 38],[18.37837838 13.62162162] ; [66.62162162 49.37837838],1
v4,1,0.00019,13.92708,[18 14] ; [100  16],[25.51351351  6.48648649] ; [92.48648649 23.51351351],1
s7,1,0.00515,7.825987,[ 4 25] ; [46 64],[10.43165468 18.56834532] ; [39.56834532 70.43165468],0
v1,1,0.019339,5.470608,[ 8 24] ; [54 58],[13.77777778 18.22222222] ; [48.22222222 63.77777778],0
d5,1,0.021818,5.260202,[16 16] ; [83 33],[21.40540541 10.59459459] ; [77.59459459 38.40540541],0
r3,1,0.026982,4.891991,[20 11] ; [96 20],[24.46258503  6.53741497] ; [91.53741497 24.46258503],0
s3,1,0.027742,4.844021,[ 9 23] ; [58 58],[14.48648649 17.51351351] ; [52.51351351 63.48648649],0
p10,1,0.030893,4.6589,[18 13] ; [89 26],[22.71917808  8.28082192] ; [84.28082192 30.71917808],0
p6,1,0.033012,4.545146,[ 5 26] ; [41 72],[ 9.90277778 21.09722222] ; [36.09722222 76.90277778],0
s2,1,0.035457,4.423046,[ 7 25] ; [49 67],[12.10810811 19.89189189] ; [43.89189189 72.10810811],0
v3,1,0.040204,4.209271,[ 5 27] ; [39 74],[ 9.71034483 22.28965517] ; [34.28965517 78.71034483],0
a7,1,0.051698,3.785525,[12 20] ; [66 50],[16.86486486 15.13513514] ; [61.13513514 54.86486486],0
d1,1,0.063281,3.449227,[ 8 24] ; [50 66],[12.54054054 19.45945946] ; [45.45945946 70.54054054],0
a4,1,0.084999,2.966626,[ 7 25] ; [44 71],[11.10204082 20.89795918] ; [39.89795918 75.10204082],0
d3,1,0.089884,2.87645,[11 21] ; [59 56],[15.23809524 16.76190476] ; [54.76190476 60.23809524],0
d4,1,0.116109,2.469044,[17 15] ; [79 37],[20.75675676 11.24324324] ; [75.24324324 40.75675676],0
a8,1,0.13956,2.182799,[ 5 24] ; [  9 103],[ 2.87943262 26.12056738] ; [ 11.12056738 100.87943262],0
p2,1,0.143399,2.141102,[19 13] ; [83 31],[22.35616438  9.64383562] ; [79.64383562 34.35616438],0
a5,1,0.145734,2.116347,[15 17] ; [71 45],[18.59459459 13.40540541] ; [67.40540541 48.59459459],0
a3,1,0.145734,2.116347,[15 17] ; [71 45],[18.59459459 13.40540541] ; [67.40540541 48.59459459],0
a6,1,0.145734,2.116347,[15 17] ; [71 45],[18.59459459 13.40540541] ; [67.40540541 48.59459459],0
s8,1,0.147012,2.102982,[ 6 26] ; [37 79],[ 9.2972973 22.7027027] ; [33.7027027 82.2972973],0
p3,1,0.157034,2.002558,[10 22] ; [52 63],[13.49659864 18.50340136] ; [48.50340136 66.49659864],0
s4,1,0.169688,1.885695,[ 9 23] ; [20 96],[ 6.27027027 25.72972973] ; [22.72972973 93.27027027],0
u3,1,0.172409,1.86187,[ 3 14] ; [16 29],[ 5.20967742 11.79032258] ; [13.79032258 31.20967742],0
u2,1,0.176624,1.825801,[9 8] ; [15 29],[ 6.68852459 10.31147541] ; [17.31147541 26.68852459],0
s5,1,0.191735,1.704233,[ 4 28] ; [25 83],[ 6.62857143 25.37142857] ; [22.37142857 85.62857143],0
s6,1,0.196396,1.668973,[13 19] ; [60 52],[16.22222222 15.77777778] ; [56.77777778 55.22222222],0
b4,1,0.218291,1.515569,[16 16] ; [72 44],[19.02702703 12.97297297] ; [68.97297297 47.02702703],0
n6,1,0.220733,1.499601,[23  9] ; [94 21],[25.46938776  6.53061224] ; [91.53061224 23.46938776],0
a1,1,0.243419,1.360685,[ 1 31] ; [ 11 105],[ 2.59459459 29.40540541] ; [  9.40540541 106.59459459],0
p4,1,0.247802,1.33565,[13 19] ; [60 55],[15.89115646 16.10884354] ; [57.10884354 57.89115646],0
b1,1,0.254187,1.300144,[16 16] ; [45 71],[13.18918919 18.81081081] ; [47.81081081 68.18918919],0
n4,1,0.259624,1.270761,[23  9] ; [94 22],[25.2972973  6.7027027] ; [91.7027027 24.2972973],0
n2,1,0.263696,1.249249,[7 5] ; [30 10],[8.53846154 3.46153846] ; [28.46153846 11.53846154],0
p8,1,0.281149,1.161527,[10 21] ; [49 65],[12.6137931 18.3862069] ; [46.3862069 67.6137931],0
b5,1,0.293692,1.10262,[16 16] ; [70 46],[18.59459459 13.40540541] ; [67.40540541 48.59459459],0
p9,1,0.30534,1.050725,[22  8] ; [94 21],[24.  6.] ; [92. 23.],0
s1,1,0.314847,1.010231,[ 2 30] ; [  3 112],[ 1.08843537 30.91156463] ; [  3.91156463 111.08843537],0
b3,1,0.49092,0.474508,[ 6 15] ; [25 43],[ 7.31460674 13.68539326] ; [23.68539326 44.31460674],0
b2,1,0.49092,0.474508,[ 6 15] ; [25 43],[ 7.31460674 13.68539326] ; [23.68539326 44.31460674],0
p7,1,0.531929,0.390704,[14 18] ; [57 57],[15.56164384 16.43835616] ; [55.43835616 58.56164384],0
u1,1,0.629068,0.233326,[ 1 31] ; [  6 110],[ 1.51351351 30.48648649] ; [  5.48648649 110.51351351],0
p12,1,0.662753,0.190197,[ 2 30] ; [  5 109],[ 1.53424658 30.46575342] ; [  5.46575342 108.53424658],0
d2,1,0.765167,0.089223,[13 19] ; [43 71],[12.2739726 19.7260274] ; [43.7260274 70.2739726],0
v2,1,0.784411,0.074843,[12 19] ; [46 65],[12.66197183 18.33802817] ; [45.33802817 65.66197183],0
p5,1,0.805433,0.060674,[ 4 27] ; [ 13 102],[ 3.60958904 27.39041096] ; [ 13.39041096 101.60958904],0
n1,1,0.85183,0.034888,[5 7] ; [17 21],[5.28 6.72] ; [16.72 21.28],0
p1,1,0.872142,0.025901,[ 3 29] ; [ 12 104],[ 3.24324324 28.75675676] ; [ 11.75675676 104.24324324],0
p11,1,0.874477,0.024956,[23  9] ; [85 31],[23.35135135  8.64864865] ; [84.64864865 31.35135135],0
n3,1,0.956956,0.002913,[8 4] ; [27 13],[8.07692308 3.92307692] ; [26.92307692 13.07692308],0
