Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.982566,[51 16] ; [ 6 19],[41.51086957 25.48913043] ; [15.48913043  9.51086957],1
d3,1,0.002008,9.542035,[54 13] ; [12 13],[48.06521739 18.93478261] ; [17.93478261  7.06521739],0
u1,1,0.002545,9.107693,[24 44] ; [ 1 24],[18.27956989 49.72043011] ; [ 6.72043011 18.27956989],0
r2,1,0.006323,7.455835,[66  1] ; [21  4],[63.35869565  3.64130435] ; [23.64130435  1.35869565],0
r4,1,0.008457,6.933971,[63  5] ; [18  7],[59.22580645  8.77419355] ; [21.77419355  3.22580645],0
r1,1,0.012794,6.197342,[60  7] ; [17  8],[56.07608696 10.92391304] ; [20.92391304  4.07608696],0
d5,1,0.015211,5.89186,[58  9] ; [16  9],[53.89130435 13.10869565] ; [20.10869565  4.89130435],0
v4,1,0.023047,5.16499,[66  2] ; [21  4],[63.61290323  4.38709677] ; [23.38709677  1.61290323],0
a2,1,0.028228,4.814118,[24 44] ; [ 3 22],[19.74193548 48.25806452] ; [ 7.25806452 17.74193548],0
b1,1,0.03356,4.516976,[35 33] ; [19  6],[39.48387097 28.51612903] ; [14.51612903 10.48387097],0
a5,1,0.053836,3.71779,[52 16] ; [14 11],[48.25806452 19.74193548] ; [17.74193548  7.25806452],0
n4,1,0.072251,3.231131,[46 21] ; [21  3],[49.32967033 17.67032967] ; [17.67032967  6.32967033],0
b3,1,0.09539,2.780981,[11 27] ; [8 7],[13.62264151 24.37735849] ; [5.37735849 9.62264151],0
b2,1,0.09539,2.780981,[11 27] ; [8 7],[13.62264151 24.37735849] ; [5.37735849 9.62264151],0
b4,1,0.098672,2.726878,[36 32] ; [18  7],[39.48387097 28.51612903] ; [14.51612903 10.48387097],0
n5,1,0.104106,2.641486,[44 23] ; [20  4],[47.12087912 19.87912088] ; [16.87912088  7.12087912],0
p6,1,0.138559,2.193889,[33 34] ; [ 8 17],[29.85869565 37.14130435] ; [11.14130435 13.85869565],0
p4,1,0.193452,1.691134,[36 32] ; [17  8],[38.75268817 29.24731183] ; [14.24731183 10.75268817],0
p9,1,0.225705,1.467727,[55 11] ; [18  7],[52.94505495 13.05494505] ; [20.05494505  4.94505495],0
s2,1,0.229123,1.446295,[52 16] ; [16  9],[49.72043011 18.27956989] ; [18.27956989  6.72043011],0
d1,1,0.233017,1.422353,[42 26] ; [12 13],[39.48387097 28.51612903] ; [14.51612903 10.48387097],0
s3,1,0.265723,1.238693,[49 19] ; [15 10],[46.79569892 21.20430108] ; [17.20430108  7.79569892],0
p10,1,0.27732,1.180178,[45 21] ; [14 11],[42.79120879 23.20879121] ; [16.20879121  8.79120879],0
d4,1,0.287558,1.131019,[55 12] ; [18  7],[53.16304348 13.83695652] ; [19.83695652  5.16304348],0
u3,1,0.323727,0.97383,[11  6] ; [3 4],[9.91666667 7.08333333] ; [4.08333333 2.91666667],0
n1,1,0.365898,0.817547,[11 12] ; [10  6],[12.38461538 10.61538462] ; [8.61538462 7.38461538],0
b5,1,0.366294,0.816198,[45 23] ; [14 11],[43.13978495 24.86021505] ; [15.86021505  9.13978495],0
p8,1,0.392571,0.730964,[23 44] ; [11 14],[24.76086957 42.23913043] ; [ 9.23913043 15.76086957],0
s8,1,0.442309,0.590285,[44 24] ; [14 11],[42.40860215 25.59139785] ; [15.59139785  9.40860215],0
