Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.4e-05,18.937708,[5 4] ; [392  27],[8.34813084 0.65186916] ; [388.65186916  30.34813084],1
b1,1,0.003139,8.725078,[7 2] ; [131 288],[2.90186916 6.09813084] ; [135.09813084 283.90186916],0
r2,1,0.005016,7.873576,[7 2] ; [398  15],[8.63744076 0.36255924] ; [396.36255924  16.63744076],0
r1,1,0.016768,5.720532,[5 4] ; [354  63],[7.58450704 1.41549296] ; [351.41549296  65.58450704],0
n1,1,0.066375,3.370474,[3 1] ; [24 54],[1.31707317 2.68292683] ; [25.68292683 52.31707317],0
p5,1,0.068662,3.31471,[3 6] ; [ 53 366],[1.17757009 7.82242991] ; [ 54.82242991 364.17757009],0
a6,1,0.095338,2.781842,[4 5] ; [293 124],[6.27464789 2.72535211] ; [290.72535211 126.27464789],0
p1,1,0.121069,2.403436,[2 7] ; [ 33 385],[0.73770492 8.26229508] ; [ 34.26229508 383.73770492],0
p6,1,0.124753,2.356616,[6 3] ; [170 243],[3.7535545 5.2464455] ; [172.2464455 240.7535545],0
p11,1,0.12526,2.350291,[6 3] ; [357  62],[7.63317757 1.36682243] ; [355.36682243  63.63317757],0
s3,1,0.143356,2.141565,[3 6] ; [239 175],[5.14893617 3.85106383] ; [236.85106383 177.14893617],0
v3,1,0.154612,2.026149,[3 6] ; [233 175],[5.09352518 3.90647482] ; [230.90647482 177.09352518],0
a7,1,0.155879,2.013761,[5 4] ; [318 100],[6.80796253 2.19203747] ; [316.19203747 101.80796253],0
n3,1,0.164649,1.931001,[2 2] ; [62 16],[3.12195122 0.87804878] ; [60.87804878 17.12195122],0
p8,1,0.206034,1.599081,[7 2] ; [233 178],[5.14285714 3.85714286] ; [234.85714286 176.14285714],0
n4,1,0.287011,1.133588,[6 3] ; [338  80],[7.25058548 1.74941452] ; [336.74941452  81.25058548],0
p12,1,0.291843,1.111101,[2 7] ; [ 46 372],[1.0117096 7.9882904] ; [ 46.9882904 371.0117096],0
s8,1,0.301983,1.065415,[3 6] ; [211 205],[4.53176471 4.46823529] ; [209.46823529 206.53176471],0
s6,1,0.30986,1.031271,[5 4] ; [293 119],[6.37054632 2.62945368] ; [291.62945368 120.37054632],0
a5,1,0.316417,1.003698,[6 3] ; [336  83],[7.19158879 1.80841121] ; [334.80841121  84.19158879],0
n6,1,0.343802,0.896203,[7 2] ; [365  49],[7.91489362 1.08510638] ; [364.08510638  49.91489362],0
p4,1,0.404114,0.696051,[7 2] ; [267 148],[5.81603774 3.18396226] ; [268.18396226 146.81603774],0
d1,1,0.42291,0.642215,[7 2] ; [272 147],[5.86682243 3.13317757] ; [273.13317757 145.86682243],0
v1,1,0.440775,0.594263,[5 4] ; [277 132],[6.07177033 2.92822967] ; [275.92822967 133.07177033],0
n5,1,0.470869,0.519935,[8 1] ; [328  87],[7.13207547 1.86792453] ; [328.86792453  86.13207547],0
d4,1,0.491642,0.472931,[7 2] ; [359  59],[7.71428571 1.28571429] ; [358.28571429  59.71428571],0
s7,1,0.514901,0.424095,[4 5] ; [222 179],[4.96097561 4.03902439] ; [221.03902439 179.96097561],0
p3,1,0.546164,0.364235,[6 3] ; [236 181],[5.11267606 3.88732394] ; [236.88732394 180.11267606],0
s4,1,0.557042,0.344852,[2 7] ; [ 63 354],[1.37323944 7.62676056] ; [ 63.62676056 353.37323944],0
b3,1,0.562998,0.33454,[2 5] ; [102 157],[2.73684211 4.26315789] ; [101.26315789 157.73684211],0
b2,1,0.562998,0.33454,[2 5] ; [102 157],[2.73684211 4.26315789] ; [101.26315789 157.73684211],0
a4,1,0.616404,0.250954,[5 4] ; [197 221],[4.25761124 4.74238876] ; [197.74238876 220.25761124],0
b5,1,0.651334,0.204222,[6 3] ; [248 171],[5.3411215 3.6588785] ; [248.6588785 170.3411215],0
s5,1,0.685059,0.164487,[4 5] ; [152 250],[3.41605839 5.58394161] ; [152.58394161 249.41605839],0
d3,1,0.686702,0.162679,[6 3] ; [304 114],[6.53395785 2.46604215] ; [303.46604215 114.53395785],0
p10,1,0.72619,0.122639,[8 1] ; [384  33],[8.28169014 0.71830986] ; [383.71830986  33.28169014],0
d5,1,0.783255,0.075669,[8 1] ; [358  60],[7.71428571 1.28571429] ; [358.28571429  59.71428571],0
a2,1,0.797313,0.065959,[2 7] ; [109 310],[2.33411215 6.66588785] ; [108.66588785 310.33411215],0
u3,1,0.799199,0.064711,[1 1] ; [56 39],[1.17525773 0.82474227] ; [55.82474227 39.17525773],0
p7,1,0.821623,0.050831,[6 3] ; [289 123],[6.3064133 2.6935867] ; [288.6935867 123.3064133],0
p2,1,0.857172,0.032391,[8 1] ; [363  55],[7.81967213 1.18032787] ; [363.18032787  54.81967213],0
b4,1,0.86055,0.030861,[5 4] ; [245 174],[5.25700935 3.74299065] ; [244.74299065 174.25700935],0
d2,1,0.861997,0.030218,[5 4] ; [220 198],[4.74238876 4.25761124] ; [220.25761124 197.74238876],0
u2,1,0.91765,0.010691,[1 1] ; [51 44],[1.07216495 0.92783505] ; [50.92783505 44.07216495],0
u1,1,0.929199,0.007895,[2 7] ; [ 88 331],[1.89252336 7.10747664] ; [ 88.10747664 330.89252336],0
s2,1,0.935475,0.006554,[5 4] ; [226 191],[4.88028169 4.11971831] ; [226.11971831 190.88028169],0
a3,1,0.984921,0.000357,[7 2] ; [324  94],[6.9765808 2.0234192] ; [324.0234192  93.9765808],0
