Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,85.49647,[24 96] ; [251 117],[67.62295082 52.37704918] ; [207.37704918 160.62295082],1
s3,1,0.0,63.162576,[35 85] ; [256 109],[72. 48.] ; [219. 146.],1
s7,1,0.0,43.038491,[35 81] ; [227 122],[65.35913978 50.64086022] ; [196.64086022 152.35913978],1
s8,1,0.0,34.730775,[34 87] ; [217 151],[62.10838446 58.89161554] ; [188.89161554 179.10838446],1
s5,1,0.0,32.886713,[20 99] ; [167 193],[46.45720251 72.54279749] ; [140.54279749 219.45720251],1
s4,1,1.6e-05,18.644827,[  5 116] ; [ 77 288],[ 20.41563786 100.58436214] ; [ 61.58436214 303.41563786],1
p5,1,0.003823,8.366256,[  9 110] ; [ 69 299],[19.05954825 99.94045175] ; [ 58.94045175 309.05954825],0
d4,1,0.004432,8.097806,[93 28] ; [323  46],[102.72653061  18.27346939] ; [313.27346939  55.72653061],0
d1,1,0.010459,6.55496,[68 53] ; [255 115],[79.598778 41.401222] ; [243.401222 126.598778],0
u1,1,0.011656,6.362417,[ 16 105] ; [ 89 281],[25.87576375 95.12423625] ; [ 79.12423625 290.87576375],0
p9,1,0.013179,6.144883,[99 22] ; [332  36],[106.64826176  14.35173824] ; [324.35173824  43.64826176],0
p6,1,0.014708,5.951149,[48 73] ; [192 174],[59.63039014 61.36960986] ; [180.36960986 185.63039014],0
n5,1,0.019384,5.4665,[89 32] ; [307  62],[97.7877551 23.2122449] ; [298.2122449  70.7877551],0
d3,1,0.022854,5.179568,[81 40] ; [286  84],[90.44195519 30.55804481] ; [276.55804481  93.44195519],0
p12,1,0.033163,4.537342,[  6 115] ; [ 43 326],[ 12.1 108.9] ; [ 36.9 332.1],0
d2,1,0.036682,4.365114,[55 66] ; [208 161],[64.94489796 56.05510204] ; [198.05510204 170.94489796],0
p11,1,0.047486,3.928098,[107  14] ; [298  72],[99.80651731 21.19348269] ; [305.19348269  64.80651731],0
n6,1,0.049365,3.862883,[100  21] ; [329  39],[106.15337423  14.84662577] ; [322.84662577  45.15337423],0
a1,1,0.093244,2.817459,[  3 118] ; [ 24 346],[  6.65376782 114.34623218] ; [ 20.34623218 349.65376782],0
u4,1,0.100815,2.692602,[  1 120] ; [ 14 356],[  3.69653768 117.30346232] ; [ 11.30346232 358.69653768],0
u3,1,0.103045,2.657774,[20 17] ; [63 28],[23.9921875 13.0078125] ; [59.0078125 31.9921875],0
a2,1,0.122994,2.378773,[26 95] ; [106 264],[32.52953157 88.47046843] ; [ 99.47046843 270.52953157],0
d5,1,0.143399,2.141098,[98 23] ; [319  50],[102.97346939  18.02653061] ; [314.02653061  54.97346939],0
u2,1,0.155242,2.019968,[19 17] ; [61 31],[22.5 13.5] ; [57.5 34.5],0
p10,1,0.15536,2.018818,[100  21] ; [322  45],[104.6352459  16.3647541] ; [317.3647541  49.6352459],0
n3,1,0.160244,1.971926,[17  2] ; [49 17],[14.75294118  4.24705882] ; [51.24705882 14.75294118],0
r1,1,0.167651,1.90382,[101  20] ; [325  43],[105.41104294  15.58895706] ; [320.58895706  47.41104294],0
b4,1,0.203668,1.615873,[66 55] ; [226 144],[71.9592668 49.0407332] ; [220.0407332 149.9592668],0
a4,1,0.236607,1.400699,[53 68] ; [184 184],[58.64417178 62.35582822] ; [178.35582822 189.64417178],0
a6,1,0.236912,1.398876,[89 32] ; [251 119],[83.78818737 37.21181263] ; [256.21181263 113.78818737],0
r2,1,0.239106,1.385859,[115   5] ; [360   8],[116.80327869   3.19672131] ; [358.19672131   9.80327869],0
b2,1,0.259095,1.273585,[36 43] ; [ 89 143],[31.75241158 47.24758842] ; [ 93.24758842 138.75241158],0
b3,1,0.259095,1.273585,[36 43] ; [ 89 143],[31.75241158 47.24758842] ; [ 93.24758842 138.75241158],0
n4,1,0.267225,1.230936,[96 25] ; [309  60],[100.01020408  20.98979592] ; [304.98979592  64.01020408],0
a3,1,0.293026,1.105665,[84 36] ; [277  93],[88.40816327 31.59183673] ; [272.59183673  97.40816327],0
v4,1,0.34169,0.904081,[120   1] ; [362   8],[118.78207739   2.21792261] ; [363.21792261   6.78207739],0
r3,1,0.420011,0.650284,[120   1] ; [362   7],[119.0244898   1.9755102] ; [362.9755102   6.0244898],0
a7,1,0.434652,0.61036,[96 25] ; [280  89],[92.84897959 28.15102041] ; [283.15102041  85.84897959],0
p3,1,0.492135,0.471856,[79 41] ; [256 114],[82.04081633 37.95918367] ; [252.95918367 117.04081633],0
a5,1,0.504452,0.445558,[92 29] ; [292  78],[94.63136456 26.36863544] ; [289.36863544  80.63136456],0
n2,1,0.523251,0.40748,[14  4] ; [47 20],[12.91764706  5.08235294] ; [48.08235294 18.91764706],0
n1,1,0.590343,0.28981,[ 6 12] ; [27 40],[ 6.98823529 11.01176471] ; [26.01176471 40.98823529],0
v2,1,0.634116,0.226521,[72 45] ; [212 147],[69.80672269 47.19327731] ; [214.19327731 144.80672269],0
v3,1,0.637588,0.22191,[52 62] ; [153 202],[49.82942431 64.17057569] ; [155.17057569 199.82942431],0
a8,1,0.706808,0.141487,[13 91] ; [ 47 290],[14.14965986 89.85034014] ; [ 45.85034014 291.14965986],0
p1,1,0.772369,0.083682,[ 14 107] ; [ 39 328],[ 13.14139344 107.85860656] ; [ 39.85860656 327.14139344],0
b1,1,0.774477,0.082096,[45 76] ; [143 227],[46.3299389 74.6700611] ; [141.6700611 228.3299389],0
s1,1,0.800654,0.063756,[  4 116] ; [ 14 351],[  4.45360825 115.54639175] ; [ 13.54639175 351.45360825],0
p7,1,0.836168,0.042765,[90 31] ; [268  97],[89.13168724 31.86831276] ; [268.86831276  96.13168724],0
b5,1,0.877207,0.023874,[70 51] ; [217 153],[70.72708758 50.27291242] ; [216.27291242 153.72708758],0
p8,1,0.935875,0.006473,[77 43] ; [234 133],[76.63244353 43.36755647] ; [234.36755647 132.63244353],0
v1,1,0.940663,0.005541,[71 47] ; [218 142],[71.34309623 46.65690377] ; [217.65690377 142.34309623],0
p2,1,0.965275,0.001895,[109  12] ; [331  37],[108.87525562  12.12474438] ; [331.12474438  36.87525562],0
