Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000919,10.984576,[8 9] ; [68 13],[13.18367347  3.81632653] ; [62.81632653 18.18367347],1
d2,1,0.001795,9.7484,[ 3 14] ; [48 33],[8.84693878 8.15306122] ; [42.15306122 38.84693878],0
r2,1,0.002575,9.086868,[11  5] ; [76  5],[14.35051546  1.64948454] ; [72.64948454  8.35051546],0
n5,1,0.02427,5.075226,[13  4] ; [76  5],[15.43877551  1.56122449] ; [73.56122449  7.43877551],0
s3,1,0.045292,4.007744,[ 7 10] ; [53 26],[10.625  6.375] ; [49.375 29.625],0
p1,1,0.063647,3.439706,[ 2 15] ; [28 53],[ 5.20408163 11.79591837] ; [24.79591837 56.20408163],0
u2,1,0.068622,3.31567,[7 2] ; [5 8],[4.90909091 4.09090909] ; [7.09090909 5.90909091],0
a4,1,0.076517,3.137376,[ 4 13] ; [38 43],[7.28571429 9.71428571] ; [34.71428571 46.28571429],0
a5,1,0.078438,3.096983,[10  7] ; [64 17],[12.83673469  4.16326531] ; [61.16326531 19.83673469],0
n1,1,0.088676,2.898254,[1 4] ; [9 5],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
s7,1,0.089593,2.881667,[8 7] ; [57 19],[10.71428571  4.28571429] ; [54.28571429 21.71428571],0
p6,1,0.089686,2.88,[7 9] ; [53 27],[10.  6.] ; [50. 30.],0
s8,1,0.09215,2.836408,[ 7 10] ; [50 29],[10.09375  6.90625] ; [46.90625 32.09375],0
n4,1,0.116216,2.467595,[14  3] ; [76  5],[15.6122449  1.3877551] ; [74.3877551  6.6122449],0
r4,1,0.116216,2.467595,[14  3] ; [76  5],[15.6122449  1.3877551] ; [74.3877551  6.6122449],0
v3,1,0.123369,2.374023,[ 7 10] ; [48 30],[9.84210526 7.15789474] ; [45.15789474 32.84210526],0
p7,1,0.140113,2.176722,[11  6] ; [64 15],[13.28125  3.71875] ; [61.71875 17.28125],0
d5,1,0.16266,1.949321,[11  6] ; [65 16],[13.18367347  3.81632653] ; [62.81632653 18.18367347],0
a1,1,0.169958,1.883311,[ 4 13] ; [ 9 72],[ 2.25510204 14.74489796] ; [10.74489796 70.25510204],0
p4,1,0.177128,1.821559,[13  4] ; [71  9],[14.72164948  2.27835052] ; [69.27835052 10.72164948],0
d1,1,0.22324,1.483419,[8 9] ; [51 30],[10.23469388  6.76530612] ; [48.76530612 32.23469388],0
s2,1,0.280383,1.165233,[8 9] ; [49 31],[9.98969072 7.01030928] ; [47.01030928 32.98969072],0
s4,1,0.363099,0.827146,[ 1 16] ; [11 68],[ 2.125 14.875] ; [ 9.875 69.125],0
n2,1,0.371093,0.8,[3 2] ; [12  3],[3.75 1.25] ; [11.25  3.75],0
p3,1,0.377586,0.778548,[12  5] ; [65 16],[13.35714286  3.64285714] ; [63.64285714 17.35714286],0
b2,1,0.402282,0.701494,[5 3] ; [29 33],[3.88571429 4.11428571] ; [30.11428571 31.88571429],0
b3,1,0.402282,0.701494,[5 3] ; [29 33],[3.88571429 4.11428571] ; [30.11428571 31.88571429],0
s5,1,0.501559,0.451636,[9 6] ; [51 23],[10.11235955  4.88764045] ; [49.88764045 24.11235955],0
d4,1,0.503755,0.447017,[15  2] ; [66 15],[14.05102041  2.94897959] ; [66.94897959 14.05102041],0
d3,1,0.536808,0.381488,[10  7] ; [54 27],[11.10204082  5.89795918] ; [52.89795918 28.10204082],0
b1,1,0.5475,0.361815,[ 6 11] ; [35 46],[7.1122449 9.8877551] ; [33.8877551 47.1122449],0
a6,1,0.67605,0.174607,[10  7] ; [52 29],[10.75510204  6.24489796] ; [51.24489796 29.75510204],0
b4,1,0.700195,0.148269,[9 8] ; [47 34],[9.71428571 7.28571429] ; [46.28571429 34.71428571],0
s1,1,0.705578,0.142734,[ 1 16] ; [ 7 74],[ 1.3877551 15.6122449] ; [ 6.6122449 74.3877551],0
p11,1,0.743871,0.106754,[15  2] ; [69 12],[14.57142857  2.42857143] ; [69.42857143 11.57142857],0
s6,1,0.774336,0.082201,[14  3] ; [63 11],[14.38461538  2.61538462] ; [62.61538462 11.38461538],0
p12,1,0.781866,0.076667,[ 4 12] ; [23 58],[ 4.45360825 11.54639175] ; [22.54639175 58.45360825],0
v2,1,0.794118,0.068104,[9 8] ; [44 34],[9.48421053 7.51578947] ; [43.51578947 34.48421053],0
b5,1,0.80502,0.060938,[ 7 10] ; [36 45],[7.45918367 9.54081633] ; [35.54081633 45.45918367],0
p8,1,0.824318,0.049282,[14  3] ; [64 16],[13.67010309  3.32989691] ; [64.32989691 15.67010309],0
v1,1,0.897158,0.016706,[11  5] ; [53 26],[10.77894737  5.22105263] ; [53.22105263 25.77894737],0
u3,1,0.936898,0.006268,[5 4] ; [7 6],[4.90909091 4.09090909] ; [7.09090909 5.90909091],0
p2,1,0.938136,0.006024,[15  2] ; [72  9],[15.09183673  1.90816327] ; [71.90816327  9.09183673],0
a7,1,0.985726,0.00032,[12  5] ; [57 24],[11.96938776  5.03061224] ; [57.03061224 23.96938776],0
n3,1,1.0,0.0,[3 2] ; [9 6],[3. 2.] ; [9. 6.],0
