Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.024693,5.045292,[38 13] ; [11 12],[33.77027027 17.22972973] ; [15.22972973  7.77027027],0
r2,1,0.036809,4.359244,[46  4] ; [17  6],[43.15068493  6.84931507] ; [19.84931507  3.15068493],0
n5,1,0.05549,3.667295,[30 21] ; [ 8 15],[26.18918919 24.81081081] ; [11.81081081 11.18918919],0
v4,1,0.090515,2.865188,[47  4] ; [18  5],[44.7972973  6.2027027] ; [20.2027027  2.7972973],0
p11,1,0.11632,2.466181,[30 21] ; [ 9 14],[26.87837838 24.12162162] ; [12.12162162 10.87837838],0
a5,1,0.121026,2.403991,[28 23] ; [17  6],[31.01351351 19.98648649] ; [13.98648649  9.01351351],0
a7,1,0.135347,2.230074,[37 13] ; [13 10],[34.24657534 15.75342466] ; [15.75342466  7.24657534],0
b5,1,0.171057,1.873657,[33 18] ; [11 12],[30.32432432 20.67567568] ; [13.67567568  9.32432432],0
s4,1,0.302301,1.064017,[ 6 44] ; [ 1 22],[ 4.79452055 45.20547945] ; [ 2.20547945 20.79452055],0
a3,1,0.377875,0.777605,[30 21] ; [16  7],[31.7027027 19.2972973] ; [14.2972973  8.7027027],0
p4,1,0.38711,0.748,[25 25] ; [ 9 14],[23.28767123 26.71232877] ; [10.71232877 12.28767123],0
p2,1,0.391313,0.734858,[32 19] ; [12 11],[30.32432432 20.67567568] ; [13.67567568  9.32432432],0
p10,1,0.394913,0.723761,[16 35] ; [ 5 18],[14.47297297 36.52702703] ; [ 6.52702703 16.47297297],0
s3,1,0.427966,0.628336,[19 31] ; [11 12],[20.54794521 29.45205479] ; [ 9.45205479 13.54794521],0
a4,1,0.433587,0.613197,[18 33] ; [ 6 17],[16.54054054 34.45945946] ; [ 7.45945946 15.54054054],0
d5,1,0.443362,0.587567,[38 13] ; [19  4],[39.28378378 11.71621622] ; [17.71621622  5.28378378],0
p6,1,0.456057,0.555556,[10 39] ; [ 6 15],[11.2 37.8] ; [ 4.8 16.2],0
s2,1,0.472832,0.51535,[17 32] ; [10 13],[18.375 30.625] ; [ 8.625 14.375],0
b3,1,0.497224,0.460857,[ 9 23] ; [5 8],[ 9.95555556 22.04444444] ; [4.04444444 8.95555556],0
b2,1,0.497224,0.460857,[ 9 23] ; [5 8],[ 9.95555556 22.04444444] ; [4.04444444 8.95555556],0
s7,1,0.509651,0.434783,[18 31] ; [ 6 15],[16.8 32.2] ; [ 7.2 13.8],0
p3,1,0.535111,0.384677,[17 34] ; [ 9 13],[18.16438356 32.83561644] ; [ 7.83561644 14.16438356],0
v1,1,0.550111,0.357119,[26 25] ; [10 13],[24.81081081 26.18918919] ; [11.18918919 11.81081081],0
s5,1,0.556341,0.346079,[12 37] ; [ 4 18],[11.04225352 37.95774648] ; [ 4.95774648 17.04225352],0
d3,1,0.569501,0.323518,[32 19] ; [16  7],[33.08108108 17.91891892] ; [14.91891892  8.08108108],0
v3,1,0.578035,0.309421,[24 26] ; [ 9 13],[22.91666667 27.08333333] ; [10.08333333 11.91666667],0
p8,1,0.611764,0.257614,[19 32] ; [10 13],[19.98648649 31.01351351] ; [ 9.01351351 13.98648649],0
b4,1,0.644069,0.21346,[36 15] ; [15  8],[35.14864865 15.85135135] ; [15.85135135  7.14864865],0
p1,1,0.655422,0.199133,[ 3 48] ; [ 2 21],[ 3.44594595 47.55405405] ; [ 1.55405405 21.44594595],0
r4,1,0.65756,0.196502,[38 13] ; [16  7],[37.21621622 13.78378378] ; [16.78378378  6.21621622],0
n1,1,0.658273,0.195629,[5 8] ; [2 5],[4.55 8.45] ; [2.45 4.55],0
u2,1,0.658387,0.195489,[ 9 10] ; [4 3],[9.5 9.5] ; [3.5 3.5],0
n2,1,0.675706,0.175,[9 3] ; [6 3],[8.57142857 3.42857143] ; [6.42857143 2.57142857],0
s8,1,0.731527,0.117714,[15 35] ; [ 6 17],[14.38356164 35.61643836] ; [ 6.61643836 16.38356164],0
s6,1,0.740372,0.1098,[24 26] ; [12 11],[24.65753425 25.34246575] ; [11.34246575 11.65753425],0
d2,1,0.760271,0.093101,[22 28] ; [11 12],[22.60273973 27.39726027] ; [10.39726027 12.60273973],0
p7,1,0.800456,0.063886,[25 24] ; [11 12],[24.5 24.5] ; [11.5 11.5],0
s1,1,0.817855,0.05304,[ 3 48] ; [ 1 21],[ 2.79452055 48.20547945] ; [ 1.20547945 20.79452055],0
d1,1,0.827472,0.0475,[28 23] ; [12 11],[27.56756757 23.43243243] ; [12.43243243 10.56756757],0
a6,1,0.837985,0.041809,[32 19] ; [15  8],[32.39189189 18.60810811] ; [14.60810811  8.39189189],0
r3,1,0.860431,0.030915,[45  5] ; [21  2],[45.20547945  4.79452055] ; [20.79452055  2.20547945],0
d4,1,0.881556,0.0222,[42  8] ; [19  4],[41.78082192  8.21917808] ; [19.21917808  3.78082192],0
n3,1,0.898977,0.016117,[9 4] ; [6 3],[8.86363636 4.13636364] ; [6.13636364 2.86363636],0
r1,1,0.956626,0.002958,[38 13] ; [17  6],[37.90540541 13.09459459] ; [17.09459459  5.90540541],0
b1,1,0.978137,0.000751,[29 22] ; [13 10],[28.94594595 22.05405405] ; [13.05405405  9.94594595],0
a2,1,0.978653,0.000716,[ 9 42] ; [ 4 19],[ 8.95945946 42.04054054] ; [ 4.04054054 18.95945946],0
u3,1,1.0,0.0,[ 9 12] ; [3 4],[ 9. 12.] ; [3. 4.],0
a8,1,1.0,0.0,[ 4 38] ; [ 2 19],[ 4. 38.] ; [ 2. 19.],0
