Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.008091,7.013299,[1 2] ; [ 3 95],[0.11881188 2.88118812] ; [ 3.88118812 94.11881188],0
a4,1,0.0418,4.143275,[2 1] ; [18 78],[0.60606061 2.39393939] ; [19.39393939 76.60606061],0
a2,1,0.098007,2.737679,[1 2] ; [ 7 91],[0.23762376 2.76237624] ; [ 7.76237624 90.23762376],0
p6,1,0.144335,2.131118,[2 1] ; [27 70],[0.87 2.13] ; [28.13 68.87],0
p5,1,0.28765,1.130587,[1 2] ; [12 85],[0.39 2.61] ; [12.61 84.39],0
a8,1,0.36811,0.810036,[1 2] ; [13 77],[0.4516129 2.5483871] ; [13.5483871 76.4516129],0
b4,1,0.412639,0.671186,[1 2] ; [56 42],[1.69306931 1.30693069] ; [55.30693069 42.69306931],0
p3,1,0.434051,0.61196,[2 1] ; [43 55],[1.33663366 1.66336634] ; [43.66336634 54.33663366],0
p8,1,0.465856,0.531788,[2 1] ; [44 53],[1.38 1.62] ; [44.62 52.38],0
v1,1,0.474406,0.511695,[2 1] ; [43 51],[1.39175258 1.60824742] ; [43.60824742 50.39175258],0
b3,1,0.541572,0.372635,[1 2] ; [11 47],[0.59016393 2.40983607] ; [11.40983607 46.59016393],0
b2,1,0.541572,0.372635,[1 2] ; [11 47],[0.59016393 2.40983607] ; [11.40983607 46.59016393],0
s8,1,0.546136,0.364284,[2 1] ; [48 50],[1.48514851 1.51485149] ; [48.51485149 49.48514851],0
n5,1,0.557734,0.343643,[2 1] ; [78 19],[2.4 0.6] ; [77.6 19.4],0
p4,1,0.641664,0.216572,[2 1] ; [52 46],[1.6039604 1.3960396] ; [52.3960396 45.6039604],0
v2,1,0.699879,0.148598,[1 2] ; [41 51],[1.32631579 1.67368421] ; [40.67368421 51.32631579],0
s4,1,0.735025,0.114548,[1 2] ; [24 73],[0.75 2.25] ; [24.25 72.75],0
b5,1,0.742441,0.107993,[2 1] ; [56 42],[1.72277228 1.27722772] ; [56.27722772 41.72277228],0
p7,1,0.772923,0.083263,[2 1] ; [56 40],[1.75757576 1.24242424] ; [56.24242424 39.75757576],0
a7,1,0.821631,0.050827,[2 1] ; [59 39],[1.81188119 1.18811881] ; [59.18811881 38.81188119],0
b1,1,0.848751,0.036371,[1 2] ; [38 60],[1.15841584 1.84158416] ; [37.84158416 60.15841584],0
a6,1,0.876247,0.024251,[2 1] ; [61 37],[1.87128713 1.12871287] ; [61.12871287 36.87128713],0
s3,1,0.890502,0.018953,[2 1] ; [59 35],[1.88659794 1.11340206] ; [59.11340206 34.88659794],0
s5,1,0.979641,0.000651,[1 2] ; [31 64],[0.97959184 2.02040816] ; [31.02040816 63.97959184],0
