Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,78.025727,[44 71] ; [303  71],[81.60531697 33.39468303] ; [265.39468303 108.60531697],1
d3,1,0.0,41.698618,[57 58] ; [299  74],[83.89344262 31.10655738] ; [272.10655738 100.89344262],1
a2,1,4e-06,21.413694,[  9 106] ; [108 266],[27.51533742 87.48466258] ; [ 89.48466258 284.51533742],1
r4,1,9.1e-05,15.305411,[86 29] ; [334  40],[98.77300613 16.22699387] ; [321.22699387  52.77300613],1
u1,1,0.000377,12.64509,[  7 108] ; [ 76 298],[19.5194274 95.4805726] ; [ 63.4805726 310.5194274],1
r3,1,0.002153,9.414691,[100  15] ; [355  18],[107.22336066   7.77663934] ; [347.77663934  25.22336066],0
r1,1,0.003647,8.451687,[79 36] ; [303  69],[90.20533881 24.79466119] ; [291.79466119  80.20533881],0
b5,1,0.006041,7.538169,[61 54] ; [251 123],[73.37423313 41.62576687] ; [238.62576687 135.37423313],0
s7,1,0.006674,7.358622,[55 53] ; [129 226],[42.92008639 65.07991361] ; [141.07991361 213.92008639],0
b1,1,0.008344,6.958214,[56 59] ; [131 243],[43.97750511 71.02249489] ; [143.02249489 230.97750511],0
b4,1,0.014828,5.936764,[56 59] ; [230 144],[67.2597137 47.7402863] ; [218.7402863 155.2597137],0
n1,1,0.021666,5.272442,[17 19] ; [22 63],[11.60330579 24.39669421] ; [27.39669421 57.60330579],0
d1,1,0.024886,5.031833,[67 48] ; [260 114],[76.90184049 38.09815951] ; [250.09815951 123.90184049],0
p2,1,0.04195,4.137219,[82 29] ; [308  65],[89.44214876 21.55785124] ; [300.55785124  72.44214876],0
u3,1,0.06106,3.508347,[12 17] ; [68 44],[16.45390071 12.54609929] ; [63.54609929 48.45390071],0
d4,1,0.064096,3.428088,[93 22] ; [328  46],[99.00817996 15.99182004] ; [321.99182004  52.00817996],0
v4,1,0.088198,2.906959,[102  12] ; [352  22],[106.05737705   7.94262295] ; [347.94262295  26.05737705],0
s8,1,0.094646,2.793516,[49 66] ; [127 246],[41.47540984 73.52459016] ; [134.52459016 238.47540984],0
p9,1,0.097666,2.743244,[83 30] ; [297  71],[89.27234927 23.72765073] ; [290.72765073  77.27234927],0
v3,1,0.101576,2.680627,[48 62] ; [125 232],[40.74946467 69.25053533] ; [132.25053533 224.74946467],0
v2,1,0.109358,2.563481,[54 57] ; [204 152],[61.32334047 49.67665953] ; [196.67665953 159.32334047],0
p8,1,0.115238,2.480873,[45 66] ; [181 188],[52.2625 58.7375] ; [173.7375 195.2625],0
b3,1,0.12078,2.407173,[31 44] ; [ 68 148],[25.51546392 49.48453608] ; [ 73.48453608 142.51546392],0
b2,1,0.12078,2.407173,[31 44] ; [ 68 148],[25.51546392 49.48453608] ; [ 73.48453608 142.51546392],0
p5,1,0.122946,2.379381,[  9 104] ; [ 16 356],[  5.82474227 107.17525773] ; [ 19.17525773 352.82474227],0
p10,1,0.128163,2.314615,[79 34] ; [284  85],[85.10165975 27.89834025] ; [277.89834025  91.10165975],0
p4,1,0.129792,2.294993,[55 57] ; [214 160],[61.99176955 50.00823045] ; [207.00823045 166.99176955],0
p1,1,0.14043,2.173238,[  3 111] ; [ 23 349],[  6.09876543 107.90123457] ; [ 19.90123457 352.09876543],0
n5,1,0.172814,1.858361,[89 26] ; [263 108],[83.29218107 31.70781893] ; [268.70781893 102.29218107],0
r2,1,0.182963,1.773393,[100  11] ; [347  23],[103.15384615   7.84615385] ; [343.84615385  26.15384615],0
n4,1,0.18565,1.751802,[93 22] ; [280  94],[87.7198364 27.2801636] ; [285.2801636  88.7198364],0
s1,1,0.197349,1.661885,[  5 109] ; [  8 363],[  3.0556701 110.9443299] ; [  9.9443299 361.0556701],0
p3,1,0.21107,1.56407,[45 68] ; [173 199],[50.79175258 62.20824742] ; [167.20824742 204.79175258],0
a8,1,0.216728,1.525905,[10 99] ; [ 46 290],[13.71685393 95.28314607] ; [ 42.28314607 293.71685393],0
a3,1,0.294615,1.09841,[86 29] ; [260 113],[81.53688525 33.46311475] ; [264.46311475 108.53688525],0
d2,1,0.350145,0.872932,[63 51] ; [188 186],[58.6352459 55.3647541] ; [192.3647541 181.6352459],0
p12,1,0.50619,0.441936,[  4 108] ; [ 19 354],[  5.31134021 106.68865979] ; [ 17.68865979 355.31134021],0
n6,1,0.620922,0.244574,[90 25] ; [299  73],[91.85831622 23.14168378] ; [297.14168378  74.85831622],0
v1,1,0.68517,0.164364,[52 60] ; [176 186],[53.87341772 58.12658228] ; [174.12658228 187.87341772],0
u2,1,0.687991,0.161268,[16 13] ; [67 46],[16.95070423 12.04929577] ; [66.04929577 46.95070423],0
n2,1,0.699197,0.149308,[24 13] ; [52 33],[23.04918033 13.95081967] ; [52.95081967 32.04918033],0
s6,1,0.70678,0.141514,[63 51] ; [213 159],[64.74074074 49.25925926] ; [211.25925926 160.74074074],0
s2,1,0.723451,0.12521,[45 69] ; [140 232],[43.39506173 70.60493827] ; [141.60493827 230.39506173],0
a4,1,0.736888,0.112881,[54 60] ; [170 203],[52.43531828 61.56468172] ; [171.56468172 201.43531828],0
u4,1,0.766438,0.088231,[  3 112] ; [  8 366],[  2.58691207 112.41308793] ; [  8.41308793 365.58691207],0
p7,1,0.771363,0.084444,[63 48] ; [214 153],[64.32426778 46.67573222] ; [212.67573222 154.32426778],0
p6,1,0.784362,0.074878,[33 76] ; [107 263],[31.85803758 77.14196242] ; [108.14196242 261.85803758],0
s4,1,0.865051,0.028882,[ 14 101] ; [ 43 328],[ 13.48765432 101.51234568] ; [ 43.51234568 327.48765432],0
s3,1,0.868988,0.027206,[52 61] ; [167 203],[51.23602484 61.76397516] ; [167.76397516 202.23602484],0
p11,1,0.914315,0.011577,[88 27] ; [288  86],[88.42535787 26.57464213] ; [287.57464213  86.42535787],0
a1,1,0.928751,0.007995,[  5 110] ; [ 17 357],[  5.17382413 109.82617587] ; [ 16.82617587 357.17382413],0
n3,1,0.942047,0.005285,[25 12] ; [58 27],[25.17213115 11.82786885] ; [57.82786885 27.17213115],0
a5,1,0.974214,0.001045,[85 30] ; [277  97],[85.13292434 29.86707566] ; [276.86707566  97.13292434],0
