Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.607166,[ 7 22] ; [36  9],[16.85135135 12.14864865] ; [26.14864865 18.85135135],1
r3,1,0.000325,12.921243,[13 16] ; [38  7],[19.98648649  9.01351351] ; [31.01351351 13.98648649],1
v3,1,0.00168,9.869627,[ 2 27] ; [17 25],[ 7.76056338 21.23943662] ; [11.23943662 30.76056338],0
r2,1,0.005466,7.71846,[17 11] ; [39  5],[21.77777778  6.22222222] ; [34.22222222  9.77777778],0
v4,1,0.007988,7.036111,[16 13] ; [36  7],[20.94444444  8.05555556] ; [31.05555556 11.94444444],0
v1,1,0.038924,4.264186,[ 5 24] ; [18 27],[ 9.01351351 19.98648649] ; [13.98648649 31.01351351],0
a4,1,0.040844,4.182487,[ 5 23] ; [18 26],[ 8.94444444 19.05555556] ; [14.05555556 29.94444444],0
a6,1,0.04801,3.90965,[15 14] ; [13 32],[10.97297297 18.02702703] ; [17.02702703 27.97297297],0
a5,1,0.050321,3.830736,[10 19] ; [26 19],[14.10810811 14.89189189] ; [21.89189189 23.10810811],0
a3,1,0.05958,3.549028,[ 9 20] ; [24 21],[12.93243243 16.06756757] ; [20.06756757 24.93243243],0
s8,1,0.079846,3.068036,[ 3 26] ; [12 32],[ 5.95890411 23.04109589] ; [ 9.04109589 34.95890411],0
s1,1,0.095365,2.781398,[ 1 28] ; [ 7 37],[ 3.17808219 25.82191781] ; [ 4.82191781 39.17808219],0
p11,1,0.112182,2.523205,[10 19] ; [24 21],[13.32432432 15.67567568] ; [20.67567568 24.32432432],0
p10,1,0.119642,2.422007,[ 3 26] ; [11 33],[ 5.56164384 23.43835616] ; [ 8.43835616 35.56164384],0
a1,1,0.131434,2.27549,[ 3 26] ; [ 1 44],[ 1.56756757 27.43243243] ; [ 2.43243243 42.56756757],0
s4,1,0.138506,2.194483,[ 8 21] ; [ 6 38],[ 5.56164384 23.43835616] ; [ 8.43835616 35.56164384],0
u3,1,0.145946,2.114122,[ 6 14] ; [11 10],[ 8.29268293 11.70731707] ; [ 8.70731707 12.29268293],0
p2,1,0.160074,1.973526,[10 19] ; [23 22],[12.93243243 16.06756757] ; [20.06756757 24.93243243],0
s7,1,0.227748,1.454871,[ 5 22] ; [13 28],[ 7.14705882 19.85294118] ; [10.85294118 30.14705882],0
d5,1,0.237136,1.397542,[14 15] ; [28 17],[16.45945946 12.54054054] ; [25.54054054 19.45945946],0
v2,1,0.243332,1.361186,[ 7 22] ; [16 27],[ 9.26388889 19.73611111] ; [13.73611111 29.26388889],0
n4,1,0.276592,1.183759,[15 14] ; [29 16],[17.24324324 11.75675676] ; [26.75675676 18.24324324],0
d1,1,0.300215,1.073237,[ 7 22] ; [16 29],[ 9.01351351 19.98648649] ; [13.98648649 31.01351351],0
b1,1,0.321931,0.981084,[14 15] ; [27 18],[16.06756757 12.93243243] ; [24.93243243 20.06756757],0
u2,1,0.342178,0.902256,[ 8 12] ; [11  9],[ 9.5 10.5] ; [ 9.5 10.5],0
d4,1,0.36361,0.825385,[14 15] ; [26 18],[15.89041096 13.10958904] ; [24.10958904 19.89041096],0
p8,1,0.396922,0.71763,[ 9 20] ; [10 35],[ 7.44594595 21.55405405] ; [11.55405405 33.44594595],0
s3,1,0.422766,0.642612,[11 17] ; [22 23],[12.65753425 15.34246575] ; [20.34246575 24.65753425],0
n2,1,0.456057,0.555556,[8 7] ; [10  5],[9. 6.] ; [9. 6.],0
b4,1,0.482984,0.492118,[15 14] ; [27 18],[16.45945946 12.54054054] ; [25.54054054 19.45945946],0
n6,1,0.482984,0.492118,[15 14] ; [27 18],[16.45945946 12.54054054] ; [25.54054054 19.45945946],0
s2,1,0.506882,0.440499,[ 9 20] ; [17 27],[10.32876712 18.67123288] ; [15.67123288 28.32876712],0
p6,1,0.507073,0.440102,[ 4 24] ; [ 9 35],[ 5.05555556 22.94444444] ; [ 7.94444444 36.05555556],0
d3,1,0.553061,0.351862,[ 9 20] ; [17 28],[10.18918919 18.81081081] ; [15.81081081 29.18918919],0
p7,1,0.665112,0.187374,[13 16] ; [22 22],[13.90410959 15.09589041] ; [21.09589041 22.90410959],0
s5,1,0.669843,0.181786,[ 6 23] ; [11 33],[ 6.75342466 22.24657534] ; [10.24657534 33.75342466],0
p4,1,0.699795,0.148685,[ 8 21] ; [14 30],[ 8.73972603 20.26027397] ; [13.26027397 30.73972603],0
n3,1,0.704738,0.14359,[7 8] ; [7 6],[7.5 7.5] ; [6.5 6.5],0
s6,1,0.719065,0.12939,[10 19] ; [17 27],[10.7260274 18.2739726] ; [16.2739726 27.7260274],0
n5,1,0.732651,0.116692,[16 13] ; [23 22],[15.28378378 13.71621622] ; [23.71621622 21.28378378],0
p3,1,0.746045,0.104884,[ 8 21] ; [14 31],[ 8.62162162 20.37837838] ; [13.37837838 31.62162162],0
p12,1,0.750861,0.100809,[ 1 28] ; [ 1 44],[ 0.78378378 28.21621622] ; [ 1.21621622 43.78378378],0
b5,1,0.756701,0.095986,[12 17] ; [17 28],[11.36486486 17.63513514] ; [17.63513514 27.36486486],0
n1,1,0.781793,0.07672,[ 4 10] ; [ 5 10],[4.34482759 9.65517241] ; [ 4.65517241 10.34482759],0
a2,1,0.83202,0.044991,[ 1 28] ; [ 2 43],[ 1.17567568 27.82432432] ; [ 1.82432432 43.17567568],0
u1,1,0.83202,0.044991,[ 1 28] ; [ 2 43],[ 1.17567568 27.82432432] ; [ 1.82432432 43.17567568],0
b2,1,0.864691,0.029038,[ 5 14] ; [ 7 22],[ 4.75 14.25] ; [ 7.25 21.75],0
b3,1,0.864691,0.029038,[ 5 14] ; [ 7 22],[ 4.75 14.25] ; [ 7.25 21.75],0
d2,1,0.868451,0.027432,[13 15] ; [20 25],[12.65753425 15.34246575] ; [20.34246575 24.65753425],0
p1,1,0.96932,0.001479,[ 2 27] ; [ 3 42],[ 1.95945946 27.04054054] ; [ 3.04054054 41.95945946],0
