Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000222,13.634843,[11 20] ; [14  1],[16.84782609 14.15217391] ; [8.15217391 6.84782609],1
v2,1,0.000945,10.931968,[ 7 24] ; [11  4],[12.13043478 18.86956522] ; [5.86956522 9.13043478],1
d5,1,0.0017,9.848507,[14 17] ; [14  1],[18.86956522 12.13043478] ; [9.13043478 5.86956522],0
d2,1,0.012492,6.239677,[ 7 24] ; [9 6],[10.7826087 20.2173913] ; [5.2173913 9.7826087],0
v1,1,0.018882,5.512404,[ 6 25] ; [8 7],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
a3,1,0.027689,4.847312,[12 19] ; [11  4],[15.5 15.5] ; [7.5 7.5],0
a4,1,0.075193,3.165848,[ 5 26] ; [6 9],[ 7.41304348 23.58695652] ; [ 3.58695652 11.41304348],0
a6,1,0.115808,2.473118,[13 18] ; [10  5],[15.5 15.5] ; [7.5 7.5],0
p2,1,0.117797,2.446369,[20 11] ; [13  2],[22.23913043  8.76086957] ; [10.76086957  4.23913043],0
v3,1,0.134957,2.234535,[ 6 25] ; [6 9],[ 8.08695652 22.91304348] ; [ 3.91304348 11.08695652],0
p4,1,0.160754,1.967117,[16 15] ; [11  4],[18.19565217 12.80434783] ; [8.80434783 6.19565217],0
p11,1,0.170604,1.87763,[21 10] ; [13  2],[22.91304348  8.08695652] ; [11.08695652  3.91304348],0
p5,1,0.184792,1.758662,[ 5 26] ; [ 5 10],[ 6.73913043 24.26086957] ; [ 3.26086957 11.73913043],0
b5,1,0.249082,1.328445,[20 11] ; [7 8],[18.19565217 12.80434783] ; [8.80434783 6.19565217],0
a7,1,0.250234,1.321994,[13 18] ; [9 6],[14.82608696 16.17391304] ; [7.17391304 7.82608696],0
s2,1,0.252709,1.308267,[ 8 23] ; [6 8],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
s4,1,0.26139,1.261381,[ 6 25] ; [ 1 14],[ 4.7173913 26.2826087] ; [ 2.2826087 12.7173913],0
s8,1,0.284661,1.1447,[11 20] ; [ 3 12],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
s7,1,0.306593,1.045294,[10 21] ; [ 2 10],[ 8.65116279 22.34883721] ; [3.34883721 8.65116279],0
b4,1,0.342579,0.900757,[21 10] ; [8 7],[19.54347826 11.45652174] ; [9.45652174 5.54347826],0
a5,1,0.34539,0.890323,[14 17] ; [9 6],[15.5 15.5] ; [7.5 7.5],0
p10,1,0.391985,0.732777,[18 13] ; [10  4],[19.28888889 11.71111111] ; [8.71111111 5.28888889],0
a8,1,0.413598,0.668435,[ 5 24] ; [ 1 12],[ 4.14285714 24.85714286] ; [ 1.85714286 11.14285714],0
p7,1,0.445011,0.583328,[14 17] ; [ 5 10],[12.80434783 18.19565217] ; [6.19565217 8.80434783],0
n5,1,0.513118,0.427704,[22  9] ; [12  3],[22.91304348  8.08695652] ; [11.08695652  3.91304348],0
p9,1,0.542519,0.370891,[21 10] ; [10  3],[21.84090909  9.15909091] ; [9.15909091 3.84090909],0
p8,1,0.575207,0.314047,[13 18] ; [ 5 10],[12.13043478 18.86956522] ; [5.86956522 9.13043478],0
n3,1,0.585106,0.298052,[7 4] ; [3 3],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
b1,1,0.592408,0.286599,[15 16] ; [6 9],[14.15217391 16.84782609] ; [6.84782609 8.15217391],0
s3,1,0.593353,0.285138,[ 9 22] ; [ 3 11],[ 8.26666667 22.73333333] ; [ 3.73333333 10.26666667],0
s6,1,0.602967,0.270544,[14 17] ; [8 7],[14.82608696 16.17391304] ; [7.17391304 7.82608696],0
p1,1,0.708819,0.13946,[ 3 28] ; [ 2 13],[ 3.36956522 27.63043478] ; [ 1.63043478 13.36956522],0
p12,1,0.708819,0.13946,[ 3 28] ; [ 2 13],[ 3.36956522 27.63043478] ; [ 1.63043478 13.36956522],0
v4,1,0.723238,0.125412,[19 12] ; [10  5],[19.54347826 11.45652174] ; [9.45652174 5.54347826],0
p3,1,0.766105,0.08849,[11 20] ; [6 9],[11.45652174 19.54347826] ; [5.54347826 9.45652174],0
r4,1,0.766317,0.088326,[ 9 22] ; [ 5 10],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
p6,1,0.782774,0.076014,[ 5 25] ; [ 3 12],[ 5.33333333 24.66666667] ; [ 2.66666667 12.33333333],0
u3,1,0.794935,0.067552,[ 6 13] ; [1 3],[ 5.7826087 13.2173913] ; [1.2173913 2.7826087],0
r3,1,0.806243,0.06016,[23  7] ; [11  4],[22.66666667  7.33333333] ; [11.33333333  3.66666667],0
n2,1,0.900569,0.015611,[7 4] ; [4 2],[7.11764706 3.88235294] ; [3.88235294 2.11764706],0
b2,1,0.930386,0.007632,[ 7 13] ; [3 6],[ 6.89655172 13.10344828] ; [3.10344828 5.89655172],0
b3,1,0.930386,0.007632,[ 7 13] ; [3 6],[ 6.89655172 13.10344828] ; [3.10344828 5.89655172],0
n4,1,0.941863,0.005319,[21 10] ; [10  5],[20.89130435 10.10869565] ; [10.10869565  4.89130435],0
r1,1,0.941863,0.005319,[10 21] ; [ 5 10],[10.10869565 20.89130435] ; [ 4.89130435 10.10869565],0
s5,1,0.958762,0.002674,[ 6 25] ; [ 3 12],[ 6.06521739 24.93478261] ; [ 2.93478261 12.06521739],0
u1,1,0.977908,0.000767,[ 2 29] ; [ 1 14],[ 2.02173913 28.97826087] ; [ 0.97826087 14.02173913],0
