Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.258523,1.276649,[19 55] ; [ 2 14],[17.26666667 56.73333333] ; [ 3.73333333 12.26666667],0
n1,1,0.276986,1.181818,[12 10] ; [1 3],[11. 11.] ; [2. 2.],0
v4,1,0.294325,1.099732,[71  4] ; [14  2],[70.05494505  4.94505495] ; [14.94505495  1.05494505],0
u2,1,0.314355,1.012288,[12  8] ; [5 7],[10.625  9.375] ; [6.375 5.625],0
r1,1,0.322279,0.979675,[56 19] ; [10  6],[54.3956044 20.6043956] ; [11.6043956  4.3956044],0
p5,1,0.390591,0.7371,[12 63] ; [ 4 12],[13.18681319 61.81318681] ; [ 2.81318681 13.18681319],0
p12,1,0.446995,0.57826,[ 5 68] ; [ 2 14],[ 5.74157303 67.25842697] ; [ 1.25842697 14.74157303],0
n3,1,0.524471,0.405093,[14  7] ; [2 2],[13.44  7.56] ; [2.56 1.44],0
b2,1,0.601341,0.272978,[27 27] ; [5 7],[26.18181818 27.81818182] ; [5.81818182 6.18181818],0
b3,1,0.601341,0.272978,[27 27] ; [5 7],[26.18181818 27.81818182] ; [5.81818182 6.18181818],0
b1,1,0.615408,0.252375,[37 38] ; [9 7],[37.91208791 37.08791209] ; [8.08791209 7.91208791],0
n6,1,0.636179,0.223775,[62 13] ; [14  2],[62.63736264 12.36263736] ; [13.36263736  2.63736264],0
a1,1,0.69254,0.156349,[ 7 68] ; [ 1 15],[ 6.59340659 68.40659341] ; [ 1.40659341 14.59340659],0
p2,1,0.787816,0.072441,[63 12] ; [13  3],[62.63736264 12.36263736] ; [13.36263736  2.63736264],0
r4,1,0.822099,0.050556,[64 11] ; [14  2],[64.28571429 10.71428571] ; [13.71428571  2.28571429],0
p7,1,0.822099,0.050556,[64 11] ; [14  2],[64.28571429 10.71428571] ; [13.71428571  2.28571429],0
b4,1,0.884447,0.021122,[39 36] ; [8 8],[38.73626374 36.26373626] ; [8.26373626 7.73626374],0
n4,1,0.8925,0.018263,[62 13] ; [13  3],[61.81318681 13.18681319] ; [13.18681319  2.81318681],0
b5,1,0.908001,0.013354,[34 41] ; [7 9],[33.79120879 41.20879121] ; [7.20879121 8.79120879],0
s3,1,0.930606,0.007583,[46 29] ; [10  6],[46.15384615 28.84615385] ; [9.84615385 6.15384615],0
r2,1,0.941261,0.00543,[69  5] ; [15  1],[69.06666667  4.93333333] ; [14.93333333  1.06666667],0
u1,1,0.951383,0.003717,[ 5 70] ; [ 1 15],[ 4.94505495 70.05494505] ; [ 1.05494505 14.94505495],0
n5,1,0.993805,6e-05,[61 14] ; [13  3],[60.98901099 14.01098901] ; [13.01098901  2.98901099],0
