Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.109298,[101   7] ; [20 19],[88.89795918 19.10204082] ; [32.10204082  6.89795918],1
v3,1,1.2e-05,19.099367,[51 50] ; [ 4 35],[39.67857143 61.32142857] ; [15.32142857 23.67857143],1
p8,1,6.2e-05,16.034898,[76 31] ; [13 25],[65.67586207 41.32413793] ; [23.32413793 14.67586207],1
v2,1,0.000109,14.97024,[68 36] ; [11 27],[57.85915493 46.14084507] ; [21.14084507 16.85915493],1
a5,1,0.000145,14.440985,[87 21] ; [19 20],[77.87755102 30.12244898] ; [28.12244898 10.87755102],1
v4,1,0.000326,12.917152,[106   2] ; [32  7],[101.3877551   6.6122449] ; [36.6122449  2.3877551],1
d3,1,0.000572,11.863621,[80 28] ; [17 22],[71.26530612 36.73469388] ; [25.73469388 13.26530612],1
d4,1,0.001212,10.472051,[89 19] ; [22 17],[81.55102041 26.44897959] ; [29.44897959  9.55102041],0
r3,1,0.001946,9.600117,[102   6] ; [30  9],[96.97959184 11.02040816] ; [35.02040816  3.97959184],0
v1,1,0.002026,9.525521,[67 39] ; [13 25],[58.88888889 47.11111111] ; [21.11111111 16.88888889],0
d1,1,0.002035,9.517366,[67 41] ; [13 26],[58.7755102 49.2244898] ; [21.2244898 17.7755102],0
p11,1,0.002422,9.198513,[97 11] ; [27 12],[91.10204082 16.89795918] ; [32.89795918  6.10204082],0
p10,1,0.005584,7.679768,[91 16] ; [25 14],[85.01369863 21.98630137] ; [30.98630137  8.01369863],0
s4,1,0.013019,6.166498,[  4 104] ; [ 6 33],[  7.34693878 100.65306122] ; [ 2.65306122 36.34693878],0
a7,1,0.016754,5.721932,[85 23] ; [23 16],[79.34693878 28.65306122] ; [28.65306122 10.34693878],0
r2,1,0.021763,5.264645,[99  8] ; [30  8],[95.19310345 11.80689655] ; [33.80689655  4.19310345],0
a6,1,0.026731,4.908086,[79 29] ; [21 18],[73.46938776 34.53061224] ; [26.53061224 12.46938776],0
b1,1,0.035737,4.409595,[40 68] ; [22 17],[45.55102041 62.44897959] ; [16.44897959 22.55102041],0
p9,1,0.046139,3.976526,[90 17] ; [27 12],[85.74657534 21.25342466] ; [31.25342466  7.74657534],0
d2,1,0.048507,3.892338,[53 55] ; [12 27],[47.75510204 60.24489796] ; [17.24489796 21.75510204],0
n1,1,0.050962,3.809524,[ 6 15] ; [6 3],[ 8.4 12.6] ; [3.6 5.4],0
p2,1,0.05719,3.617044,[98 10] ; [30  8],[94.68493151 13.31506849] ; [33.31506849  4.68493151],0
d5,1,0.057355,3.612263,[88 20] ; [26 13],[83.75510204 24.24489796] ; [30.24489796  8.75510204],0
s1,1,0.062195,3.477863,[  3 104] ; [ 4 35],[  5.13013699 101.86986301] ; [ 1.86986301 37.13013699],0
n4,1,0.071717,3.243283,[85 23] ; [25 14],[80.81632653 27.18367347] ; [29.18367347  9.81632653],0
p7,1,0.110698,2.544231,[81 27] ; [24 15],[77.14285714 30.85714286] ; [27.85714286 11.14285714],0
a2,1,0.139765,2.18055,[26 82] ; [ 5 34],[22.7755102 85.2244898] ; [ 8.2244898 30.7755102],0
u2,1,0.146068,2.112842,[18 15] ; [4 9],[15.7826087 17.2173913] ; [6.2173913 6.7826087],0
u1,1,0.255764,1.29154,[16 92] ; [ 3 36],[13.95918367 94.04081633] ; [ 5.04081633 33.95918367],0
u3,1,0.285201,1.142136,[19 15] ; [5 8],[17.36170213 16.63829787] ; [6.63829787 6.36170213],0
s2,1,0.302983,1.061018,[19 87] ; [10 29],[21.2 84.8] ; [ 7.8 31.2],0
s7,1,0.309828,1.031409,[34 68] ; [ 9 28],[31.55395683 70.44604317] ; [11.44604317 25.55395683],0
s8,1,0.320665,0.986231,[31 77] ; [ 8 31],[28.65306122 79.34693878] ; [10.34693878 28.65306122],0
n3,1,0.362953,0.827651,[16  5] ; [9 1],[16.93548387  4.06451613] ; [8.06451613 1.93548387],0
p3,1,0.372927,0.79389,[69 38] ; [22 17],[66.69178082 40.30821918] ; [24.30821918 14.69178082],0
b4,1,0.40405,0.696241,[61 47] ; [19 20],[58.7755102 49.2244898] ; [21.2244898 17.7755102],0
p5,1,0.404722,0.694252,[ 9 97] ; [ 5 33],[10.30555556 95.69444444] ; [ 3.69444444 34.30555556],0
a8,1,0.43467,0.610313,[ 8 82] ; [ 5 32],[ 9.21259843 80.78740157] ; [ 3.78740157 33.21259843],0
b5,1,0.517535,0.418803,[60 48] ; [24 15],[61.71428571 46.28571429] ; [22.28571429 16.71428571],0
s3,1,0.620866,0.244653,[29 77] ; [12 26],[30.18055556 75.81944444] ; [10.81944444 27.18055556],0
n2,1,0.770335,0.085227,[15  5] ; [7 3],[14.66666667  5.33333333] ; [7.33333333 2.66666667],0
s5,1,0.771678,0.084205,[16 90] ; [ 5 33],[15.45833333 90.54166667] ; [ 5.54166667 32.45833333],0
a3,1,0.774252,0.082265,[74 33] ; [26 13],[73.28767123 33.71232877] ; [26.71232877 12.28767123],0
p6,1,0.823403,0.049805,[42 66] ; [14 24],[41.42465753 66.57534247] ; [14.57534247 23.42465753],0
a4,1,0.854042,0.033843,[48 60] ; [18 21],[48.48979592 59.51020408] ; [17.51020408 21.48979592],0
b3,1,0.87933,0.023049,[30 41] ; [11 14],[30.32291667 40.67708333] ; [10.67708333 14.32291667],0
b2,1,0.87933,0.023049,[30 41] ; [11 14],[30.32291667 40.67708333] ; [10.67708333 14.32291667],0
n6,1,0.908597,0.013181,[89 19] ; [31  7],[88.76712329 19.23287671] ; [31.23287671  6.76712329],0
a1,1,0.943954,0.004942,[  3 105] ; [ 1 38],[  2.93877551 105.06122449] ; [ 1.06122449 37.93877551],0
n5,1,0.959319,0.002602,[78 30] ; [28 11],[77.87755102 30.12244898] ; [28.12244898 10.87755102],0
p1,1,0.989951,0.000159,[11 97] ; [ 4 35],[11.02040816 96.97959184] ; [ 3.97959184 35.02040816],0
