Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.6e-05,17.09009,[21 77] ; [15  8],[29.15702479 68.84297521] ; [ 6.84297521 16.15702479],1
p6,1,0.000268,13.280144,[17 85] ; [12 11],[23.664 78.336] ; [ 5.336 17.664],1
s2,1,0.00034,12.838754,[30 77] ; [16  8],[37.57251908 69.42748092] ; [ 8.42748092 15.57251908],1
s5,1,0.000901,11.020319,[16 88] ; [10 11],[21.632 82.368] ; [ 4.368 16.632],1
s3,1,0.023787,5.110063,[48 58] ; [17  7],[53. 53.] ; [12. 12.],0
s8,1,0.029636,4.730311,[22 85] ; [10 14],[26.13740458 80.86259542] ; [ 5.86259542 18.13740458],0
a5,1,0.035771,4.408011,[61 46] ; [ 8 16],[56.35877863 50.64122137] ; [12.64122137 11.35877863],0
s6,1,0.043232,4.086318,[45 62] ; [15  8],[49.38461538 57.61538462] ; [10.61538462 12.38461538],0
a2,1,0.067091,3.352804,[21 86] ; [ 1 23],[17.96946565 89.03053435] ; [ 4.03053435 19.96946565],0
p2,1,0.116023,2.470198,[66 40] ; [19  5],[69.30769231 36.69230769] ; [15.69230769  8.30769231],0
r1,1,0.168248,1.898487,[69 37] ; [12 12],[66.04615385 39.95384615] ; [14.95384615  9.04615385],0
d3,1,0.200205,1.64088,[60 46] ; [17  7],[62.78461538 43.21538462] ; [14.21538462  9.78461538],0
v4,1,0.257969,1.279621,[80 25] ; [20  3],[82.03125 22.96875] ; [17.96875  5.03125],0
n4,1,0.285959,1.138551,[53 54] ; [ 9 15],[50.64122137 56.35877863] ; [11.35877863 12.64122137],0
a8,1,0.287163,1.132876,[12 89] ; [ 1 22],[10.58870968 90.41129032] ; [ 2.41129032 20.58870968],0
b1,1,0.319954,0.989135,[61 46] ; [11 13],[58.80916031 48.19083969] ; [13.19083969 10.80916031],0
u3,1,0.329255,0.951826,[22 17] ; [8 3],[23.4 15.6] ; [6.6 4.4],0
a3,1,0.362088,0.83064,[68 38] ; [13 11],[66.04615385 39.95384615] ; [14.95384615  9.04615385],0
d4,1,0.405638,0.69155,[75 31] ; [19  5],[76.64615385 29.35384615] ; [17.35384615  6.64615385],0
u2,1,0.406568,0.688813,[23 16] ; [8 3],[24.18 14.82] ; [6.82 4.18],0
p3,1,0.428833,0.625983,[31 75] ; [ 9 15],[32.61538462 73.38461538] ; [ 7.38461538 16.61538462],0
d2,1,0.43136,0.619159,[45 62] ; [ 8 16],[43.29007634 63.70992366] ; [ 9.70992366 14.29007634],0
d5,1,0.461615,0.541976,[72 35] ; [18  6],[73.51145038 33.48854962] ; [16.48854962  7.51145038],0
n5,1,0.464734,0.534469,[48 57] ; [ 9 15],[46.39534884 58.60465116] ; [10.60465116 13.39534884],0
n2,1,0.505219,0.443957,[26 16] ; [8 3],[26.94339623 15.05660377] ; [7.05660377 3.94339623],0
b4,1,0.509836,0.434404,[57 50] ; [11 13],[55.54198473 51.45801527] ; [12.45801527 11.54198473],0
a6,1,0.57182,0.319647,[69 38] ; [14 10],[67.79389313 39.20610687] ; [15.20610687  8.79389313],0
n3,1,0.591345,0.288248,[26 15] ; [6 5],[25.23076923 15.76923077] ; [6.76923077 4.23076923],0
p10,1,0.591892,0.2874,[56 50] ; [13  9],[57.140625 48.859375] ; [11.859375 10.140625],0
r3,1,0.593837,0.284392,[83 24] ; [19  4],[83.95384615 23.04615385] ; [18.04615385  4.95384615],0
d1,1,0.622316,0.242626,[46 61] ; [ 9 15],[44.92366412 62.07633588] ; [10.07633588 13.92366412],0
p1,1,0.622694,0.2421,[  6 100] ; [ 2 22],[ 6.52307692 99.47692308] ; [ 1.47692308 22.52307692],0
p4,1,0.625556,0.238135,[41 65] ; [ 8 16],[39.95384615 66.04615385] ; [ 9.04615385 14.95384615],0
a7,1,0.633034,0.227969,[68 39] ; [14 10],[66.97709924 40.02290076] ; [15.02290076  8.97709924],0
v1,1,0.678873,0.171397,[39 64] ; [ 8 16],[38.11811024 64.88188976] ; [ 8.88188976 15.11811024],0
r4,1,0.696245,0.152408,[67 40] ; [14 10],[66.16030534 40.83969466] ; [14.83969466  9.16030534],0
b5,1,0.696245,0.152408,[67 40] ; [14 10],[66.16030534 40.83969466] ; [14.83969466  9.16030534],0
p9,1,0.714079,0.134237,[63 43] ; [14  8],[63.765625 42.234375] ; [13.234375  8.765625],0
u1,1,0.753869,0.098308,[  7 100] ; [ 2 22],[ 7.35114504 99.64885496] ; [ 1.64885496 22.35114504],0
n1,1,0.759535,0.093692,[17 24] ; [4 7],[16.55769231 24.44230769] ; [4.44230769 6.55769231],0
r2,1,0.768072,0.086965,[85 20] ; [18  5],[84.4921875 20.5078125] ; [18.5078125  4.4921875],0
p11,1,0.799598,0.064449,[61 46] ; [13 11],[60.44274809 46.55725191] ; [13.55725191 10.44274809],0
a4,1,0.839703,0.040914,[38 69] ; [ 8 16],[37.57251908 69.42748092] ; [ 8.42748092 15.57251908],0
p8,1,0.913083,0.011914,[35 71] ; [ 7 15],[34.78125 71.21875] ; [ 7.21875 14.78125],0
p7,1,0.933515,0.006959,[52 50] ; [11 11],[51.82258065 50.17741935] ; [11.17741935 10.82258065],0
b2,1,0.946929,0.004431,[18 47] ; [ 4 10],[18.10126582 46.89873418] ; [ 3.89873418 10.10126582],0
b3,1,0.946929,0.004431,[18 47] ; [ 4 10],[18.10126582 46.89873418] ; [ 3.89873418 10.10126582],0
v2,1,0.99063,0.000138,[35 66] ; [ 8 15],[35.02419355 65.97580645] ; [ 7.97580645 15.02419355],0
