Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,98.004211,[143  22] ; [26 73],[105.625  59.375] ; [63.375 35.625],1
s6,1,0.0,52.499067,[149  14] ; [50 46],[125.23938224  37.76061776] ; [73.76061776 22.23938224],1
s7,1,0.0,41.84806,[128  33] ; [36 56],[104.36363636  56.63636364] ; [59.63636364 32.36363636],1
s5,1,0.0,28.960185,[91 65] ; [23 74],[70.29249012 85.70750988] ; [43.70750988 53.29249012],1
s8,1,0.0,25.68785,[118  47] ; [40 60],[98.37735849 66.62264151] ; [59.62264151 40.37735849],1
a4,1,0.006645,7.366539,[94 72] ; [39 60],[83.31320755 82.68679245] ; [49.68679245 49.31320755],0
a3,1,0.010921,6.478052,[133  32] ; [66 33],[124.375  40.625] ; [74.625 24.375],0
p12,1,0.018164,5.580216,[ 29 137] ; [ 7 91],[ 22.63636364 143.36363636] ; [13.36363636 84.63636364],0
d4,1,0.021095,5.318961,[144  20] ; [77 23],[137.28787879  26.71212121] ; [83.71212121 16.28787879],0
n2,1,0.02333,5.143753,[22  3] ; [13  9],[18.61702128  6.38297872] ; [16.38297872  5.61702128],0
a5,1,0.025865,4.96501,[133  33] ; [68 32],[125.43609023  40.56390977] ; [75.56390977 24.43609023],0
d1,1,0.032869,4.552604,[116  50] ; [57 43],[107.96240602  58.03759398] ; [65.03759398 34.96240602],0
s4,1,0.038803,4.269485,[ 36 125] ; [12 87],[ 29.72307692 131.27692308] ; [18.27692308 80.72307692],0
d2,1,0.04683,3.951483,[95 70] ; [45 55],[87.16981132 77.83018868] ; [52.83018868 47.16981132],0
u4,1,0.066301,3.372296,[  9 157] ; [ 1 99],[  6.2406015 159.7593985] ; [ 3.7593985 96.2406015],0
r2,1,0.067391,3.345455,[161   4] ; [92  7],[158.125   6.875] ; [94.875  4.125],0
r1,1,0.07685,3.130286,[142  24] ; [77 23],[136.66917293  29.33082707] ; [82.33082707 17.66917293],0
s1,1,0.102989,2.658639,[  8 158] ; [ 1 96],[  5.68060837 160.31939163] ; [ 3.31939163 93.68060837],0
a2,1,0.1064,2.606891,[ 48 118] ; [20 80],[ 42.43609023 123.56390977] ; [25.56390977 74.43609023],0
d3,1,0.122523,2.38477,[123  42] ; [65 34],[117.5  47.5] ; [70.5 28.5],0
p2,1,0.140409,2.173469,[147  19] ; [94  6],[150.39849624  15.60150376] ; [90.60150376  9.39849624],0
b4,1,0.141354,2.163161,[91 75] ; [64 36],[96.72932331 69.27067669] ; [58.27067669 41.72932331],0
n6,1,0.168789,1.893668,[155   9] ; [90 10],[152.1969697  11.8030303] ; [92.8030303  7.1969697],0
u3,1,0.17249,1.861165,[21 12] ; [16 18],[18.2238806 14.7761194] ; [18.7761194 15.2238806],0
a8,1,0.174087,1.847395,[ 29 126] ; [10 74],[ 25.29288703 129.70711297] ; [13.70711297 70.29288703],0
u1,1,0.197081,1.663876,[ 43 123] ; [19 81],[ 38.69172932 127.30827068] ; [23.30827068 76.69172932],0
p5,1,0.202756,1.622411,[ 41 125] ; [18 82],[ 36.81954887 129.18045113] ; [22.18045113 77.81954887],0
