Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.003096,8.75,[10 18] ; [30 12],[16. 12.] ; [24. 18.],0
v4,1,0.003961,8.301823,[10 18] ; [29 12],[15.82608696 12.17391304] ; [23.17391304 17.82608696],0
d5,1,0.006264,7.472797,[18 10] ; [39  4],[22.47887324  5.52112676] ; [34.52112676  8.47887324],0
d1,1,0.015201,5.89306,[10 18] ; [28 15],[14.98591549 13.01408451] ; [23.01408451 19.98591549],0
s5,1,0.098937,2.722603,[ 2 26] ; [ 9 32],[ 4.46376812 23.53623188] ; [ 6.53623188 34.46376812],0
p11,1,0.114287,2.493912,[19  9] ; [21 22],[15.77464789 12.22535211] ; [24.22535211 18.77464789],0
a4,1,0.117066,2.45614,[12 16] ; [26 16],[15.2 12.8] ; [22.8 19.2],0
u3,1,0.143235,2.142857,[1 6] ; [4 4],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
p4,1,0.171157,1.872782,[16 12] ; [17 25],[13.2 14.8] ; [19.8 22.2],0
d3,1,0.205377,1.603716,[14 14] ; [28 15],[16.56338028 11.43661972] ; [25.43661972 17.56338028],0
b5,1,0.20775,1.587036,[12 16] ; [25 18],[14.5915493 13.4084507] ; [22.4084507 20.5915493],0
p7,1,0.215295,1.535461,[13 15] ; [13 28],[10.55072464 17.44927536] ; [15.44927536 25.55072464],0
r3,1,0.290747,1.116157,[17 10] ; [21 21],[14.86956522 12.13043478] ; [23.13043478 18.86956522],0
n4,1,0.316695,1.002545,[17 11] ; [31 12],[18.92957746  9.07042254] ; [29.07042254 13.92957746],0
s1,1,0.32914,0.952278,[ 3 25] ; [ 2 41],[ 1.97183099 26.02816901] ; [ 3.02816901 39.97183099],0
v1,1,0.413564,0.668532,[13 15] ; [15 26],[11.36231884 16.63768116] ; [16.63768116 24.36231884],0
s7,1,0.419058,0.652955,[ 8 16] ; [17 22],[ 9.52380952 14.47619048] ; [15.47619048 23.52380952],0
n2,1,0.424427,0.638024,[8 4] ; [11 10],[6.90909091 5.09090909] ; [12.09090909  8.90909091],0
p6,1,0.429231,0.624904,[ 5 22] ; [11 30],[ 6.35294118 20.64705882] ; [ 9.64705882 31.35294118],0
a2,1,0.446476,0.579582,[ 5 23] ; [11 32],[ 6.30985915 21.69014085] ; [ 9.69014085 33.30985915],0
a1,1,0.510051,0.433962,[ 3 25] ; [ 7 36],[ 3.94366197 24.05633803] ; [ 6.05633803 36.94366197],0
b2,1,0.514643,0.424615,[ 8 12] ; [ 8 18],[ 6.95652174 13.04347826] ; [ 9.04347826 16.95652174],0
b3,1,0.514643,0.424615,[ 8 12] ; [ 8 18],[ 6.95652174 13.04347826] ; [ 9.04347826 16.95652174],0
p9,1,0.538998,0.3774,[18  8] ; [26 16],[16.82352941  9.17647059] ; [27.17647059 14.82352941],0
b4,1,0.560904,0.338142,[13 15] ; [23 20],[14.1971831 13.8028169] ; [21.8028169 21.1971831],0
p2,1,0.561391,0.337302,[16 12] ; [20 20],[14.82352941 13.17647059] ; [21.17647059 18.82352941],0
u1,1,0.580027,0.306191,[ 3 25] ; [ 3 40],[ 2.36619718 25.63380282] ; [ 3.63380282 39.36619718],0
n6,1,0.58107,0.304508,[16 11] ; [27 14],[17.07352941  9.92647059] ; [25.92647059 15.07352941],0
v3,1,0.631922,0.229463,[ 7 21] ; [13 30],[ 7.88732394 20.11267606] ; [12.11267606 30.88732394],0
n3,1,0.647434,0.20915,[7 5] ; [10 10],[6.375 5.625] ; [10.625  9.375],0
p8,1,0.674816,0.17602,[ 9 18] ; [12 30],[ 8.2173913 18.7826087] ; [12.7826087 29.2173913],0
s4,1,0.688475,0.160741,[ 3 25] ; [ 6 37],[ 3.54929577 24.45070423] ; [ 5.45070423 37.54929577],0
p5,1,0.702357,0.146032,[ 3 24] ; [ 6 36],[ 3.52173913 23.47826087] ; [ 5.47826087 36.52173913],0
a3,1,0.712635,0.135659,[21  6] ; [35  8],[21.6  5.4] ; [34.4  8.6],0
n1,1,0.74114,0.109127,[5 7] ; [10 11],[5.45454545 6.54545455] ; [ 9.54545455 11.45454545],0
p10,1,0.74449,0.106219,[15 12] ; [25 17],[15.65217391 11.34782609] ; [24.34782609 17.65217391],0
a6,1,0.74587,0.105034,[18 10] ; [26 17],[17.35211268 10.64788732] ; [26.64788732 16.35211268],0
s6,1,0.750203,0.101361,[12 16] ; [16 25],[11.36231884 16.63768116] ; [16.63768116 24.36231884],0
a7,1,0.762305,0.091479,[16 12] ; [23 20],[15.38028169 12.61971831] ; [23.61971831 19.38028169],0
b1,1,0.82922,0.046527,[17 11] ; [25 18],[16.56338028 11.43661972] ; [25.43661972 17.56338028],0
v2,1,0.842957,0.039249,[12 16] ; [17 25],[11.6 16.4] ; [17.4 24.6],0
p1,1,0.845361,0.038041,[ 3 25] ; [ 4 39],[ 2.76056338 25.23943662] ; [ 4.23943662 38.76056338],0
d4,1,0.866338,0.028329,[21  7] ; [33 10],[21.29577465  6.70422535] ; [32.70422535 10.29577465],0
s3,1,0.868942,0.027226,[10 17] ; [16 25],[10.32352941 16.67647059] ; [15.67647059 25.32352941],0
s8,1,0.909403,0.012949,[ 7 21] ; [10 32],[ 6.8 21.2] ; [10.2 31.8],0
r1,1,0.917259,0.010792,[ 9 19] ; [14 28],[ 9.2 18.8] ; [13.8 28.2],0
p3,1,0.96985,0.001429,[10 17] ; [15 26],[ 9.92647059 17.07352941] ; [15.07352941 25.92647059],0
s2,1,1.0,0.0,[ 9 18] ; [14 28],[ 9. 18.] ; [14. 28.],0
n5,1,1.0,0.0,[20  8] ; [30 12],[20.  8.] ; [30. 12.],0
