Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7.5e-05,15.681466,[59  5] ; [41 24],[49.6124031 14.3875969] ; [50.3875969 14.6124031],1
r4,1,0.001323,10.310769,[49 15] ; [32 33],[40.18604651 23.81395349] ; [40.81395349 24.18604651],0
v4,1,0.001792,9.751351,[56  7] ; [42 22],[48.61417323 14.38582677] ; [49.38582677 14.61417323],0
p2,1,0.003328,8.618497,[44 20] ; [28 37],[35.72093023 28.27906977] ; [36.27906977 28.72093023],0
n6,1,0.010331,6.576926,[45 18] ; [32 33],[37.8984375 25.1015625] ; [39.1015625 25.8984375],0
p10,1,0.01558,5.849663,[20 43] ; [ 9 56],[14.2734375 48.7265625] ; [14.7265625 50.2734375],0
a1,1,0.016611,5.737037,[ 1 63] ; [ 8 57],[ 4.46511628 59.53488372] ; [ 4.53488372 60.46511628],0
u2,1,0.027121,4.883071,[18 11] ; [10 20],[13.76271186 15.23728814] ; [14.23728814 15.76271186],0
s2,1,0.037827,4.312798,[23 40] ; [13 52],[17.71875 45.28125] ; [18.28125 46.71875],0
p4,1,0.058846,3.569623,[29 35] ; [19 46],[23.81395349 40.18604651] ; [24.18604651 40.81395349],0
b1,1,0.063801,3.435703,[31 33] ; [42 23],[36.21705426 27.78294574] ; [36.78294574 28.21705426],0
p7,1,0.064695,3.412743,[35 29] ; [25 40],[29.76744186 34.23255814] ; [30.23255814 34.76744186],0
p8,1,0.083934,2.987035,[24 40] ; [15 49],[19.5 44.5] ; [19.5 44.5],0
s8,1,0.094779,2.791277,[14 50] ; [ 7 57],[10.5 53.5] ; [10.5 53.5],0
r1,1,0.109994,2.554306,[46 18] ; [38 27],[41.6744186 22.3255814] ; [42.3255814 22.6744186],0
r2,1,0.118599,2.435728,[55  9] ; [48 16],[51.5 12.5] ; [51.5 12.5],0
u3,1,0.120507,2.410714,[17 13] ; [11 19],[14. 16.] ; [14. 16.],0
a2,1,0.155063,2.021727,[ 7 57] ; [13 52],[ 9.92248062 54.07751938] ; [10.07751938 54.92248062],0
b4,1,0.176024,1.830877,[41 23] ; [34 31],[37.20930233 26.79069767] ; [37.79069767 27.20930233],0
n3,1,0.189927,1.718182,[14  7] ; [16 17],[11.66666667  9.33333333] ; [18.33333333 14.66666667],0
s3,1,0.209069,1.577862,[30 34] ; [23 41],[26.5 37.5] ; [26.5 37.5],0
a4,1,0.217599,1.520134,[19 44] ; [26 38],[22.32283465 40.67716535] ; [22.67716535 41.32283465],0
a8,1,0.224711,1.474029,[ 5 54] ; [ 2 59],[ 3.44166667 55.55833333] ; [ 3.55833333 57.44166667],0
s7,1,0.226805,1.460784,[18 44] ; [12 49],[15.12195122 46.87804878] ; [14.87804878 46.12195122],0
n4,1,0.241859,1.369726,[40 24] ; [34 31],[36.71317829 27.28682171] ; [37.28682171 27.71317829],0
v2,1,0.278828,1.172793,[22 40] ; [17 47],[19.19047619 42.80952381] ; [19.80952381 44.19047619],0
p6,1,0.289961,1.119801,[17 46] ; [12 51],[14.5 48.5] ; [14.5 48.5],0
n2,1,0.389001,0.742063,[13  8] ; [17 17],[11.45454545  9.54545455] ; [18.54545455 15.45454545],0
d5,1,0.411943,0.673187,[42 22] ; [47 18],[44.15503876 19.84496124] ; [44.84496124 20.15503876],0
s4,1,0.414344,0.666302,[ 9 53] ; [13 52],[10.74015748 51.25984252] ; [11.25984252 53.74015748],0
b2,1,0.423762,0.639859,[11 28] ; [15 26],[12.675 26.325] ; [13.325 27.675],0
b3,1,0.423762,0.639859,[11 28] ; [15 26],[12.675 26.325] ; [13.325 27.675],0
b5,1,0.429755,0.623484,[31 33] ; [36 29],[33.24031008 30.75968992] ; [33.75968992 31.24031008],0
p3,1,0.454452,0.559523,[15 48] ; [19 45],[16.86614173 46.13385827] ; [17.13385827 46.86614173],0
s6,1,0.468662,0.525128,[27 37] ; [23 41],[25. 39.] ; [25. 39.],0
a5,1,0.529738,0.394894,[37 27] ; [34 31],[35.2248062 28.7751938] ; [35.7751938 29.2248062],0
d3,1,0.532629,0.389373,[36 28] ; [33 32],[34.23255814 29.76744186] ; [34.76744186 30.23255814],0
s1,1,0.543637,0.36884,[ 4 59] ; [ 6 59],[ 4.921875 58.078125] ; [ 5.078125 59.921875],0
p1,1,0.582533,0.302157,[ 5 58] ; [ 7 58],[ 5.90625 57.09375] ; [ 6.09375 58.90625],0
a6,1,0.646806,0.209951,[38 26] ; [36 29],[36.71317829 27.28682171] ; [37.28682171 27.71317829],0
a7,1,0.666212,0.186065,[37 27] ; [40 25],[38.20155039 25.79844961] ; [38.79844961 26.20155039],0
d4,1,0.702918,0.145455,[45 19] ; [43 21],[44. 20.] ; [44. 20.],0
d2,1,0.723544,0.125122,[30 34] ; [32 32],[31. 33.] ; [31. 33.],0
n5,1,0.783767,0.075303,[36 28] ; [35 30],[35.2248062 28.7751938] ; [35.7751938 29.2248062],0
a3,1,0.859258,0.031442,[34 30] ; [35 29],[34.5 29.5] ; [34.5 29.5],0
v1,1,0.880627,0.022552,[16 48] ; [17 48],[16.37209302 47.62790698] ; [16.62790698 48.37209302],0
n1,1,0.881893,0.022073,[ 7 14] ; [12 22],[ 7.25454545 13.74545455] ; [11.74545455 22.25454545],0
d1,1,0.923596,0.009198,[29 35] ; [30 35],[29.27131783 34.72868217] ; [29.72868217 35.27131783],0
s5,1,0.9676,0.00165,[11 52] ; [11 53],[10.91338583 52.08661417] ; [11.08661417 52.91338583],0
u1,1,0.97357,0.001098,[ 8 56] ; [ 8 57],[ 7.9379845 56.0620155] ; [ 8.0620155 56.9379845],0
p12,1,0.982229,0.000496,[ 1 62] ; [ 1 64],[ 0.984375 62.015625] ; [ 1.015625 63.984375],0
p5,1,1.0,0.0,[ 1 63] ; [ 1 63],[ 1. 63.] ; [ 1. 63.],0
