Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,106.480881,[525  12] ; [79 33],[499.76579353  37.23420647] ; [104.23420647   7.76579353],1
r2,1,0.0,34.53476,[523  12] ; [91 16],[511.66666667  23.33333333] ; [102.33333333   4.66666667],1
a5,1,0.0,29.216007,[420 117] ; [60 52],[397.16486903 139.83513097] ; [82.83513097 29.16486903],1
a4,1,4e-06,21.388145,[257 279] ; [27 85],[234.91358025 301.08641975] ; [49.08641975 62.91358025],1
u1,1,9e-06,19.629978,[136 401] ; [  7 105],[118.3220339 418.6779661] ; [24.6779661 87.3220339],1
a2,1,1.1e-05,19.250921,[173 364] ; [13 99],[153.90138675 383.09861325] ; [32.09861325 79.90138675],1
d1,1,4e-05,16.851239,[351 186] ; [50 62],[331.798151 205.201849] ; [69.201849 42.798151],1
d2,1,0.000111,14.93147,[274 260] ; [35 77],[255.42724458 278.57275542] ; [53.57275542 58.42724458],1
v4,1,0.000122,14.762209,[521  15] ; [99 12],[513.63214838  22.36785162] ; [106.36785162   4.63214838],1
v2,1,0.000461,12.266595,[320 191] ; [49 61],[303.63768116 207.36231884] ; [65.36231884 44.63768116],1
n4,1,0.000655,11.611842,[417 119] ; [70 42],[402.82716049 133.17283951] ; [84.17283951 27.82716049],1
p4,1,0.001696,9.852717,[336 195] ; [53 59],[321.24261275 209.75738725] ; [67.75738725 44.24261275],0
a3,1,0.002403,9.21289,[392 143] ; [66 46],[378.71715611 156.28284389] ; [79.28284389 32.71715611],0
u3,1,0.002786,8.942432,[96 47] ; [19 26],[87.47340426 55.52659574] ; [27.52659574 17.47340426],0
s6,1,0.005159,7.82275,[369 160] ; [61 48],[356.53605016 172.46394984] ; [73.46394984 35.53605016],0
d3,1,0.005597,7.675665,[430 105] ; [76 35],[419.05572755 115.94427245] ; [86.94427245 24.05572755],0
n5,1,0.005932,7.570774,[396 138] ; [68 43],[384.14883721 149.85116279] ; [79.85116279 31.14883721],0
s8,1,0.006337,7.451941,[236 296] ; [34 78],[223.04347826 308.95652174] ; [46.95652174 65.04347826],0
v1,1,0.010884,6.484132,[291 233] ; [45 62],[279.02377179 244.97622821] ; [56.97622821 50.02377179],0
p7,1,0.012578,6.227505,[338 182] ; [57 52],[326.55007949 193.44992051] ; [68.44992051 40.55007949],0
a6,1,0.014039,6.033181,[424 110] ; [77 35],[414.13931889 119.86068111] ; [86.86068111 25.13931889],0
s7,1,0.018132,5.583358,[249 261] ; [38 67],[238. 272.] ; [49. 56.],0
p2,1,0.028752,4.782396,[458  76] ; [86 25],[450.38139535  83.61860465] ; [93.61860465 17.38139535],0
p8,1,0.031504,4.625298,[287 240] ; [48 63],[276.71630094 250.28369906] ; [58.28369906 52.71630094],0
d4,1,0.047613,3.923581,[460  75] ; [88 24],[453.13755796  81.86244204] ; [94.86244204 17.13755796],0
v3,1,0.047742,3.919029,[212 300] ; [34 75],[202.82125604 309.17874396] ; [43.17874396 65.82125604],0
s2,1,0.062263,3.476042,[278 251] ; [48 64],[269.03900156 259.96099844] ; [56.96099844 55.03900156],0
s3,1,0.071438,3.249656,[298 228] ; [53 59],[289.38244514 236.61755486] ; [61.61755486 50.38244514],0
d5,1,0.139378,2.184814,[451  84] ; [88 24],[445.69551777  89.30448223] ; [93.30448223 18.69551777],0
u2,1,0.156641,2.006358,[87 56] ; [22 23],[82.90957447 60.09042553] ; [26.09042553 18.90957447],0
s5,1,0.175841,1.832431,[168 350] ; [27 78],[162.13483146 355.86516854] ; [32.86516854 72.13483146],0
s4,1,0.245026,1.351445,[ 80 446] ; [22 90],[ 84.09404389 441.90595611] ; [17.90595611 94.09404389],0
b5,1,0.275466,1.189325,[345 192] ; [78 34],[350.00154083 186.99845917] ; [72.99845917 39.00154083],0
p9,1,0.374288,0.789378,[449  79] ; [89 20],[445.94034537  82.05965463] ; [92.05965463 16.94034537],0
n2,1,0.381827,0.76481,[73 31] ; [25  7],[74.94117647 29.05882353] ; [23.05882353  8.94117647],0
p1,1,0.382357,0.76311,[ 47 485] ; [  7 104],[ 44.67807154 487.32192846] ; [  9.32192846 101.67807154],0
