Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.1e-05,18.090624,[14 73] ; [18 15],[23.2 63.8] ; [ 8.8 24.2],1
p8,1,0.000458,12.278411,[14 74] ; [15 17],[21.26666667 66.73333333] ; [ 7.73333333 24.26666667],1
s6,1,0.000857,11.114153,[23 64] ; [19 13],[30.70588235 56.29411765] ; [11.29411765 20.70588235],1
p5,1,0.005873,7.588933,[ 1 87] ; [ 4 28],[ 3.66666667 84.33333333] ; [ 1.33333333 30.66666667],0
p7,1,0.00735,7.185309,[19 68] ; [15 17],[24.85714286 62.14285714] ; [ 9.14285714 22.85714286],0
p6,1,0.01451,5.975043,[ 7 79] ; [ 8 24],[10.93220339 75.06779661] ; [ 4.06779661 27.93220339],0
s5,1,0.022439,5.211429,[10 74] ; [ 9 21],[14. 70.] ; [ 5. 25.],0
p11,1,0.07483,3.17377,[40 48] ; [21 12],[44.36363636 43.63636364] ; [16.63636364 16.36363636],0
s1,1,0.088896,2.894259,[ 5 81] ; [ 5 27],[ 7.28813559 78.71186441] ; [ 2.71186441 29.28813559],0
r3,1,0.099679,2.710673,[61 26] ; [28  5],[64.525 22.475] ; [24.475  8.525],0
v2,1,0.106955,2.59865,[30 52] ; [17 15],[33.80701754 48.19298246] ; [13.19298246 18.80701754],0
u3,1,0.109829,2.556686,[16 25] ; [10  6],[18.70175439 22.29824561] ; [7.29824561 8.70175439],0
s2,1,0.123109,2.377317,[18 69] ; [11 21],[21.20168067 65.79831933] ; [ 7.79831933 24.20168067],0
n3,1,0.154644,2.025838,[18 17] ; [7 2],[19.88636364 15.11363636] ; [5.11363636 3.88636364],0
v1,1,0.197456,1.66109,[24 64] ; [13 20],[26.90909091 61.09090909] ; [10.09090909 22.90909091],0
p12,1,0.199775,1.644022,[ 3 85] ; [ 3 30],[ 4.36363636 83.63636364] ; [ 1.63636364 31.36363636],0
p1,1,0.20037,1.639677,[ 9 79] ; [ 1 32],[ 7.27272727 80.72727273] ; [ 2.72727273 30.27272727],0
u1,1,0.229255,1.445478,[ 5 83] ; [ 4 29],[ 6.54545455 81.45454545] ; [ 2.45454545 30.54545455],0
r4,1,0.244778,1.352862,[54 34] ; [24  9],[56.72727273 31.27272727] ; [21.27272727 11.72727273],0
a2,1,0.245937,1.346239,[12 76] ; [ 2 31],[10.18181818 77.81818182] ; [ 3.81818182 29.18181818],0
s3,1,0.259173,1.273168,[22 63] ; [12 21],[24.49152542 60.50847458] ; [ 9.50847458 23.49152542],0
a5,1,0.262762,1.254146,[46 42] ; [21 12],[48.72727273 39.27272727] ; [18.27272727 14.72727273],0
v4,1,0.28809,1.128527,[63 24] ; [27  6],[65.25 21.75] ; [24.75  8.25],0
n5,1,0.323073,0.976465,[56 31] ; [18 15],[53.65 33.35] ; [20.35 12.65],0
n1,1,0.332961,0.937347,[14 23] ; [5 4],[15.2826087 21.7173913] ; [3.7173913 5.2826087],0
u2,1,0.337959,0.918157,[16 25] ; [8 7],[17.57142857 23.42857143] ; [6.42857143 8.57142857],0
r1,1,0.342664,0.900438,[47 40] ; [21 12],[49.3 37.7] ; [18.7 14.3],0
p10,1,0.342797,0.899945,[36 50] ; [17 16],[38.30252101 47.69747899] ; [14.69747899 18.30252101],0
