Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.863071,[30 27] ; [ 6 50],[18.15929204 38.84070796] ; [17.84070796 38.15929204],1
a3,1,2.9e-05,17.491304,[44 13] ; [21 34],[33.08035714 23.91964286] ; [31.91964286 23.08035714],1
d5,1,7.1e-05,15.783069,[45 13] ; [23 33],[34.59649123 23.40350877] ; [33.40350877 22.59649123],1
d2,1,0.001795,9.747825,[31 26] ; [14 41],[22.90178571 34.09821429] ; [22.09821429 32.90178571],0
a6,1,0.002543,9.109071,[35 23] ; [18 38],[26.96491228 31.03508772] ; [26.03508772 29.96491228],0
d1,1,0.010918,6.478595,[29 29] ; [15 41],[22.38596491 35.61403509] ; [21.61403509 34.38596491],0
d4,1,0.026913,4.896388,[45 13] ; [32 23],[39.52212389 18.47787611] ; [37.47787611 17.52212389],0
d3,1,0.039996,4.218062,[36 22] ; [24 32],[30.52631579 27.47368421] ; [29.47368421 26.52631579],0
u1,1,0.057035,3.621568,[ 6 52] ; [ 1 55],[ 3.56140351 54.43859649] ; [ 3.43859649 52.56140351],0
p2,1,0.057043,3.621341,[25 32] ; [34 21],[30.02678571 26.97321429] ; [28.97321429 26.02678571],0
n1,1,0.059118,3.561943,[13 15] ; [ 6 21],[ 9.67272727 18.32727273] ; [ 9.32727273 17.67272727],0
a8,1,0.060289,3.529412,[ 6 48] ; [ 1 50],[ 3.6 50.4] ; [ 3.4 47.6],0
n4,1,0.072302,3.229959,[38 19] ; [28 28],[33.2920354 23.7079646] ; [32.7079646 23.2920354],0
a7,1,0.088922,2.89378,[33 24] ; [23 32],[28.5 28.5] ; [27.5 27.5],0
s7,1,0.09085,2.859252,[18 35] ; [11 45],[14.10091743 38.89908257] ; [14.89908257 41.10091743],0
p5,1,0.097645,2.743595,[ 5 51] ; [ 1 54],[ 3.02702703 52.97297297] ; [ 2.97297297 52.02702703],0
p4,1,0.135304,2.230568,[20 38] ; [12 43],[16.42477876 41.57522124] ; [15.57522124 39.42477876],0
a1,1,0.159632,1.977707,[ 9 49] ; [ 4 52],[ 6.61403509 51.38596491] ; [ 6.38596491 49.61403509],0
b4,1,0.16963,1.886209,[31 27] ; [37 19],[34.59649123 23.40350877] ; [33.40350877 22.59649123],0
v4,1,0.171857,1.866667,[28 26] ; [35 19],[31.5 22.5] ; [31.5 22.5],0
b1,1,0.18854,1.728991,[32 26] ; [24 32],[28.49122807 29.50877193] ; [27.50877193 28.49122807],0
u3,1,0.223142,1.48405,[7 7] ; [11 24],[5.14285714 8.85714286] ; [12.85714286 22.14285714],0
u2,1,0.248024,1.334398,[ 3 10] ; [14 20],[4.70212766 8.29787234] ; [12.29787234 21.70212766],0
s4,1,0.267567,1.229179,[ 7 51] ; [11 45],[ 9.15789474 48.84210526] ; [ 8.84210526 47.15789474],0
n5,1,0.281816,1.158309,[35 20] ; [30 26],[32.20720721 22.79279279] ; [32.79279279 23.20720721],0
p11,1,0.343178,0.898522,[30 28] ; [24 32],[27.47368421 30.52631579] ; [26.52631579 29.47368421],0
p9,1,0.384285,0.756948,[31 23] ; [27 28],[28.73394495 25.26605505] ; [29.26605505 25.73394495],0
r1,1,0.411066,0.675716,[19 37] ; [15 41],[17. 39.] ; [17. 39.],0
v1,1,0.416327,0.660661,[20 35] ; [16 39],[18. 37.] ; [18. 37.],0
p3,1,0.513498,0.426933,[13 44] ; [10 46],[11.60176991 45.39823009] ; [11.39823009 44.60176991],0
r3,1,0.567013,0.327706,[27 28] ; [30 25],[28.5 26.5] ; [28.5 26.5],0
n3,1,0.585957,0.296703,[15 12] ; [13 14],[14. 13.] ; [14. 13.],0
s6,1,0.599338,0.275995,[21 36] ; [18 38],[19.67256637 37.32743363] ; [19.32743363 36.67256637],0
b3,1,0.667439,0.184612,[13 24] ; [10 23],[12.15714286 24.84285714] ; [10.84285714 22.15714286],0
b2,1,0.667439,0.184612,[13 24] ; [10 23],[12.15714286 24.84285714] ; [10.84285714 22.15714286],0
r2,1,0.679434,0.170763,[30 22] ; [29 25],[28.94339623 23.05660377] ; [30.05660377 23.94339623],0
p1,1,0.681677,0.168244,[ 5 53] ; [ 6 49],[ 5.6460177 52.3539823] ; [ 5.3539823 49.6460177],0
s5,1,0.684628,0.164963,[11 47] ; [ 9 47],[10.1754386 47.8245614] ; [ 9.8245614 46.1754386],0
n6,1,0.741282,0.109003,[31 22] ; [31 25],[30.14678899 22.85321101] ; [31.85321101 24.14678899],0
p8,1,0.743309,0.107239,[13 44] ; [14 41],[13.74107143 43.25892857] ; [13.25892857 41.74107143],0
