Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,28.364032,[ 18 134] ; [22 24],[ 30.70707071 121.29292929] ; [ 9.29292929 36.70707071],1
s6,1,0.000909,11.004395,[ 47 102] ; [27 19],[56.54358974 92.45641026] ; [17.45641026 28.54358974],1
p10,1,0.001513,10.063224,[89 61] ; [39  7],[97.95918367 52.04081633] ; [30.04081633 15.95918367],0
p3,1,0.01732,5.663616,[ 44 108] ; [22 24],[ 50.66666667 101.33333333] ; [15.33333333 30.66666667],0
a6,1,0.020562,5.363559,[99 54] ; [21 25],[92.26130653 60.73869347] ; [27.73869347 18.26130653],0
s4,1,0.02258,5.200546,[ 16 134] ; [11 35],[ 20.66326531 129.33673469] ; [ 6.33673469 39.66326531],0
v3,1,0.024107,5.086924,[ 21 130] ; [13 33],[ 26.06091371 124.93908629] ; [ 7.93908629 38.06091371],0
n1,1,0.029998,4.709381,[12 37] ; [9 8],[15.59090909 33.40909091] ; [ 5.40909091 11.59090909],0
p4,1,0.033527,4.518639,[59 93] ; [26 20],[65.25252525 86.74747475] ; [19.74747475 26.25252525],0
p9,1,0.038242,4.29423,[100  50] ; [38  8],[105.6122449  44.3877551] ; [32.3877551 13.6122449],0
n6,1,0.039585,4.235573,[113  39] ; [40  5],[118.05076142  33.94923858] ; [34.94923858 10.05076142],0
a3,1,0.048487,3.893017,[83 69] ; [32 13],[88.73096447 63.26903553] ; [26.26903553 18.73096447],0
p7,1,0.074648,3.177727,[66 85] ; [27 19],[71.28426396 79.71573604] ; [21.71573604 24.28426396],0
p2,1,0.079043,3.084463,[101  50] ; [37  9],[105.77664975  45.22335025] ; [32.22335025 13.77664975],0
s5,1,0.084005,2.98567,[ 22 125] ; [12 34],[ 25.89637306 121.10362694] ; [ 8.10362694 37.89637306],0
p6,1,0.118218,2.44077,[ 36 115] ; [16 29],[ 40.06122449 110.93877551] ; [11.93877551 33.06122449],0
b2,1,0.153555,2.036575,[30 56] ; [14 14],[33.19298246 52.80701754] ; [10.80701754 17.19298246],0
