Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.615299,[84 79] ; [16 92],[ 60.14760148 102.85239852] ; [39.85239852 68.14760148],1
s5,1,0.0,27.625597,[66 95] ; [12 95],[ 46.85820896 114.14179104] ; [31.14179104 75.85820896],1
s3,1,0.0,26.786072,[89 72] ; [25 82],[68.48507463 92.51492537] ; [45.51492537 61.48507463],1
s4,1,0.00134,10.287057,[ 33 126] ; [  7 101],[ 23.82022472 135.17977528] ; [16.17977528 91.82022472],0
s7,1,0.002056,9.498499,[62 93] ; [22 80],[ 50.6614786 104.3385214] ; [33.3385214 68.6614786],0
r4,1,0.002903,8.867517,[151  12] ; [87 21],[143.15129151  19.84870849] ; [94.84870849 13.15129151],0
r3,1,0.007826,7.072774,[157   5] ; [96 12],[151.8  10.2] ; [101.2   6.8],0
d4,1,0.03143,4.629322,[138  25] ; [80 28],[131.12177122  31.87822878] ; [86.87822878 21.12177122],0
d3,1,0.036511,4.373094,[126  37] ; [71 37],[118.49077491  44.50922509] ; [78.50922509 29.49077491],0
p12,1,0.053411,3.731011,[ 14 149] ; [  3 105],[ 10.22509225 152.77490775] ; [  6.77490775 101.22509225],0
a1,1,0.064785,3.410432,[ 11 152] ; [  2 106],[  7.81918819 155.18081181] ; [  5.18081181 102.81918819],0
r1,1,0.067068,3.353365,[131  31] ; [77 31],[124.8  37.2] ; [83.2 24.8],0
n5,1,0.072877,3.216995,[126  35] ; [74 34],[119.70260223  41.29739777] ; [80.29739777 27.70260223],0
d1,1,0.12284,2.380733,[97 66] ; [54 54],[90.82287823 72.17712177] ; [60.17712177 47.82287823],0
r2,1,0.131241,2.277758,[151  11] ; [94 13],[147.5464684  14.4535316] ; [97.4535316  9.5464684],0
p9,1,0.144314,2.131346,[136  26] ; [83 25],[131.4  30.6] ; [87.6 20.4],0
p3,1,0.149394,2.078433,[110  53] ; [63 44],[104.44074074  58.55925926] ; [68.55925926 38.44074074],0
b1,1,0.159401,1.979898,[ 60 103] ; [49 59],[65.56088561 97.43911439] ; [43.43911439 64.56088561],0
b4,1,0.16167,1.958538,[100  63] ; [57 51],[94.43173432 68.56826568] ; [62.56826568 45.43173432],0
n6,1,0.171129,1.873027,[139  23] ; [85 22],[134.89962825  27.10037175] ; [89.10037175 17.89962825],0
u3,1,0.182146,1.780026,[35 19] ; [21 20],[31.83157895 22.16842105] ; [24.16842105 16.83157895],0
p11,1,0.185844,1.750262,[125  38] ; [90 18],[129.31734317  33.68265683] ; [85.68265683 22.31734317],0
p6,1,0.192984,1.694687,[70 91] ; [38 69],[64.88059701 96.11940299] ; [43.11940299 63.88059701],0
p1,1,0.198543,1.653061,[ 12 150] ; [13 95],[ 15. 147.] ; [10. 98.],0
a5,1,0.209209,1.576894,[123  40] ; [74 34],[118.49077491  44.50922509] ; [78.50922509 29.49077491],0
v2,1,0.213227,1.549378,[94 66] ; [53 51],[89.09090909 70.90909091] ; [57.90909091 46.09090909],0
d2,1,0.249736,1.324782,[76 86] ; [43 65],[71.4 90.6] ; [47.6 60.4],0
p5,1,0.252734,1.308125,[ 21 142] ; [ 9 98],[ 18.11111111 144.88888889] ; [11.88888889 95.11111111],0
u2,1,0.26788,1.227572,[33 23] ; [19 21],[30.33333333 25.66666667] ; [21.66666667 18.33333333],0
n4,1,0.285158,1.142341,[127  36] ; [78 30],[123.30258303  39.69741697] ; [81.69741697 26.30258303],0
u1,1,0.303607,1.058285,[ 27 136] ; [13 95],[ 24.05904059 138.94095941] ; [15.94095941 92.05904059],0
d5,1,0.350816,0.870505,[137  26] ; [86 22],[134.12915129  28.87084871] ; [88.87084871 19.12915129],0
n3,1,0.422996,0.641975,[19  8] ; [20  5],[20.25  6.75] ; [18.75  6.25],0
a2,1,0.477636,0.504256,[ 36 127] ; [20 88],[ 33.68265683 129.31734317] ; [22.31734317 85.68265683],0
n2,1,0.520603,0.412698,[22  6] ; [17  7],[21.  7.] ; [18.  6.],0
s1,1,0.523819,0.406367,[  5 155] ; [  5 103],[  5.97014925 154.02985075] ; [  4.02985075 103.97014925],0
v3,1,0.534764,0.385331,[ 56 102] ; [33 71],[ 53.67175573 104.32824427] ; [35.32824427 68.67175573],0
b3,1,0.542214,0.371451,[26 66] ; [21 43],[27.71794872 64.28205128] ; [19.28205128 44.71794872],0
b2,1,0.542214,0.371451,[26 66] ; [21 43],[27.71794872 64.28205128] ; [19.28205128 44.71794872],0
a7,1,0.578194,0.309164,[127  36] ; [81 27],[125.10701107  37.89298893] ; [82.89298893 25.10701107],0
