Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6.4e-05,15.978325,[ 4 82] ; [15 37],[11.84057971 74.15942029] ; [ 7.15942029 44.84057971],1
p2,1,0.000478,12.200181,[45 42] ; [43 10],[54.68571429 32.31428571] ; [33.31428571 19.68571429],1
n3,1,0.003114,8.739332,[28 22] ; [17  1],[33.08823529 16.91176471] ; [11.91176471  6.08823529],0
p3,1,0.008445,6.93666,[14 72] ; [19 34],[20.41726619 65.58273381] ; [12.58273381 40.41726619],0
d5,1,0.016386,5.760949,[67 20] ; [30 22],[60.71223022 26.28776978] ; [36.28776978 15.71223022],0
p4,1,0.017276,5.668066,[21 66] ; [23 30],[27.34285714 59.65714286] ; [16.65714286 36.34285714],0
u1,1,0.03163,4.618425,[ 5 82] ; [ 9 44],[ 8.7 78.3] ; [ 5.3 47.7],0
r4,1,0.047857,3.914984,[59 28] ; [44  9],[64.00714286 22.99285714] ; [38.99285714 14.00714286],0
a3,1,0.048223,3.902186,[49 38] ; [38 14],[54.45323741 32.54676259] ; [32.54676259 19.45323741],0
d1,1,0.054941,3.683869,[44 43] ; [18 35],[38.52857143 48.47142857] ; [23.47142857 29.52857143],0
s7,1,0.110737,2.543677,[18 64] ; [17 32],[21.90839695 60.09160305] ; [13.09160305 35.90839695],0
b4,1,0.116852,2.459015,[56 31] ; [27 26],[51.57857143 35.42142857] ; [31.42142857 21.57857143],0
a8,1,0.119679,2.421512,[ 3 83] ; [ 5 45],[ 5.05882353 80.94117647] ; [ 2.94117647 47.05882353],0
r1,1,0.139122,2.187648,[51 35] ; [38 15],[55.0647482 30.9352518] ; [33.9352518 19.0647482],0
p9,1,0.142013,2.156008,[52 30] ; [40 13],[55.88148148 26.11851852] ; [36.11851852 16.88148148],0
b1,1,0.146074,2.112778,[35 52] ; [28 25],[39.15 47.85] ; [23.85 29.15],0
u3,1,0.156943,2.00344,[27 11] ; [7 7],[24.84615385 13.15384615] ; [9.15384615 4.84615385],0
n1,1,0.186685,1.74359,[14 37] ; [ 2 15],[12. 39.] ; [ 4. 13.],0
p10,1,0.191035,1.709621,[46 38] ; [35 18],[49.66423358 34.33576642] ; [31.33576642 21.66423358],0
p11,1,0.207565,1.588331,[43 44] ; [32 21],[46.60714286 40.39285714] ; [28.39285714 24.60714286],0
a5,1,0.222566,1.487747,[40 47] ; [30 23],[43.5 43.5] ; [26.5 26.5],0
a7,1,0.228798,1.448315,[59 28] ; [30 22],[55.70503597 31.29496403] ; [33.29496403 18.70503597],0
r3,1,0.259891,1.269335,[75 12] ; [49  4],[77.05714286  9.94285714] ; [46.94285714  6.05714286],0
a4,1,0.264021,1.247548,[28 59] ; [22 31],[31.07142857 55.92857143] ; [18.92857143 34.07142857],0
s1,1,0.27402,1.196511,[ 5 82] ; [ 1 52],[ 3.72857143 83.27142857] ; [ 2.27142857 50.72857143],0
r2,1,0.282111,1.156891,[73 14] ; [47  5],[75.10791367 11.89208633] ; [44.89208633  7.10791367],0
d3,1,0.293184,1.104943,[54 33] ; [27 24],[51.06521739 35.93478261] ; [29.93478261 21.06521739],0
s3,1,0.32247,0.978902,[36 51] ; [26 26],[38.8057554 48.1942446] ; [23.1942446 28.8057554],0
s2,1,0.345877,0.888526,[32 54] ; [24 29],[34.64748201 51.35251799] ; [21.35251799 31.64748201],0
n2,1,0.436453,0.605589,[31 19] ; [13  5],[32.35294118 17.64705882] ; [11.64705882  6.35294118],0
d2,1,0.436996,0.604159,[32 55] ; [23 30],[34.17857143 52.82142857] ; [20.82142857 32.17857143],0
d4,1,0.441352,0.592765,[67 20] ; [37 15],[65.09352518 21.90647482] ; [38.90647482 13.09352518],0
v4,1,0.492901,0.470186,[77 10] ; [47  4],[78.17391304  8.82608696] ; [45.82608696  5.17391304],0
b5,1,0.522026,0.409889,[54 33] ; [30 23],[52.2 34.8] ; [31.8 21.2],0
a1,1,0.530781,0.392896,[ 3 84] ; [ 3 50],[ 3.72857143 83.27142857] ; [ 2.27142857 50.72857143],0
s5,1,0.576882,0.311302,[23 61] ; [12 40],[21.61764706 62.38235294] ; [13.38235294 38.61764706],0
s8,1,0.601535,0.272687,[20 67] ; [14 38],[21.28057554 65.71942446] ; [12.71942446 39.28057554],0
p5,1,0.619906,0.246,[ 2 84] ; [ 2 51],[ 2.47482014 83.52517986] ; [ 1.52517986 51.47482014],0
v1,1,0.647244,0.209393,[33 53] ; [22 30],[34.27536232 51.72463768] ; [20.72463768 31.27536232],0
b2,1,0.660947,0.192376,[11 26] ; [ 8 24],[10.1884058 26.8115942] ; [ 8.8115942 23.1884058],0
b3,1,0.660947,0.192376,[11 26] ; [ 8 24],[10.1884058 26.8115942] ; [ 8.8115942 23.1884058],0
u2,1,0.71154,0.136744,[19 18] ; [8 6],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
n6,1,0.735605,0.114027,[55 32] ; [35 18],[55.92857143 31.07142857] ; [34.07142857 18.92857143],0
