Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.8e-05,16.541659,[54 67] ; [40 11],[66.12790698 54.87209302] ; [27.87209302 23.12790698],1
p12,1,0.000733,11.402553,[  1 124] ; [ 6 45],[  4.97159091 120.02840909] ; [ 2.02840909 48.97159091],1
p5,1,0.010653,6.522384,[  2 125] ; [ 5 46],[  4.99438202 122.00561798] ; [ 2.00561798 48.99438202],0
v1,1,0.018028,5.593414,[43 81] ; [28 24],[50.02272727 73.97727273] ; [20.97727273 31.02272727],0
a1,1,0.038974,4.261979,[  2 125] ; [ 4 48],[  4.25698324 122.74301676] ; [ 1.74301676 50.25698324],0
p8,1,0.06427,3.423621,[48 79] ; [27 24],[53.51123596 73.48876404] ; [21.48876404 29.51123596],0
s8,1,0.075384,3.161709,[36 90] ; [22 30],[41.05617978 84.94382022] ; [16.94382022 35.05617978],0
a5,1,0.112846,2.513906,[85 42] ; [41 11],[89.39664804 37.60335196] ; [36.60335196 15.39664804],0
s2,1,0.124663,2.357732,[45 81] ; [25 27],[49.5505618 76.4494382] ; [20.4494382 31.5505618],0
v4,1,0.153852,2.033634,[112  13] ; [50  2],[114.40677966  10.59322034] ; [47.59322034  4.40677966],0
u2,1,0.189864,1.71867,[24 22] ; [12  5],[26.28571429 19.71428571] ; [9.71428571 7.28571429],0
p3,1,0.193119,1.693658,[44 83] ; [23 28],[47.80337079 79.19662921] ; [19.19662921 31.80337079],0
s5,1,0.244419,1.354926,[30 89] ; [17 33],[33.09467456 85.90532544] ; [13.90532544 36.09467456],0
r4,1,0.276328,1.185062,[113  14] ; [49  3],[114.93854749  12.06145251] ; [47.06145251  4.93854749],0
r3,1,0.291452,1.112901,[120   7] ; [51  1],[121.32402235   5.67597765] ; [49.67597765  2.32402235],0
a6,1,0.297461,1.08554,[80 47] ; [37 15],[83.01117318 43.98882682] ; [33.98882682 18.01117318],0
d3,1,0.304428,1.054695,[88 39] ; [40 12],[90.81564246 36.18435754] ; [37.18435754 14.81564246],0
a8,1,0.319214,0.992163,[  7 110] ; [ 5 43],[  8.50909091 108.49090909] ; [ 3.49090909 44.50909091],0
b4,1,0.373233,0.792874,[79 48] ; [36 16],[81.59217877 45.40782123] ; [33.40782123 18.59217877],0
p4,1,0.375635,0.784938,[53 74] ; [25 26],[55.65168539 71.34831461] ; [22.34831461 28.65168539],0
r2,1,0.39987,0.708716,[116   9] ; [50  2],[117.23163842   7.76836158] ; [48.76836158  3.23163842],0
d1,1,0.402549,0.700699,[67 60] ; [31 21],[69.53072626 57.46927374] ; [28.46927374 23.53072626],0
b1,1,0.427514,0.629567,[47 80] ; [16 36],[44.69832402 82.30167598] ; [18.30167598 33.69832402],0
s6,1,0.470704,0.520322,[69 55] ; [32 20],[71.15909091 52.84090909] ; [29.84090909 22.15909091],0
n3,1,0.506729,0.440816,[32  8] ; [10  4],[31.11111111  8.88888889] ; [10.88888889  3.11111111],0
n6,1,0.509454,0.435188,[79 48] ; [29 22],[77.05617978 49.94382022] ; [30.94382022 20.05617978],0
