Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.533532,[291  14] ; [6 4],[287.57142857  17.42857143] ; [9.42857143 0.57142857],1
d4,1,0.002836,8.909948,[258  45] ; [5 5],[254.59744409  48.40255591] ; [8.40255591 1.59744409],0
r1,1,0.007737,7.093299,[253  52] ; [5 5],[249.80952381  55.19047619] ; [8.19047619 1.80952381],0
s1,1,0.010872,6.48615,[ 11 291] ; [2 8],[ 12.58333333 289.41666667] ; [0.41666667 9.58333333],0
a6,1,0.017641,5.631443,[201 102] ; [3 7],[197.48242812 105.51757188] ; [6.51757188 3.48242812],0
p3,1,0.019837,5.426188,[200 104] ; [3 7],[196.53503185 107.46496815] ; [6.46496815 3.53503185],0
n1,1,0.060126,3.533919,[25 33] ; [5 1],[27.1875 30.8125] ; [2.8125 3.1875],0
d5,1,0.064759,3.411116,[250  52] ; [6 4],[247.79487179  54.20512821] ; [8.20512821 1.79487179],0
d1,1,0.100774,2.693259,[199 106] ; [4 6],[196.55555556 108.44444444] ; [6.44444444 3.55555556],0
s4,1,0.10955,2.560708,[ 58 241] ; [4 6],[ 59.99352751 239.00647249] ; [2.00647249 7.99352751],0
v1,1,0.137557,2.205082,[190 111] ; [4 6],[187.76205788 113.23794212] ; [6.23794212 3.76205788],0
p7,1,0.154412,2.028111,[254  47] ; [6 3],[252.4516129  48.5483871] ; [7.5483871 1.4516129],0
a4,1,0.184642,1.759856,[156 148] ; [3 7],[153.93630573 150.06369427] ; [5.06369427 4.93630573],0
n4,1,0.228288,1.451494,[257  48] ; [7 3],[255.61904762  49.38095238] ; [8.38095238 1.61904762],0
b1,1,0.247383,1.338023,[127 178] ; [6 4],[128.77777778 176.22222222] ; [4.22222222 5.77777778],0
s6,1,0.259152,1.273281,[224  72] ; [6 4],[222.48366013  73.51633987] ; [7.51633987 2.48366013],0
p9,1,0.275211,1.19059,[275  29] ; [8 2],[273.98726115  30.01273885] ; [9.01273885 0.98726115],0
n6,1,0.301946,1.065582,[272  30] ; [8 2],[271.02564103  30.97435897] ; [8.97435897 1.02564103],0
d3,1,0.343331,0.897953,[222  80] ; [6 4],[220.69230769  81.30769231] ; [7.30769231 2.69230769],0
a7,1,0.35335,0.86139,[222  81] ; [6 4],[220.71565495  82.28434505] ; [7.28434505 2.71565495],0
p11,1,0.404317,0.695449,[246  59] ; [7 3],[244.96825397  60.03174603] ; [8.03174603 1.96825397],0
d2,1,0.407461,0.686197,[162 142] ; [4 6],[160.7133758 143.2866242] ; [5.2866242 4.7133758],0
p2,1,0.410017,0.678752,[270  35] ; [8 2],[269.17460317  35.82539683] ; [8.82539683 1.17460317],0
p8,1,0.421534,0.646034,[206  97] ; [8 2],[207.1629393  95.8370607] ; [6.8370607 3.1629393],0
b2,1,0.424663,0.637374,[ 91 103] ; [3 6],[ 89.83251232 104.16748768] ; [4.16748768 4.83251232],0
b3,1,0.424663,0.637374,[ 91 103] ; [3 6],[ 89.83251232 104.16748768] ; [4.16748768 4.83251232],0
n5,1,0.443817,0.586393,[244  60] ; [9 1],[244.94267516  59.05732484] ; [8.05732484 1.94267516],0
p4,1,0.478696,0.501832,[241  63] ; [7 3],[240.10191083  63.89808917] ; [7.89808917 2.10191083],0
s2,1,0.532654,0.389326,[183 121] ; [7 3],[183.94904459 120.05095541] ; [6.05095541 3.94904459],0
v2,1,0.560913,0.338125,[177 122] ; [5 5],[176.11003236 122.88996764] ; [5.88996764 4.11003236],0
n3,1,0.564267,0.332369,[42 16] ; [5 1],[42.59375 15.40625] ; [4.40625 1.59375],0
p1,1,0.603095,0.270353,[ 43 261] ; [2 8],[ 43.56687898 260.43312102] ; [1.43312102 8.56687898],0
s7,1,0.627659,0.235249,[183 110] ; [7 3],[183.72937294 109.27062706] ; [6.27062706 3.72937294],0
a5,1,0.659115,0.1946,[232  73] ; [7 3],[231.41269841  73.58730159] ; [7.58730159 2.41269841],0
p10,1,0.669876,0.181747,[258  45] ; [9 1],[258.46964856  44.53035144] ; [8.53035144 1.46964856],0
s8,1,0.671079,0.180342,[172 131] ; [5 5],[171.34504792 131.65495208] ; [5.65495208 4.34504792],0
s5,1,0.711815,0.136471,[127 161] ; [5 5],[127.5704698 160.4295302] ; [4.4295302 5.5704698],0
s3,1,0.748352,0.102921,[185 119] ; [5 4],[184.53674121 119.46325879] ; [5.46325879 3.53674121],0
a3,1,0.762309,0.091476,[225  78] ; [7 3],[224.58785942  78.41214058] ; [7.41214058 2.58785942],0
v3,1,0.912053,0.012199,[124 173] ; [4 6],[123.83061889 173.16938111] ; [4.16938111 5.83061889],0
p5,1,0.916696,0.010941,[ 57 248] ; [2 8],[ 57.12698413 247.87301587] ; [1.87301587 8.12698413],0
b4,1,0.933938,0.006871,[179 126] ; [6 4],[179.12698413 125.87301587] ; [5.87301587 4.12698413],0
b5,1,0.983407,0.000433,[182 123] ; [6 4],[182.03174603 122.96825397] ; [5.96825397 4.03174603],0
