Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.004812,7.948743,[5 7] ; [13  1],[8.30769231 3.69230769] ; [9.69230769 4.30769231],0
d1,1,0.026519,4.921875,[ 7 17] ; [21 15],[11.2 12.8] ; [16.8 19.2],0
p8,1,0.033285,4.531075,[13 10] ; [10 25],[ 9.12068966 13.87931034] ; [13.87931034 21.12068966],0
d2,1,0.037707,4.318182,[ 5 19] ; [17 19],[ 8.8 15.2] ; [13.2 22.8],0
p3,1,0.060315,3.528694,[ 5 19] ; [16 20],[ 8.4 15.6] ; [12.6 23.4],0
p11,1,0.070591,3.269231,[17  7] ; [17 19],[13.6 10.4] ; [20.4 15.6],0
u2,1,0.115582,2.47619,[4 8] ; [9 5],[6. 6.] ; [7. 7.],0
v1,1,0.116737,2.460566,[11 12] ; [10 26],[ 8.18644068 14.81355932] ; [12.81355932 23.18644068],0
n6,1,0.121517,2.397656,[19  4] ; [23 13],[16.37288136  6.62711864] ; [25.62711864 10.37288136],0
b4,1,0.12911,2.303173,[12 12] ; [25 11],[14.8  9.2] ; [22.2 13.8],0
d5,1,0.151002,2.062101,[16  8] ; [29  6],[18.30508475  5.69491525] ; [26.69491525  8.30508475],0
n1,1,0.216201,1.529412,[ 3 10] ; [6 7],[4.5 8.5] ; [4.5 8.5],0
b1,1,0.263552,1.25,[ 6 18] ; [14 22],[ 8. 16.] ; [12. 24.],0
r3,1,0.313833,1.014475,[20  3] ; [34  2],[21.05084746  1.94915254] ; [32.94915254  3.05084746],0
v3,1,0.33038,0.947407,[ 4 19] ; [10 25],[ 5.55172414 17.44827586] ; [ 8.44827586 26.55172414],0
r2,1,0.333393,0.935673,[22  2] ; [35  1],[22.8  1.2] ; [34.2  1.8],0
a2,1,0.340356,0.909091,[ 1 23] ; [ 4 32],[ 2. 22.] ; [ 3. 33.],0
v2,1,0.357069,0.848175,[ 8 15] ; [16 18],[ 9.68421053 13.31578947] ; [14.31578947 19.68421053],0
s3,1,0.376701,0.781441,[14 10] ; [25 11],[15.6  8.4] ; [23.4 12.6],0
s2,1,0.376701,0.781441,[14 10] ; [25 11],[15.6  8.4] ; [23.4 12.6],0
a3,1,0.394841,0.723982,[12 12] ; [22 14],[13.6 10.4] ; [20.4 15.6],0
p2,1,0.404123,0.696023,[19  5] ; [25 11],[17.6  6.4] ; [26.4  9.6],0
r4,1,0.429195,0.625,[18  6] ; [30  6],[19.2  4.8] ; [28.8  7.2],0
s5,1,0.438727,0.59961,[ 9 13] ; [18 17],[10.42105263 11.57894737] ; [16.57894737 18.42105263],0
a4,1,0.490153,0.47619,[ 6 18] ; [12 24],[ 7.2 16.8] ; [10.8 25.2],0
p1,1,0.511368,0.431267,[ 2 22] ; [ 5 31],[ 2.8 21.2] ; [ 4.2 31.8],0
p4,1,0.52501,0.40404,[12 12] ; [15 21],[10.8 13.2] ; [16.2 19.8],0
d3,1,0.584549,0.298938,[17  7] ; [27  8],[17.89830508  6.10169492] ; [26.10169492  8.89830508],0
v4,1,0.598161,0.277778,[21  3] ; [33  3],[21.6  2.4] ; [32.4  3.6],0
n2,1,0.658387,0.195489,[10  3] ; [9 4],[9.5 3.5] ; [9.5 3.5],0
a5,1,0.67174,0.179574,[14 10] ; [19 17],[13.2 10.8] ; [19.8 16.2],0
n3,1,0.68017,0.169935,[8 5] ; [9 4],[8.5 4.5] ; [8.5 4.5],0
d4,1,0.682814,0.166976,[19  5] ; [30  6],[19.6  4.4] ; [29.4  6.6],0
p9,1,0.683909,0.165758,[18  5] ; [25  9],[17.35087719  5.64912281] ; [25.64912281  8.35087719],0
s7,1,0.704703,0.143626,[11 12] ; [18 16],[11.70175439 11.29824561] ; [17.29824561 16.70175439],0
p7,1,0.725837,0.122969,[13  8] ; [20 15],[12.375  8.625] ; [20.625 14.375],0
b5,1,0.740269,0.10989,[15  9] ; [24 12],[15.6  8.4] ; [23.4 12.6],0
p6,1,0.815059,0.054711,[ 9 14] ; [13 23],[ 8.57627119 14.42372881] ; [13.42372881 22.57627119],0
r1,1,0.829638,0.046296,[14 10] ; [22 14],[14.4  9.6] ; [21.6 14.4],0
s8,1,0.912909,0.011962,[ 9 15] ; [13 23],[ 8.8 15.2] ; [13.2 22.8],0
a6,1,0.91563,0.011223,[13 11] ; [20 16],[13.2 10.8] ; [19.8 16.2],0
s6,1,0.937735,0.006102,[19  5] ; [28  7],[19.11864407  4.88135593] ; [27.88135593  7.11864407],0
a7,1,0.960448,0.002459,[17  7] ; [25 10],[17.08474576  6.91525424] ; [24.91525424 10.08474576],0
p10,1,0.974706,0.001005,[17  6] ; [26  9],[17.05172414  5.94827586] ; [25.94827586  9.05172414],0
b2,1,1.0,0.0,[3 7] ; [ 6 14],[3. 7.] ; [ 6. 14.],0
b3,1,1.0,0.0,[3 7] ; [ 6 14],[3. 7.] ; [ 6. 14.],0
