Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.011248,6.425712,[23 10] ; [107 125],[16.18867925 16.81132075] ; [113.81132075 118.18867925],0
s5,1,0.012218,6.278906,[18 11] ; [ 87 143],[11.75675676 17.24324324] ; [ 93.24324324 136.75675676],0
s2,1,0.014351,5.994405,[24  9] ; [117 117],[17.42696629 15.57303371] ; [123.57303371 110.42696629],0
s6,1,0.014932,5.924443,[27  4] ; [151  80],[21.0610687  9.9389313] ; [156.9389313  74.0610687],0
r2,1,0.041085,4.172497,[29  4] ; [222   9],[31.375  1.625] ; [219.625  11.375],0
s1,1,0.056387,3.640576,[ 2 31] ; [  3 233],[ 0.6133829 32.3866171] ; [  4.3866171 231.6133829],0
s3,1,0.058967,3.56619,[24  9] ; [129 104],[18.98120301 14.01879699] ; [134.01879699  98.98120301],0
a3,1,0.0629,3.459231,[21 12] ; [184  51],[25.24253731  7.75746269] ; [179.75746269  55.24253731],0
a5,1,0.075911,3.150349,[23 10] ; [195  41],[26.74349442  6.25650558] ; [191.25650558  44.74349442],0
b3,1,0.091934,2.84018,[ 3 12] ; [64 87],[6.05421687 8.94578313] ; [60.94578313 90.05421687],0
b2,1,0.091934,2.84018,[ 3 12] ; [64 87],[6.05421687 8.94578313] ; [60.94578313 90.05421687],0
u2,1,0.099235,2.717797,[4 8] ; [31 21],[6.5625 5.4375] ; [28.4375 23.5625],0
a4,1,0.210467,1.568212,[18 15] ; [101 134],[14.65298507 18.34701493] ; [104.34701493 130.65298507],0
p11,1,0.233722,1.418066,[27  6] ; [210  26],[29.07434944  3.92565056] ; [207.92565056  28.07434944],0
p10,1,0.263006,1.252866,[31  2] ; [204  30],[29.04494382  3.95505618] ; [205.95505618  28.04494382],0
d2,1,0.263283,1.251413,[20 13] ; [118 117],[16.99253731 16.00746269] ; [121.00746269 113.99253731],0
v4,1,0.272554,1.203848,[31  2] ; [227   6],[32.0075188  0.9924812] ; [225.9924812   7.0075188],0
v3,1,0.279197,1.170993,[17 15] ; [145  85],[19.78625954 12.21374046] ; [142.21374046  87.78625954],0
n5,1,0.280276,1.16575,[29  4] ; [188  47],[26.72014925  6.27985075] ; [190.27985075  44.72014925],0
p1,1,0.290872,1.11558,[ 2 31] ; [ 29 206],[ 3.81716418 29.18283582] ; [ 27.18283582 207.81716418],0
a6,1,0.294481,1.09902,[20 13] ; [163  71],[22.61797753 10.38202247] ; [160.38202247  73.61797753],0
n1,1,0.35203,0.866125,[1 4] ; [15 21],[1.95121951 3.04878049] ; [14.04878049 21.95121951],0
s7,1,0.355653,0.853184,[20 12] ; [120 103],[17.56862745 14.43137255] ; [122.43137255 100.56862745],0
r3,1,0.357445,0.84685,[31  2] ; [228   7],[31.89179104  1.10820896] ; [227.10820896   7.89179104],0
u1,1,0.408434,0.683353,[ 8 25] ; [ 43 193],[ 6.25650558 26.74349442] ; [ 44.74349442 191.25650558],0
n2,1,0.410029,0.678716,[4 1] ; [33  3],[4.51219512 0.48780488] ; [32.48780488  3.51219512],0
r1,1,0.436462,0.605566,[27  6] ; [204  31],[28.44402985  4.55597015] ; [202.55597015  32.44402985],0
a1,1,0.449314,0.572381,[ 1 32] ; [ 15 221],[ 1.96282528 31.03717472] ; [ 14.03717472 221.96282528],0
a7,1,0.452472,0.564453,[23 10] ; [178  57],[24.75  8.25] ; [176.25  58.75],0
p4,1,0.463973,0.536293,[27  6] ; [178  56],[25.33707865  7.66292135] ; [179.66292135  54.33707865],0
p7,1,0.465275,0.533175,[29  4] ; [193  40],[27.54135338  5.45864662] ; [194.45864662  38.54135338],0
