Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,22.013462,[224  84] ; [16 27],[210.5982906  97.4017094] ; [29.4017094 13.5982906],1
d5,1,0.000104,15.05569,[271  38] ; [28 15],[262.47443182  46.52556818] ; [36.52556818  6.47443182],1
p8,1,0.000217,13.681474,[192 111] ; [15 29],[180.75216138 122.24783862] ; [26.24783862 17.75216138],1
r3,1,0.000471,12.227303,[299   8] ; [38  6],[294.75498575  12.24501425] ; [42.24501425  1.75498575],1
p7,1,0.000684,11.531538,[212  89] ; [18 23],[202.42690058  98.57309942] ; [27.57309942 13.42690058],1
p10,1,0.001341,10.285007,[265  40] ; [30 14],[257.80802292  47.19197708] ; [37.19197708  6.80802292],0
s1,1,0.002132,9.43241,[  7 296] ; [ 5 39],[ 10.47838617 292.52161383] ; [ 1.52161383 42.47838617],0
d4,1,0.003827,8.36399,[268  41] ; [30 13],[261.59659091  47.40340909] ; [36.40340909  6.59659091],0
p11,1,0.00405,8.261041,[254  55] ; [28 16],[246.84985836  62.15014164] ; [35.15014164  8.84985836],0
p3,1,0.008424,6.941141,[184 125] ; [16 26],[176.06837607 132.93162393] ; [23.93162393 18.06837607],0
p9,1,0.012093,6.297188,[275  30] ; [34 10],[270.04297994  34.95702006] ; [38.95702006  5.04297994],0
a3,1,0.026826,4.901986,[234  73] ; [26 17],[228.05714286  78.94285714] ; [31.94285714 11.05714286],0
d3,1,0.030725,4.668245,[252  57] ; [29 14],[246.67329545  62.32670455] ; [34.32670455  8.67329545],0
r4,1,0.054134,3.708561,[291  18] ; [38  6],[287.99150142  21.00849858] ; [41.00849858  2.99150142],0
r1,1,0.060141,3.533487,[263  43] ; [33 11],[258.78857143  47.21142857] ; [37.21142857  6.78857143],0
n4,1,0.075713,3.154606,[252  56] ; [31 13],[247.625  60.375] ; [35.375  8.625],0
d1,1,0.104368,2.6375,[207 102] ; [24 20],[202.20679887 106.79320113] ; [28.79320113 15.20679887],0
a5,1,0.107454,2.591271,[250  59] ; [31 13],[245.97450425  63.02549575] ; [35.02549575  8.97450425],0
a1,1,0.120279,2.413683,[ 12 297] ; [ 4 40],[ 14.00566572 294.99433428] ; [ 1.99433428 42.00566572],0
s8,1,0.135735,2.225653,[151 155] ; [16 27],[146.42406877 159.57593123] ; [20.57593123 22.42406877],0
a2,1,0.158268,1.990693,[103 206] ; [10 34],[ 98.91501416 210.08498584] ; [14.08498584 29.91501416],0
p6,1,0.169072,1.891153,[139 163] ; [15 28],[134.8057971 167.1942029] ; [19.1942029 23.8057971],0
v4,1,0.184553,1.760572,[298   9] ; [41  3],[296.5042735  10.4957265] ; [42.4957265  1.5042735],0
n6,1,0.202601,1.623524,[271  36] ; [35  8],[268.40571429  38.59428571] ; [37.59428571  5.40571429],0
n3,1,0.240444,1.37799,[36 13] ; [8 6],[34.22222222 14.77777778] ; [9.77777778 4.22222222],0
u1,1,0.251006,1.317695,[ 81 228] ; [ 8 36],[ 77.90651558 231.09348442] ; [11.09348442 32.90651558],0
a8,1,0.275018,1.191544,[ 46 222] ; [ 4 35],[ 43.64820847 224.35179153] ; [ 6.35179153 32.64820847],0
p1,1,0.275226,1.190511,[ 32 276] ; [ 7 37],[ 34.125 273.875] ; [ 4.875 39.125],0
s3,1,0.286389,1.136517,[160 141] ; [26 16],[163.2244898 137.7755102] ; [22.7755102 19.2244898],0
a6,1,0.312577,1.019756,[243  65] ; [31 12],[240.43304843  67.56695157] ; [33.56695157  9.43304843],0
p12,1,0.335678,0.926869,[ 36 272] ; [ 3 41],[ 34.125 273.875] ; [ 4.875 39.125],0
b4,1,0.396903,0.717689,[183 126] ; [29 15],[185.57507082 123.42492918] ; [26.42492918 17.57507082],0
s4,1,0.431468,0.618869,[ 44 261] ; [ 8 34],[ 45.70605187 259.29394813] ; [ 6.29394813 35.70605187],0
u3,1,0.446712,0.57898,[47 28] ; [13  5],[48.38709677 26.61290323] ; [11.61290323  6.38709677],0
d2,1,0.450743,0.568783,[155 153] ; [19 24],[152.68376068 155.31623932] ; [21.31623932 21.68376068],0
v2,1,0.47141,0.518669,[210  91] ; [27 15],[207.97959184  93.02040816] ; [29.02040816 12.97959184],0
b5,1,0.497335,0.460618,[209 100] ; [32 12],[210.96033994  98.03966006] ; [30.03966006 13.96033994],0
u4,1,0.559752,0.340135,[  9 300] ; [ 2 42],[  9.62889518 299.37110482] ; [ 1.37110482 42.62889518],0
a4,1,0.578831,0.308129,[150 158] ; [19 24],[148.2962963 159.7037037] ; [20.7037037 22.2962963],0
n5,1,0.583859,0.300037,[248  59] ; [34 10],[246.64957265  60.35042735] ; [35.35042735  8.64957265],0
u2,1,0.63612,0.223852,[45 28] ; [10  8],[44.12087912 28.87912088] ; [10.87912088  7.12087912],0
s2,1,0.652082,0.203285,[158 145] ; [24 19],[159.38150289 143.61849711] ; [22.61849711 20.38150289],0
n1,1,0.677392,0.173077,[18 31] ; [6 8],[18.66666667 30.33333333] ; [5.33333333 8.66666667],0
r2,1,0.751901,0.099941,[296  11] ; [42  2],[295.62962963  11.37037037] ; [42.37037037  1.62962963],0
b1,1,0.788119,0.072228,[106 203] ; [16 28],[106.79320113 202.20679887] ; [15.20679887 28.79320113],0
p5,1,0.915259,0.011323,[ 45 264] ; [ 6 37],[ 44.76988636 264.23011364] ; [ 6.23011364 36.76988636],0
v3,1,0.919161,0.0103,[147 152] ; [21 21],[147.30791789 151.69208211] ; [20.69208211 21.30791789],0
s7,1,0.920151,0.010049,[152 140] ; [21 20],[151.6996997 140.3003003] ; [21.3003003 19.6996997],0
n2,1,0.935448,0.00656,[38 11] ; [11  3],[38.11111111 10.88888889] ; [10.88888889  3.11111111],0
s6,1,0.974011,0.001061,[217  85] ; [31 12],[217.08985507  84.91014493] ; [30.91014493 12.08985507],0
b2,1,0.980616,0.00059,[ 72 119] ; [11 18],[ 72.05909091 118.94090909] ; [10.94090909 18.05909091],0
b3,1,0.980616,0.00059,[ 72 119] ; [11 18],[ 72.05909091 118.94090909] ; [10.94090909 18.05909091],0
s5,1,0.988576,0.000205,[109 188] ; [15 26],[108.95857988 188.04142012] ; [15.04142012 25.95857988],0
