Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.7e-05,18.469136,[49 17] ; [ 5 17],[40.5 25.5] ; [13.5  8.5],1
p11,1,0.034498,4.469841,[49 17] ; [11 11],[45. 21.] ; [15.  7.],0
b1,1,0.217879,1.518288,[32 34] ; [14  8],[34.5 31.5] ; [11.5 10.5],0
p5,1,0.393239,0.728904,[ 3 63] ; [ 2 19],[ 3.79310345 62.20689655] ; [ 1.20689655 19.79310345],0
p8,1,0.98589,0.000313,[28 37] ; [ 9 12],[27.96511628 37.03488372] ; [ 9.03488372 11.96511628],0
